Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,punt,punt_yds,punt_yds_per_punt,awards,Year
Jordan Stout,jordan-stout-2,/cfb/players/jordan-stout-2.html,Penn State,Big Ten,9,33,1371,41.5,,2020
Austin Kent,austin-kent-1,/cfb/players/austin-kent-1.html,Georgia Tech,ACC,10,3,124,41.3,,2020
Josh Watts,josh-watts-1,/cfb/players/josh-watts-1.html,Colorado,Pac-12,6,35,1447,41.3,,2020
Trent Schneider,trent-schneider-1,/cfb/players/trent-schneider-1.html,South Florida,American,8,32,1323,41.3,,2020
William Przystup,william-przystup-1,/cfb/players/william-przystup-1.html,Nebraska,Big Ten,6,24,991,41.3,,2020
Luke Larsen,luke-larsen-1,/cfb/players/luke-larsen-1.html,East Carolina,American,5,13,536,41.2,,2020
Carson King,carson-king-2,/cfb/players/carson-king-2.html,Fresno State,MWC,6,4,164,41.0,,2020
Harrison Smith,harrison-smith-3,/cfb/players/harrison-smith-3.html,Vanderbilt,SEC,8,46,1887,41.0,,2020
Jared March,jared-march-1,/cfb/players/jared-march-1.html,Utah,Pac-12,2,6,246,41.0,,2020
Joel Velazquez,joel-velazquez-1,/cfb/players/joel-velazquez-1.html,Boise State,MWC,5,22,901,41.0,,2020
Jordy Sandy,jordy-sandy-1,/cfb/players/jordy-sandy-1.html,Texas Christian,Big 12,10,57,2337,41.0,,2020
Josh Carlson,josh-carlson-1,/cfb/players/josh-carlson-1.html,New Mexico State,Ind,2,10,410,41.0,,2020
Oscar Chapman,oscar-chapman-1,/cfb/players/oscar-chapman-1.html,Auburn,SEC,9,28,1148,41.0,,2020
Seamus O'Kelly,seamus-okelly-1,/cfb/players/seamus-okelly-1.html,Texas State,Sun Belt,12,57,2336,41.0,,2020
Stan Gaudion,stan-gaudion-1,/cfb/players/stan-gaudion-1.html,Hawaii,MWC,7,1,41,41.0,,2020
Ty Zentner,ty-zentner-1,/cfb/players/ty-zentner-1.html,Kansas State,Big 12,10,28,1142,40.8,,2020
Stephen Kotsanlee,stephen-kotsanlee-1,/cfb/players/stephen-kotsanlee-1.html,Utah State,MWC,6,37,1507,40.7,,2020
Joe Rivera,joe-rivera-1,/cfb/players/joe-rivera-1.html,Iowa State,Big 12,12,45,1826,40.6,,2020
Ryan Hanson,ryan-hanson-1,/cfb/players/ryan-hanson-1.html,Arkansas State,Sun Belt,11,41,1666,40.6,,2020
Nik Constantinou,nik-constantinou-1,/cfb/players/nik-constantinou-1.html,Texas A&M,SEC,10,36,1459,40.5,,2020
Tyler Sumpter,tyler-sumpter-1,/cfb/players/tyler-sumpter-1.html,West Virginia,Big 12,9,37,1499,40.5,,2020
Tyler Sumpter,tyler-sumpter-2,/cfb/players/tyler-sumpter-2.html,West Virginia,Big 12,9,37,1499,40.5,,2020
Michael Hayes,michael-hayes-4,/cfb/players/michael-hayes-4.html,Georgia State,Sun Belt,10,50,2022,40.4,,2020
Tyson Dyer,tyson-dyer-1,/cfb/players/tyson-dyer-1.html,New Mexico,MWC,7,34,1372,40.4,,2020
