recruit_index,recruit_id,recruit_name,recruit_year,committed_to,mapped_team,filled_athlete_id,matched_history_name,history_season_start,name_score,match_score
881,139195,Terry Mark,2015,Houston,Houston,4039284,Terry Mark,2016,1.0,1.0
882,139199,Jeff Christian,2015,Ohio,Ohio,-1026713,Jeff Christian,2016,1.0,1.0
1183,139495,Jeremiah Dinson,2015,Auburn,Auburn,3916924,Jeremiah Dinson,2016,1.0,1.0
1207,139522,Kevin Thurmon,2015,Ball State,Ball State,3915475,Kevin Thurmon,2015,1.0,0.95
1210,139525,Jared Rice,2015,Fresno State,Fresno State,3918043,Jared Rice,2016,1.0,1.0
1211,139529,Antonio Parks,2015,Arizona,Arizona,4039601,Antonio Parks,2016,1.0,1.0
1213,139533,Elu Aydon,2015,Oregon State,Oregon State,3930268,Elu Aydon,2016,1.0,1.0
1275,139594,Corey Bell Jr.,2015,North Carolina,North Carolina,3917876,Corey Bell Jr.,2016,1.0,1.0
1283,139598,Caleb Reams,2015,Illinois,Illinois,3917614,Caleb Reams,2016,1.0,1.0
1287,139603,Sammy Morrison,2015,Arizona,Arizona,3931431,Sammy Morrison,2015,1.0,0.95
1302,139620,Winston DeLattiboudere,2015,Minnesota,Minnesota,3728286,Winston DeLattiboudere,2016,1.0,1.0
1303,139621,Levi Brown,2015,Marshall,Marshall,3931760,Levi Brown,2016,1.0,1.0
1313,139630,David Pfaff,2015,Wisconsin,Wisconsin,3917674,David Pfaff,2016,1.0,1.0
1315,139629,Steven Clark,2015,Syracuse,Syracuse,3916470,Steven Clark,2015,1.0,0.95
1316,139631,Tanner Cowley,2015,Virginia,Virginia,3917916,Tanner Cowley,2016,1.0,1.0
1317,139634,Michael Story,2015,Mississippi State,Mississippi State,3791120,Michael Story,2016,1.0,1.0
1323,139639,Tyrin Ferguson,2015,Nebraska,Nebraska,3699587,Tyrin Ferguson,2016,1.0,1.0
1327,139643,Matt Skibinski,2015,Miami (OH),Miami (OH),3915345,Matt Skibinski,2016,1.0,1.0
1332,139657,Denzel Johnson,2015,Clemson,Clemson,3915446,Denzel Johnson,2016,1.0,1.0
1369,139684,Elijah Ball,2015,Ohio,Ohio,3920810,Elijah Ball,2015,1.0,0.95
1370,139685,Quin Jernighan,2015,Western Kentucky,Western Kentucky,3915803,Quin Jernighan,2016,1.0,1.0
1377,139692,Davon Tucker,2015,Western Michigan,Western Michigan,3916732,Davon Tucker,2016,1.0,1.0
1378,139693,Qaadir Sheppard,2015,Syracuse,Syracuse,3916473,Qaadir Sheppard,2015,1.0,0.95
1380,139694,Mitchell Guadagni,2015,Toledo,Toledo,3932903,Mitchell Guadagni,2016,1.0,1.0
1393,139702,Donta Thompson,2015,Texas Tech,Texas Tech,3915836,Donta Thompson,2016,1.0,1.0
1394,139704,Breck Turner,2015,Eastern Michigan,Eastern Michigan,3916635,Breck Turner,2016,1.0,1.0
1403,139719,Jared Pinkney,2015,Vanderbilt,Vanderbilt,3915772,Jared Pinkney,2016,1.0,1.0
1404,139720,Evan Adams,2015,Syracuse,Syracuse,3916468,Evan Adams,2016,1.0,1.0
1405,139718,Jared Southers,2015,Vanderbilt,Vanderbilt,3915779,Jared Southers,2015,1.0,0.95
1406,139723,Adam Holtorf,2015,Kansas State,Kansas State,3916113,Adam Holtorf,2016,1.0,1.0
1407,139722,Juwan Washington,2015,San Diego State,San Diego State,3921652,Juwan Washington,2016,1.0,1.0
1420,139735,Jordan Fredericks,2015,Syracuse,Syracuse,3916453,Jordan Fredericks,2015,1.0,0.95
1425,139744,Franklin Agbasimere,2015,Missouri,Missouri,3924308,Franklin Agbasimere,2016,1.0,1.0
1430,139745,Nick Buchanan,2015,Florida,Florida,3915096,Nick Buchanan,2016,1.0,1.0
1438,139754,Justin McMillan,2015,LSU,LSU,3843247,Justin McMillan,2015,1.0,0.95
1439,139755,Doug Bates,2015,Cincinnati,Cincinnati,-1006980,Doug Bates,2016,1.0,1.0
1445,139760,Channing Hames,2015,Marshall,Marshall,4043641,Channing Hames,2016,1.0,1.0
1447,139765,Mitchell Wilcox,2015,South Florida,South Florida,3923392,Mitchell Wilcox,2016,1.0,1.0
1449,139763,Zayne Anderson,2015,BYU,BYU,3932335,Zayne Anderson,2016,1.0,1.0
1462,139778,Kyle Pugh,2015,Northern Illinois,Northern Illinois,3921952,Kyle Pugh,2016,1.0,1.0
1464,139779,Amari Henderson,2015,Wake Forest,Wake Forest,3919541,Amari Henderson,2016,1.0,1.0
1465,139781,Troy Thingstad,2015,South Alabama,South Alabama,3918656,Troy Thingstad,2016,1.0,1.0
1467,139783,Houston Heimuli,2015,Stanford,Stanford,4242551,Houston Heimuli,2017,1.0,0.95
1471,139789,Bryce Balous,2015,Oklahoma State,Oklahoma State,3919592,Bryce Balous,2016,1.0,1.0
1473,139787,Nate Vejvoda,2015,Iowa,Iowa,3894851,Nate Vejvoda,2016,1.0,1.0
1475,139790,Jameson Houston,2015,Baylor,Baylor,3928926,Jameson Houston,2016,1.0,1.0
1481,139796,Reggie Corbin,2015,Illinois,Illinois,3917611,Reggie Corbin,2016,1.0,1.0
1482,139798,Luc Bequette,2015,California,California,3858274,Luc Bequette,2016,1.0,1.0
1483,139797,Kirk Livingstone,2015,South Florida,South Florida,3923384,Kirk Livingstone,2016,1.0,1.0
1486,139799,Nafees Lyon,2015,Charlotte,Charlotte,3921996,Nafees Lyon,2016,1.0,1.0
1489,139806,Eric Quevedo,2015,Boise State,Boise State,3722366,Eric Quevedo,2016,1.0,1.0
1493,139807,Chase Harrell,2015,Kansas,Kansas,3880416,Chase Harrell,2015,1.0,0.95
1494,139809,John Phillips,2015,Boston College,Boston College,3915305,John Phillips,2016,1.0,1.0
1496,139811,Nathan Veloz,2015,Northern Illinois,Northern Illinois,3921978,Nathan Veloz,2016,1.0,1.0
1499,139815,Chris Orr,2015,Wisconsin,Wisconsin,3917673,Chris Orr,2016,1.0,1.0
1503,139818,Meiko Dotson,2015,Georgia Tech,Georgia Tech,3917820,Meiko Dotson,2015,1.0,0.95
1509,139824,Justin Strnad,2015,Wake Forest,Wake Forest,3919548,Justin Strnad,2016,1.0,1.0
1526,139841,Willington Previlon,2015,Rutgers,Rutgers,3930048,Willington Previlon,2016,1.0,1.0
1527,139847,Bryce Witham,2015,Minnesota,Minnesota,3728271,Bryce Witham,2017,1.0,0.95
1535,139850,Harper Sherman,2015,Arizona,Arizona,-1001440,Harper Sherman,2016,1.0,1.0
1540,139854,Blain Padgett,2015,Rice,Rice,3916376,Blain Padgett,2015,1.0,0.95
1542,139857,Ryan Brand,2015,Maryland,Maryland,3945284,Ryan Brand,2017,1.0,0.95
1548,139864,Nevone McCrimmon,2015,Toledo,Toledo,4039507,Nevone McCrimmon,2016,1.0,1.0
1551,139865,Jaylon Henderson,2015,UTSA,UTSA,3914569,Jaylon Henderson,2015,1.0,0.95
1558,139874,Deamonte Lindsay,2015,West Virginia,West Virginia,3929894,Deamonte Lindsay,2016,1.0,1.0
1560,139873,C.J. Johnson,2015,Wyoming,Wyoming,3918318,C.J. Johnson,2015,1.0,0.95
1563,139877,Matt Locher,2015,Boise State,Boise State,3722358,Matt Locher,2016,1.0,1.0
1581,139900,Daniel Langi,2015,Utah State,Utah State,4292481,Daniel Langi,2017,1.0,0.95
1586,139903,Tario Fuller,2015,Purdue,Purdue,3918001,Tario Fuller,2016,1.0,1.0
1592,139907,Eli Hanback,2015,Virginia,Virginia,3917918,Eli Hanback,2016,1.0,1.0
1596,139910,Ryan Agnew,2015,San Diego State,San Diego State,3921648,Ryan Agnew,2016,1.0,1.0
1599,139915,Derek Smith,2015,Central Michigan,Central Michigan,3915500,Derek Smith,2017,1.0,0.95
1602,139918,John Molchon,2015,Boise State,Boise State,3722375,John Molchon,2016,1.0,1.0
1614,139929,Rion Davis,2015,Liberty,Liberty,3910397,Rion Davis,2018,1.0,0.9
1616,139931,Jon Wassink,2015,Western Michigan,Western Michigan,3916726,Jon Wassink,2016,1.0,1.0
1617,139933,Alex Grace,2015,Western Michigan,Western Michigan,3916723,Alex Grace,2016,1.0,1.0
1618,139934,Lonzell Gilmore,2015,Texas Tech,Texas Tech,3915828,Lonzell Gilmore,2016,1.0,1.0
1624,139940,Tavaris Harrison,2015,Florida Atlantic,Florida Atlantic,3919105,Tavaris Harrison,2016,1.0,1.0
1625,139939,Richard Burney,2015,Virginia,Virginia,3917922,Richard Burney,2016,1.0,1.0
1645,139959,Mason Wolfe,2015,Kentucky,Kentucky,3915256,Mason Wolfe,2016,1.0,1.0
1647,139964,Javonte Woodard,2015,Louisiana Tech,Louisiana Tech,3914388,Javonte Woodard,2016,1.0,1.0
1652,139966,Steven Reese,2015,Northwestern,Northwestern,3915975,Steven Reese,2015,1.0,0.95
1657,139973,Gerold Bright,2015,Utah State,Utah State,3918034,Gerold Bright,2016,1.0,1.0
1663,139983,Kyle Hoppe,2015,San José State,San José State,4036862,Kyle Hoppe,2016,1.0,1.0
1664,139978,Jay Tyler,2015,Stanford,Stanford,3931392,Jay Tyler,2015,1.0,0.95
