receiving_yards_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,receiving_yards,receiving_yards_per_game,comp,att,pct,receiving_touchdowns,int,rate,games_played,year,category
203,Jordan,Jack,Jordan Jack,/mo/miller/miller-cardinals/athletes/jordan-jack/football/stats/?careerid=pnb94fiuhknue,pnb94fiuhknue,"QB, LB",Miller,MO,2951,2951,268.3,181,299,0.605,40,9,121,11,2014,receiving
204,Pete,Lahti,Pete Lahti,/or/lincoln-city/taft-tigers/athletes/pete-lahti/football/stats/?careerid=4mqqipjgpm833,4mqqipjgpm833,"QB, FS",Taft,OR,2945,2945,294.5,234,390,0.6,38,12,103,10,2014,receiving
205,David,Jeremiah,David Jeremiah,/ca/el-cajon/christian-patriots/athletes/david-jeremiah/football/stats/?careerid=vtda9d5vk0m11,vtda9d5vk0m11,QB,Christian,CA,2945,2945,210.4,212,317,0.669,33,8,121,14,2014,receiving
206,Tim,Tawa,Tim Tawa,/or/west-linn/west-linn-lions/athletes/tim-tawa/football/stats/?careerid=5i47agasfmlrb,5i47agasfmlrb,QB,West Linn,OR,2943,2943,245.2,187,264,0.708,38,6,138,12,2014,receiving
207,Brenden,Fulton,Brenden Fulton,/co/greeley/northridge-grizzlies/athletes/brenden-fulton/football/stats/?careerid=dec94d4nd55vf,dec94d4nd55vf,"QB, FS",Northridge,CO,2941,2941,267.4,189,347,0.545,30,14,95,11,2014,receiving
208,Colton,Penrod,Colton Penrod,/ok/bartlesville/bartlesville-bruins/athletes/colton-penrod/football/stats/?careerid=dqqcd5uil53p9,dqqcd5uil53p9,QB,Bartlesville,OK,2940,2940,267.3,194,320,0.606,28,10,107,11,2014,receiving
209,Tyrique,Mcafee,Tyrique Mcafee,/ms/magee/magee-trojans/athletes/tyrique-mcafee/football/stats/?careerid=7rseog3u3decc,7rseog3u3decc,,Magee,MS,2938,2938,244.8,154,267,0.577,27,12,111,12,2014,receiving
210,Jake,Harville,Jake Harville,/ms/olive-branch/lewisburg-patriots/athletes/jake-harville/football/stats/?careerid=s605na23h7s00,s605na23h7s00,QB,Lewisburg,MS,2937,2937,244.8,180,352,0.511,33,12,97,12,2014,receiving
211,Coach,Crossland,Coach Crossland,/az/gilbert/higley-knights/athletes/coach-crossland/football/stats/?careerid=6k2pathfbvhcc,6k2pathfbvhcc,QB,Higley,AZ,2928,2928,266.2,163,254,0.642,34,6,133,11,2014,receiving
212,Max,Gilliam,Max Gilliam,/ca/thousand-oaks/thousand-oaks-lancers/athletes/max-gilliam/football/stats/?careerid=atjelarpncho8,atjelarpncho8,QB,Thousand Oaks,CA,2920,2920,265.5,211,305,0.692,29,8,120,11,2014,receiving
213,Denzel,Houston,Denzel Houston,/fl/daytona-beach/mainland-buccaneers/athletes/denzel-houston/football/stats/?careerid=qmbudv2ts31l5,qmbudv2ts31l5,QB,Mainland,FL,2911,2911,207.9,199,316,0.63,36,12,115,14,2014,receiving
214,Chase,Andries,Chase Andries,/in/beech-grove/beech-grove-hornets/athletes/chase-andries/football/stats/?careerid=9mq2f1o6en488,9mq2f1o6en488,"QB, FS",Beech Grove,IN,2906,2906,242.2,204,321,0.636,33,13,110,12,2014,receiving
215,Kaymen,Cureton,Kaymen Cureton,/ca/los-angeles/los-angeles-romans/athletes/kaymen-cureton/football/stats/?careerid=q7cng2gfhra00,q7cng2gfhra00,QB,Los Angeles,CA,2903,2903,241.9,145,225,0.644,23,6,131,12,2014,receiving
216,Pj,Wilson,Pj Wilson,/ca/modesto/downey-knights/athletes/pj-wilson/football/stats/?careerid=5spv5r7lctkff,5spv5r7lctkff,QB,Downey,CA,2901,2901,241.8,199,314,0.634,34,6,122,12,2014,receiving
217,Jakob,Whitworth,Jakob Whitworth,/tx/christoval/christoval-cougars/athletes/jakob-whitworth/football/stats/?careerid=rnev9c28okhqa,rnev9c28okhqa,QB,Christoval,TX,2900,2900,263.6,221,360,0.614,30,11,102,11,2014,receiving
218,Drayton,Arnold,Drayton Arnold,/sc/myrtle-beach/myrtle-beach-seahawks/athletes/drayton-arnold/football/stats/?careerid=oe82t7gp09dtd,oe82t7gp09dtd,QB,Myrtle Beach,SC,2898,2898,241.5,179,273,0.656,37,8,128,12,2014,receiving
219,Jd,Ferris,Jd Ferris,/mt/dillon/beaverhead-county-beavers/athletes/jd-ferris/football/stats/?careerid=tddda2fhp8s99,tddda2fhp8s99,"QB, FS",Beaverhead County,MT,2894,2894,241.2,198,287,0.69,36,7,131,12,2014,receiving
220,Quinten,Dormady,Quinten Dormady,/tx/boerne/boerne-greyhounds/athletes/quinten-dormady/football/stats/?careerid=n43dgs3p4n2i2,n43dgs3p4n2i2,QB,Boerne,TX,2893,2893,289.3,210,369,0.569,32,14,95,10,2014,receiving
221,Chase,Fagan,Chase Fagan,/ms/kiln/hancock-hawks/athletes/chase-fagan/football/stats/?careerid=3jhcip3fvmek4,3jhcip3fvmek4,QB,Hancock,MS,2891,2891,240.9,164,282,0.582,25,3,118,12,2014,receiving
222,Riley,Neal,Riley Neal,/in/yorktown/yorktown-tigers/athletes/riley-neal/football/stats/?careerid=pcldpqto8tdm6,pcldpqto8tdm6,QB,Yorktown,IN,2888,2888,222.2,233,376,0.62,29,5,106,13,2014,receiving
223,Michael,Harris,Michael Harris,/fl/coconut-creek/monarch-knights/athletes/michael-harris/football/stats/?careerid=3n5uld9e4diff,3n5uld9e4diff,QB,Monarch,FL,2888,2888,262.5,168,243,0.691,36,7,137,11,2014,receiving
224,Noah,Wezensky,Noah Wezensky,/in/fort-wayne/fort-wayne-bishop-luers-knights/athletes/noah-wezensky/football/stats/?careerid=5e9v3a8oio2l5,5e9v3a8oio2l5,QB,Fort Wayne Bishop Luers,IN,2879,2879,205.6,205,323,0.635,30,8,113,14,2014,receiving
225,Bradley,Mowbray,Bradley Mowbray,/ca/redlands/arrowhead-christian-eagles/athletes/bradley-mowbray/football/stats/?careerid=aj8otpvtsg088,aj8otpvtsg088,"QB, FS",Arrowhead Christian,CA,2877,2877,205.5,152,263,0.578,32,9,121,14,2014,receiving
226,Tyler,Skidmore,Tyler Skidmore,/ut/roy/roy-royals/athletes/tyler-skidmore/football/stats/?careerid=6peah26nv6ej3,6peah26nv6ej3,QB,Roy,UT,2875,2875,221.2,165,271,0.609,23,7,115,13,2014,receiving
227,Josh,Sierra,Josh Sierra,/ca/kingsburg/kingsburg-vikings/athletes/josh-sierra/football/stats/?careerid=7tk3f8l2m30bb,7tk3f8l2m30bb,"QB, FS",Kingsburg,CA,2873,2873,261.2,172,294,0.585,25,10,106,11,2014,receiving
228,Dustin,Osborne,Dustin Osborne,/nc/fayetteville/village-christian-academy-knights/athletes/dustin-osborne/football/stats/?careerid=dlq82v7ub45o8,dlq82v7ub45o8,QB,Village Christian Academy,NC,2871,2871,261.0,259,360,0.719,30,13,108,11,2014,receiving
229,Adam,Abbatacola,Adam Abbatacola,/az/apache-junction/apache-junction-prospectors/athletes/adam-abbatacola/football/stats/?careerid=of84ffcdstg66,of84ffcdstg66,QB,Apache Junction,AZ,2870,2870,287.0,167,275,0.607,32,9,121,10,2014,receiving
230,Ted,Hefter,Ted Hefter,/dc/washington/sidwell-friends-quakers/athletes/ted-hefter/football/stats/?careerid=llrlmdpik1lue,llrlmdpik1lue,QB,Sidwell Friends,DC,2869,2869,239.1,180,278,0.647,30,8,123,12,2014,receiving
231,Juwon,Hayes-keyes,Juwon Hayes-keyes,/ms/taylorsville/taylorsville-tartars/athletes/juwon-hayes-keyes/football/stats/?careerid=8ku3tp3cu2m77,8ku3tp3cu2m77,"QB, LB",Taylorsville,MS,2867,2867,204.8,167,269,0.621,33,6,129,14,2014,receiving
232,Porter,Gustin,Porter Gustin,/ut/salem/salem-hills-skyhawks/athletes/porter-gustin/football/stats/?careerid=a1hhlucgvh044,a1hhlucgvh044,"OLB, QB",Salem Hills,UT,2864,2864,238.7,212,349,0.607,22,7,100,12,2014,receiving
233,Randy,Post,Randy Post,/ca/sutter/sutter-huskies/athletes/randy-post/football/stats/?careerid=456fd5h2j39sc,456fd5h2j39sc,QB,Sutter,CA,2858,2858,204.1,128,213,0.601,42,11,122,14,2014,receiving
234,Angel,Matute,Angel Matute,/ca/rancho-cucamonga/rancho-cucamonga-cougars/athletes/angel-matute/football/stats/?careerid=g1d4cs17c99g0,g1d4cs17c99g0,QB,Rancho Cucamonga,CA,2855,2855,237.9,207,342,0.605,24,8,101,12,2014,receiving
235,Chris,Chugunov,Chris Chugunov,/nj/skillman/montgomery-cougars/athletes/chris-chugunov/football/stats/?careerid=o1u8avsrkp044,o1u8avsrkp044,QB,Montgomery,NJ,2855,2855,285.5,196,358,0.547,27,3,103,10,2014,receiving
236,Justin,Mcmillan,Justin Mcmillan,/tx/cedar-hill/cedar-hill-longhorns/athletes/justin-mcmillan/football/stats/?careerid=6215agtavhs99,6215agtavhs99,QB,Cedar Hill,TX,2854,2854,178.4,191,291,0.656,37,4,132,16,2014,receiving
237,Matt,Jimison,Matt Jimison,/ca/folsom/vista-del-lago-eagles/athletes/matt-jimison/football/stats/?careerid=fo597lh428ak4,fo597lh428ak4,QB,Vista del Lago,CA,2850,2850,237.5,204,334,0.611,29,6,110,12,2014,receiving
238,Will,Lloyd,Will Lloyd,/sc/charleston/northwood-academy-chargers/athletes/will-lloyd/football/stats/?careerid=l791sjpu3a1o8,l791sjpu3a1o8,QB,Northwood Academy,SC,2849,2849,219.2,169,260,0.65,41,7,130,13,2014,receiving
239,Christian,Alexander,Christian Alexander,/fl/lakeland/lakeland-christian-vikings/athletes/christian-alexander/football/stats/?careerid=h224vfqtg4322,h224vfqtg4322,QB,Lakeland Christian,FL,2847,2847,219.0,179,297,0.603,37,11,116,13,2014,receiving
240,Noah,Righetti,Noah Righetti,/ca/stockton/st-marys-rams/athletes/noah-righetti/football/stats/?careerid=q1d93kk0ca7ue,q1d93kk0ca7ue,QB,St. Mary's,CA,2845,2845,203.2,169,279,0.606,32,9,120,14,2014,receiving
241,Gabe,Green,Gabe Green,/il/springfield/sacred-heart-griffin-cyclones/athletes/gabe-green/football/stats/?careerid=0eihe50ddlf77,0eihe50ddlf77,QB,Sacred Heart-Griffin,IL,2841,2841,202.9,162,216,0.75,37,1,154,14,2014,receiving
242,Sam,Schuermann,Sam Schuermann,/ok/blackwell/blackwell-maroons/athletes/sam-schuermann/football/stats/?careerid=52gorcjqej033,52gorcjqej033,"QB, OLB",Blackwell,OK,2838,2838,283.8,218,387,0.563,25,16,84,10,2014,receiving
243,Chase,Parrish,Chase Parrish,/ga/norman-park/colquitt-county-packers/athletes/chase-parrish/football/stats/?careerid=mfb8hqqanqih1,mfb8hqqanqih1,QB,Colquitt County,GA,2837,2837,189.1,224,310,0.723,29,9,120,15,2014,receiving
244,Cody,Agnew,Cody Agnew,/va/nokesville/patriot-pioneers/athletes/cody-agnew/football/stats/?careerid=klb4l9rl6p555,klb4l9rl6p555,QB,Patriot,VA,2833,2833,217.9,195,302,0.646,30,7,118,13,2014,receiving
245,Jacob,Eason,Jacob Eason,/wa/lake-stevens/lake-stevens-vikings/athletes/jacob-eason/football/stats/?careerid=ugh2c25s0go00,ugh2c25s0go00,QB,Lake Stevens,WA,2829,2829,257.2,197,287,0.686,32,3,133,11,2014,receiving
246,Brett,Cox,Brett Cox,/tx/sachse/sachse-mustangs/athletes/brett-cox/football/stats/?careerid=dbi3piicaeej3,dbi3piicaeej3,QB,Sachse,TX,2825,2825,313.9,156,244,0.639,30,8,130,9,2014,receiving
247,Dalton,Gallis,Dalton Gallis,/ca/lake-isabella/kern-valley-broncs/athletes/dalton-gallis/football/stats/?careerid=kaq9remnn9788,kaq9remnn9788,QB,Kern Valley,CA,2823,2823,256.6,187,321,0.583,31,10,106,11,2014,receiving
248,Clay,Roberts,Clay Roberts,/tx/houston/st-pius-x-panthers/athletes/clay-roberts/football/stats/?careerid=melt9d865auue,melt9d865auue,QB,St. Pius X,TX,2822,2822,313.6,171,276,0.62,30,6,123,9,2014,receiving
249,Tyler,Johnston,Tyler Johnston,/il/arlington-heights/saint-viator-lions/athletes/tyler-johnston/football/stats/?careerid=4nrredqc5p4k4,4nrredqc5p4k4,QB,Saint Viator,IL,2821,2821,256.5,189,321,0.589,25,13,97,11,2014,receiving
250,Kendall,Hinton,Kendall Hinton,/nc/durham/southern-school-of-energy-and-sustainability-spartans/athletes/kendall-hinton/football/stats/?careerid=4ntnqoi4569p9,4ntnqoi4569p9,QB,Southern School of Energy and Sustainability,NC,2818,2818,234.8,180,295,0.61,25,2,118,12,2014,receiving
251,Shawn,Robinson,Shawn Robinson,/tx/denton/guyer-wildcats/athletes/shawn-robinson/football/stats/?careerid=gl0pkafl6m400,gl0pkafl6m400,QB,Guyer,TX,2811,2811,234.2,145,238,0.609,33,5,133,12,2014,receiving
252,Miles,Fallin,Miles Fallin,/ca/canyon-country/canyon-cowboys/athletes/miles-fallin/football/stats/?careerid=avevvhg2vbj00,avevvhg2vbj00,QB,Canyon,CA,2808,2808,255.3,178,312,0.571,29,18,94,11,2014,receiving
253,Roman,Ale,Roman Ale,/ca/harbor-city/narbonne-gauchos/athletes/roman-ale/football/stats/?careerid=io1fqd61a48rb,io1fqd61a48rb,QB,Narbonne,CA,2803,2803,200.2,171,303,0.564,26,9,104,14,2014,receiving
254,Tyrie,Adams,Tyrie Adams,/fl/st-petersburg/hollins-royals/athletes/tyrie-adams/football/stats/?careerid=5ljjocn60kabb,5ljjocn60kabb,QB,Hollins,FL,2802,2802,280.2,191,326,0.586,30,11,103,10,2014,receiving
255,Andrew,Bunch,Andrew Bunch,/tn/thompsons-station/independence-eagles/athletes/andrew-bunch/football/stats/?careerid=gs7vd327j34j3,gs7vd327j34j3,QB,Independence,TN,2802,2802,254.7,172,259,0.664,24,5,125,11,2014,receiving
256,Tony,Poljan,Tony Poljan,/mi/lansing/lansing-catholic-cougars/athletes/tony-poljan/football/stats/?careerid=0gn7d5efnp2o8,0gn7d5efnp2o8,"QB, DE",Lansing Catholic,MI,2802,2802,200.1,171,263,0.65,34,4,134,14,2014,receiving
257,Cade,Patterson,Cade Patterson,/nm/ruidoso/ruidoso-warriors/athletes/cade-patterson/football/stats/?careerid=sr8ri2le42jvf,sr8ri2le42jvf,"QB, DB",Ruidoso,NM,2798,2798,215.2,176,309,0.57,30,6,112,13,2014,receiving
258,Chase,Knutz,Chase Knutz,/wa/hermiston/hermiston-bulldogs/athletes/chase-knutz/football/stats/?careerid=gr9k66iicrf66,gr9k66iicrf66,"QB, DB",Hermiston,OR,2797,2797,215.2,176,310,0.568,34,15,103,13,2014,receiving
259,Deyton,Lingle,Deyton Lingle,/ms/morton/morton-panthers/athletes/deyton-lingle/football/stats/?careerid=0eshtri0f0355,0eshtri0f0355,QB,Morton,MS,2794,2794,214.9,147,289,0.509,31,21,90,13,2014,receiving
260,Zach,Wade,Zach Wade,/az/chandler/seton-catholic-sentinels/athletes/zach-wade/football/stats/?careerid=2b40rahd96166,2b40rahd96166,QB,Seton Catholic,AZ,2786,2786,214.3,143,212,0.675,39,5,140,13,2014,receiving
261,Rayshawn,Phillips,Rayshawn Phillips,/ct/hartford/capital-prep-achievement-first-trailblazers/athletes/rayshawn-phillips/football/stats/?careerid=o8amt486frug0,o8amt486frug0,QB,Capital Prep/Achievement First,CT,2766,2766,212.8,150,234,0.641,29,6,134,13,2014,receiving
262,Dalton,Minton,Dalton Minton,/ms/horn-lake/horn-lake-eagles/athletes/dalton-minton/football/stats/?careerid=47hmf78obf2sc,47hmf78obf2sc,QB,Horn Lake,MS,2762,2762,251.1,181,371,0.488,25,18,76,11,2014,receiving
263,Derek,Scott,Derek Scott,/tx/abilene/abilene-eagles/athletes/derek-scott/football/stats/?careerid=j9q8btrph6466,j9q8btrph6466,"QB, P",Abilene,TX,2761,2761,230.1,207,307,0.674,23,10,107,12,2014,receiving
264,Patrick,Stewart,Patrick Stewart,/pa/rosemont/harriton-rams/athletes/patrick-stewart/football/stats/?careerid=66rus9j84b3bb,66rus9j84b3bb,"QB, CB",Harriton,PA,2758,2758,250.7,217,420,0.517,21,16,73,11,2014,receiving
265,Brendan,Bognar,Brendan Bognar,/mo/st-louis/westminster-christian-wildcats/athletes/brendan-bognar/football/stats/?careerid=v5pgtl8h7eiqa,v5pgtl8h7eiqa,QB,Westminster Christian,MO,2754,2754,211.8,193,341,0.566,27,7,101,13,2014,receiving
266,Grant,Denbow,Grant Denbow,/oh/ashland/ashland-arrows/athletes/grant-denbow/football/stats/?careerid=bt5cbjb00d8dd,bt5cbjb00d8dd,QB,Ashland,OH,2752,2752,275.2,231,385,0.6,25,16,86,10,2014,receiving
267,Romario,Johnson,Romario Johnson,/ga/covington/newton-rams/athletes/romario-johnson/football/stats/?careerid=iat2tk8elj6p9,iat2tk8elj6p9,"QB, SS",Newton,GA,2750,2750,250.0,183,272,0.673,29,5,128,11,2014,receiving
268,Cameron,Fouch,Cameron Fouch,/ga/hartwell/hart-county-bulldogs/athletes/cameron-fouch/football/stats/?careerid=3c4mpjjs6q533,3c4mpjjs6q533,QB,Hart County,GA,2749,2749,211.5,172,284,0.606,22,11,103,13,2014,receiving
269,Chanler,Collins,Chanler Collins,/mo/strafford/strafford-indians/athletes/chanler-collins/football/stats/?careerid=bemskagms84aa,bemskagms84aa,"FS, QB",Strafford,MO,2745,2745,211.2,170,230,0.739,38,5,144,13,2014,receiving
270,Blake,Bowen,Blake Bowen,/va/richmond/trinity-episcopal-titans/athletes/blake-bowen/football/stats/?careerid=if2cplsudu244,if2cplsudu244,QB,Trinity Episcopal,VA,2743,2743,249.4,158,284,0.556,35,7,118,11,2014,receiving
271,Justice,Summerset,Justice Summerset,/az/tucson/mountain-view-mountain-lions/athletes/justice-summerset/football/stats/?careerid=7fdjkpbuqp544,7fdjkpbuqp544,"QB, FS",Mountain View,AZ,2742,2742,274.2,160,307,0.521,21,5,99,10,2014,receiving
272,Ligon,West,Ligon West,/tx/stamford/stamford-bulldogs/athletes/ligon-west/football/stats/?careerid=5b7fjji0bm2vf,5b7fjji0bm2vf,"QB, FS",Stamford,TX,2740,2740,274.0,185,316,0.585,33,11,107,10,2014,receiving
273,Daniel,Rojo,Daniel Rojo,/tx/alpine/alpine-bucks/athletes/daniel-rojo/football/stats/?careerid=lqv7m623rr199,lqv7m623rr199,"QB, WR",Alpine,TX,2740,2740,249.1,178,298,0.597,24,12,100,11,2014,receiving
274,Daniel,Bridge-gadd,Daniel Bridge-gadd,/az/phoenix/paradise-valley-trojans/athletes/daniel-bridge-gadd/football/stats/?careerid=2gujdsuek1ap9,2gujdsuek1ap9,QB,Paradise Valley,AZ,2740,2740,228.3,171,265,0.645,41,9,124,12,2014,receiving
275,Presas,Rene,Presas Rene,/tx/mercedes/mercedes-tigers/athletes/presas-rene/football/stats/?careerid=8obooj7g4u266,8obooj7g4u266,QB,Mercedes,TX,2739,2739,249.0,183,292,0.627,25,9,109,11,2014,receiving
276,Tyler,Hilinski,Tyler Hilinski,/ca/upland/upland-highlanders-scots/athletes/tyler-hilinski/football/stats/?careerid=pkrsrgikum6qa,pkrsrgikum6qa,QB,Upland,CA,2738,2738,210.6,165,242,0.682,22,5,128,13,2014,receiving
277,Cole,Parkinson,Cole Parkinson,/ca/valencia/valencia-vikings/athletes/cole-parkinson/football/stats/?careerid=u4qbb7j15dlm6,u4qbb7j15dlm6,QB,Valencia,CA,2725,2725,247.7,175,273,0.641,26,5,121,11,2014,receiving
278,Alex,Woods,Alex Woods,/tx/spring/spring-lions/athletes/alex-woods/football/stats/?careerid=smkh34pgf1000,smkh34pgf1000,QB,Spring,TX,2724,2724,194.6,190,306,0.621,20,8,102,14,2014,receiving
279,Jordan,Young,Jordan Young,/pa/coatesville/coatesville-red-raiders/athletes/jordan-young/football/stats/?careerid=m1dhvldi0mlcc,m1dhvldi0mlcc,"QB, SS",Coatesville,PA,2720,2720,194.3,208,324,0.642,20,8,101,14,2014,receiving
280,Spencer,Ashley,Spencer Ashley,/ga/canton/cherokee-warriors/athletes/spencer-ashley/football/stats/?careerid=htm16t6i33qee,htm16t6i33qee,QB,Cherokee,GA,2718,2718,271.8,191,275,0.695,24,6,121,10,2014,receiving
281,Drew,Lock,Drew Lock,/mo/lees-summit/lees-summit-tigers/athletes/drew-lock/football/stats/?careerid=s010qalksorl5,s010qalksorl5,QB,Lee's Summit,MO,2717,2717,271.7,206,312,0.66,28,5,117,10,2014,receiving
282,Copeland,Spell,Copeland Spell,/nc/greenville/jh-rose-rampants/athletes/copeland-spell/football/stats/?careerid=07m0drpc7q000,07m0drpc7q000,"QB, FS",J.H. Rose,NC,2717,2717,226.4,186,292,0.637,31,10,115,12,2014,receiving
283,Drew,Inness,Drew Inness,/az/phoenix/northwest-christian-crusaders/athletes/drew-inness/football/stats/?careerid=3sisjnrftse22,3sisjnrftse22,"QB, DB",Northwest Christian,AZ,2716,2716,208.9,169,265,0.638,28,12,114,13,2014,receiving
284,Max,Revercomb,Max Revercomb,/va/roanoke/north-cross-raiders/athletes/max-revercomb/football/stats/?careerid=7g6bmsk106m44,7g6bmsk106m44,"QB, LB",North Cross,VA,2712,2712,246.5,205,347,0.591,32,13,99,11,2014,receiving
285,Dagan,Haehn,Dagan Haehn,/tx/corinth/lake-dallas-falcons/athletes/dagan-haehn/football/stats/?careerid=s9h1hsnbcvpo8,s9h1hsnbcvpo8,QB,Lake Dallas,TX,2710,2710,246.4,179,267,0.67,32,7,129,11,2014,receiving
286,Rj,George,Rj George,/nc/shelby/shelby-golden-lions/athletes/rj-george/football/stats/?careerid=k37cusnb6igg0,k37cusnb6igg0,QB,Shelby,NC,2709,2709,169.3,170,308,0.552,28,10,102,16,2014,receiving
287,Clay,Senerius,Clay Senerius,/mi/waterford/our-lady-of-the-lakes-lakers/athletes/clay-senerius/football/stats/?careerid=ponjch9ed7dl5,ponjch9ed7dl5,QB,Our Lady of the Lakes,MI,2696,2696,245.1,148,242,0.612,36,7,127,11,2014,receiving
288,Tristen,Cotton,Tristen Cotton,/tx/crosby/crosby-cougars/athletes/tristen-cotton/football/stats/?careerid=6jlqquo2e81bb,6jlqquo2e81bb,QB,Crosby,TX,2684,2684,178.9,187,304,0.615,19,15,90,15,2014,receiving
289,Marcus,Crawford,Marcus Crawford,/nm/aztec/aztec-tigers/athletes/marcus-crawford/football/stats/?careerid=jopc1c94ra9i2,jopc1c94ra9i2,"QB, S",Aztec,NM,2670,2670,242.7,182,316,0.576,37,10,111,11,2014,receiving
290,Alan,Lockhart,Alan Lockhart,/ok/talihina/talihina-golden-tigers/athletes/alan-lockhart/football/stats/?careerid=oaik4rg1ca2h1,oaik4rg1ca2h1,"QB, WR",Talihina,OK,2669,2669,205.3,144,206,0.699,39,3,146,13,2014,receiving
291,Luke,Mcdermott,Luke Mcdermott,/az/fountain-hills/fountain-hills-falcons/athletes/luke-mcdermott/football/stats/?careerid=ifolkfq9k7j44,ifolkfq9k7j44,"QB, FS",Fountain Hills,AZ,2668,2668,242.5,199,317,0.628,21,10,98,11,2014,receiving
292,Adam,Vance,Adam Vance,/ca/visalia/redwood-rangers/athletes/adam-vance/football/stats/?careerid=8iio91255h744,8iio91255h744,QB,Redwood,CA,2666,2666,222.2,191,326,0.586,28,10,101,12,2014,receiving
293,Patrick,Glasgow,Patrick Glasgow,/ca/santa-ana/calvary-chapel-eagles/athletes/patrick-glasgow/football/stats/?careerid=5kof71qdhidff,5kof71qdhidff,"QB, LB",Calvary Chapel,CA,2665,2665,242.3,244,378,0.646,21,13,89,11,2014,receiving
294,Bradley,Hunnicutt,Bradley Hunnicutt,/ga/gray/jones-county-greyhounds/athletes/bradley-hunnicutt/football/stats/?careerid=o3hnsc23h1due,o3hnsc23h1due,QB,Jones County,GA,2663,2663,204.8,175,276,0.634,18,12,99,13,2014,receiving
295,Karson,Sharpe,Karson Sharpe,/nc/kernersville/east-forsyth-eagles/athletes/karson-sharpe/football/stats/?careerid=0odn5g0a6k6n7,0odn5g0a6k6n7,QB,East Forsyth,NC,2660,2660,204.6,156,240,0.65,25,8,123,13,2014,receiving
296,Aaron,Owens,Aaron Owens,/az/maricopa/maricopa-rams/athletes/aaron-owens/football/stats/?careerid=0cbthjaug3due,0cbthjaug3due,"QB, FS",Maricopa,AZ,2658,2658,265.8,170,286,0.594,25,11,103,10,2014,receiving
297,Beau,Kalbacher,Beau Kalbacher,/tx/austin/austin-maroons/athletes/beau-kalbacher/football/stats/?careerid=knjeo2d3q0lm6,knjeo2d3q0lm6,QB,Austin,TX,2656,2656,241.5,236,422,0.559,27,9,87,11,2014,receiving
298,Marcus,Romero,Marcus Romero,/ca/san-jose/piedmont-hills-pirates/athletes/marcus-romero/football/stats/?careerid=3970mq679urff,3970mq679urff,QB,Piedmont Hills,CA,2654,2654,221.2,196,341,0.575,27,13,93,12,2014,receiving
299,Judson,Petty,Judson Petty,/nc/randleman/randleman-tigers/athletes/judson-petty/football/stats/?careerid=2b13ql7ndpgff,2b13ql7ndpgff,"QB, WR",Randleman,NC,2654,2654,204.2,173,293,0.59,25,10,103,13,2014,receiving
300,Greg,Ruff,Greg Ruff,/sc/rock-hill/south-pointe-stallions/athletes/greg-ruff/football/stats/?careerid=3789n4tai4o11,3789n4tai4o11,"QB, FS",South Pointe,SC,2653,2653,176.9,207,293,0.706,33,8,125,15,2014,receiving
301,Brad,Cagle,Brad Cagle,/ca/lakeside/el-capitan-vaqueros/athletes/brad-cagle/football/stats/?careerid=dlmbifd90l233,dlmbifd90l233,"QB, DB",El Capitan,CA,2650,2650,203.8,158,267,0.592,29,5,121,13,2014,receiving
302,Cort,Groathouse,Cort Groathouse,/ca/lemoore/lemoore-tigers/athletes/cort-groathouse/football/stats/?careerid=vt3i8kekdlpue,vt3i8kekdlpue,QB,Lemoore,CA,2647,2647,220.6,205,322,0.637,31,13,105,12,2014,receiving
303,Ramar,Williams,Ramar Williams,/md/forestville/bishop-mcnamara-mustangs/athletes/ramar-williams/football/stats/?careerid=f3uiml8u5p9ee,f3uiml8u5p9ee,"QB, FS",Bishop McNamara,MD,2644,2644,264.4,165,265,0.623,24,12,107,10,2014,receiving
304,Edward,Dominguez ii (ed2),Edward Dominguez ii (ed2),/ca/el-monte/el-monte-lions/athletes/edward-dominguez-ii-ed2-/football/stats/?careerid=8fr04n85cdvk4,8fr04n85cdvk4,"QB, P",El Monte,CA,2641,2641,240.1,180,351,0.513,23,16,79,11,2014,receiving
305,Aaron,Swain,Aaron Swain,/tx/laredo/alexander-bulldogs/athletes/aaron-swain/football/stats/?careerid=qa2vbtbiof844,qa2vbtbiof844,"QB, FS",Alexander,TX,2640,2640,240.0,238,418,0.569,30,7,93,11,2014,receiving
306,Larry,Harrington,Larry Harrington,/nc/wendell/east-wake-warriors/athletes/larry-harrington/football/stats/?careerid=74oub5ubtpndd,74oub5ubtpndd,"QB, WR",East Wake,NC,2639,2639,203.0,204,323,0.632,30,16,99,13,2014,receiving
307,Clint,Bobowski,Clint Bobowski,/il/wheaton/st-francis-spartans/athletes/clint-bobowski/football/stats/?careerid=2mup4kb7tbh88,2mup4kb7tbh88,QB,St. Francis,IL,2635,2635,202.7,215,387,0.556,24,9,88,13,2014,receiving
308,P.j.,Garrett,P.j. Garrett,/al/bessemer/bessemer-academy-rebels/athletes/pj-garrett/football/stats/?careerid=05b58ut3e8m66,05b58ut3e8m66,QB,Bessemer Academy,AL,2635,2635,202.7,132,204,0.647,33,9,129,13,2014,receiving
309,Elijah,Ross,Elijah Ross,/co/centennial/eaglecrest-raptors/athletes/elijah-ross/football/stats/?careerid=8707a8lin74j3,8707a8lin74j3,"QB, CB",Eaglecrest,CO,2632,2632,239.3,174,291,0.598,27,12,103,11,2014,receiving
