sacks_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,yds,yds_g,comp,att,pct,td,int,rate,games_played,year,category
11,Ryder,Hernandez,Ryder Hernandez,/tx/cedar-park/cedar-park-timberwolves/athletes/ryder-hernandez/football/stats/?careerid=l0nt2ib1iv3h1,l0nt2ib1iv3h1,QB,Cedar Park,TX,3938,3938,302.9,264,388,0.68,54,4,136,13,2020,sacks
12,Sam,Horn,Sam Horn,/ga/suwanee/collins-hill-eagles/athletes/sam-horn/football/stats/?careerid=cb30724poqfl5,cb30724poqfl5,QB,Collins Hill,GA,3910,3910,260.7,361,552,0.654,41,14,100,15,2020,sacks
13,Brandon,Tennison,Brandon Tennison,/tx/gilmer/gilmer-buckeyes/athletes/brandon-tennison/football/stats/?careerid=p98b7834aqoo8,p98b7834aqoo8,"QB, WR",Gilmer,TX,3866,3866,257.7,241,380,0.634,40,18,113,15,2020,sacks
14,Seth,Henigan,Seth Henigan,/tx/denton/ryan-raiders/athletes/seth-henigan/football/stats/?careerid=9oqqv0b206ksc,9oqqv0b206ksc,QB,Ryan,TX,3828,3828,255.2,237,352,0.673,42,8,134,15,2020,sacks
15,Conner,Weigman,Conner Weigman,/tx/cypress/bridgeland-bears/athletes/conner-weigman/football/stats/?careerid=vvtok77ndskh1,vvtok77ndskh1,QB,Bridgeland,TX,3803,3803,292.5,277,441,0.628,42,11,112,13,2020,sacks
16,Richard,Stallworth,Richard Stallworth,/az/yuma/yuma-catholic-shamrocks/athletes/richard-stallworth/football/stats/?careerid=c2bf1n7fp3tqa,c2bf1n7fp3tqa,"QB, LB",Yuma Catholic,AZ,3803,3803,345.7,212,321,0.66,49,10,133,11,2020,sacks
17,Josh,Culwell,Josh Culwell,/tx/canadian/canadian-wildcats/athletes/josh-culwell/football/stats/?careerid=86j30avhflctd,86j30avhflctd,QB,Canadian,TX,3708,3708,247.2,221,322,0.686,49,9,135,15,2020,sacks
18,Matthew,Tippie,Matthew Tippie,/tx/wimberley/wimberley-texans/athletes/matthew-tippie/football/stats/?careerid=9i1n34eqi59k4,9i1n34eqi59k4,,Wimberley,TX,3665,3665,244.3,230,384,0.599,36,7,115,15,2020,sacks
19,Caden,Burke,Caden Burke,/tx/godley/godley-wildcats/athletes/caden-burke/football/stats/?careerid=vuqqscprrje77,vuqqscprrje77,,Godley,TX,3660,3660,305.0,202,349,0.579,38,7,122,12,2020,sacks
20,Behren,Morton,Behren Morton,/tx/eastland/eastland-mavericks/athletes/behren-morton/football/stats/?careerid=kmf6koih3pl00,kmf6koih3pl00,"QB, FS",Eastland,TX,3613,3613,277.9,266,388,0.686,37,6,123,13,2020,sacks
21,Carson,Clark,Carson Clark,/in/fort-wayne/fort-wayne-bishop-luers-knights/athletes/carson-clark/football/stats/?careerid=btuvf63iuek44,btuvf63iuek44,"QB, DB",Fort Wayne Bishop Luers,IN,3592,3592,239.5,242,391,0.619,38,11,113,15,2020,sacks
22,Conner,Harrell,Conner Harrell,/al/alabaster/thompson-warriors/athletes/conner-harrell/football/stats/?careerid=tuk8nfvc70v88,tuk8nfvc70v88,QB,Thompson,AL,3568,3568,254.9,229,312,0.734,42,3,146,14,2020,sacks
23,Landry,Lyddy,Landry Lyddy,/la/shreveport/calvary-baptist-academy-cavaliers/athletes/landry-lyddy/football/stats/?careerid=amdbobu8gg5qa,amdbobu8gg5qa,QB,Calvary Baptist Academy,LA,3566,3566,324.2,166,252,0.659,43,3,144,11,2020,sacks
24,Josh,Hoover,Josh Hoover,/tx/rockwall/rockwall-heath-hawks/athletes/josh-hoover/football/stats/?careerid=tb00obfae1hdd,tb00obfae1hdd,QB,Rockwall-Heath,TX,3556,3556,273.5,236,372,0.634,36,12,114,13,2020,sacks
25,Blaine,Huston,Blaine Huston,/oh/kenton/kenton-wildcats/athletes/blaine-huston/football/stats/?careerid=c1gss2un372p9,c1gss2un372p9,QB,Kenton,OH,3502,3502,389.1,254,433,0.587,29,16,92,9,2020,sacks
26,Cade,Klubnik,Cade Klubnik,/tx/austin/westlake-chaparrals/athletes/cade-klubnik/football/stats/?careerid=77njne6dcmbaa,77njne6dcmbaa,QB,Westlake,TX,3495,3495,249.6,239,353,0.677,35,3,129,14,2020,sacks
27,Rj,Johnson,Rj Johnson,/ga/atlanta/westlake-lions/athletes/rj-johnson/football/stats/?careerid=redlfgm0rc3qa,redlfgm0rc3qa,QB,Westlake,GA,3475,3475,267.3,212,302,0.702,28,4,134,13,2020,sacks
28,Brett,Hoffman,Brett Hoffman,/tx/buffalo/buffalo-bison/athletes/brett-hoffman/football/stats/?careerid=utusm3btjqtl5,utusm3btjqtl5,"QB, WR",Buffalo,TX,3462,3462,266.3,190,314,0.605,39,9,126,13,2020,sacks
29,Bishop,Davenport,Bishop Davenport,/tx/spring/spring-lions/athletes/bishop-davenport/football/stats/?careerid=t128eu7aq7e88,t128eu7aq7e88,QB,Spring,TX,3459,3459,345.9,234,336,0.696,36,3,135,10,2020,sacks
30,Preston,Stone,Preston Stone,/tx/dallas/parish-episcopal-panthers/athletes/preston-stone/football/stats/?careerid=7v03clncuq799,7v03clncuq799,"QB, P",Parish Episcopal,TX,3448,3448,313.5,233,313,0.744,38,6,142,11,2020,sacks
31,Cutter,Stewart,Cutter Stewart,/tx/orange-grove/orange-grove-bulldogs/athletes/cutter-stewart/football/stats/?careerid=c7p3hn8dg0i77,c7p3hn8dg0i77,"QB, ATH",Orange Grove,TX,3446,3446,313.3,231,382,0.605,39,6,118,11,2020,sacks
32,Ty,Thompson,Ty Thompson,/az/gilbert/mesquite-wildcats/athletes/ty-thompson/football/stats/?careerid=ogfjm6tsmpdk4,ogfjm6tsmpdk4,QB,Mesquite,AZ,3431,3431,381.2,183,308,0.594,34,7,125,9,2020,sacks
33,Cj,Rogers,Cj Rogers,/tx/argyle/argyle-eagles/athletes/cj-rogers/football/stats/?careerid=flf1tteoc9r66,flf1tteoc9r66,"QB, WR",Argyle,TX,3414,3414,213.4,181,285,0.635,48,4,139,16,2020,sacks
34,Tyler,Gee,Tyler Gee,/ar/cabot/cabot-panthers/athletes/tyler-gee/football/stats/?careerid=3t79ab319h0h1,3t79ab319h0h1,QB,Cabot,AR,3412,3412,284.3,201,323,0.622,34,14,115,12,2020,sacks
35,Burke,Wahlberg,Burke Wahlberg,/tx/richardson/pearce-mustangs/athletes/burke-wahlberg/football/stats/?careerid=ag75mpsedtv55,ag75mpsedtv55,QB,Pearce,TX,3388,3388,308.0,238,383,0.621,35,13,107,11,2020,sacks
36,Eddie lee,Marburger,Eddie lee Marburger,/tx/mission/pioneer-diamondbacks/athletes/eddie-lee-marburger/football/stats/?careerid=i21tu396vakcc,i21tu396vakcc,QB,Pioneer,TX,3385,3385,376.1,203,306,0.663,36,4,137,9,2020,sacks
37,Chris,Lee,Chris Lee,/tx/azle/azle-hornets/athletes/chris-lee/football/stats/?careerid=droge69v1kaaa,droge69v1kaaa,QB,Azle,TX,3373,3373,281.1,188,291,0.646,36,3,140,12,2020,sacks
38,Braedyn,Locke,Braedyn Locke,/tx/rockwall/rockwall-yellowjackets/athletes/braedyn-locke/football/stats/?careerid=7tag02ud7uh99,7tag02ud7uh99,QB,Rockwall,TX,3277,3277,273.1,224,331,0.677,40,6,132,12,2020,sacks
39,Jaron,Garrett,Jaron Garrett,/ut/cedar-city/cedar-reds/athletes/jaron-garrett/football/stats/?careerid=up4i5fl3rmal5,up4i5fl3rmal5,QB,Cedar,UT,3251,3251,270.9,190,286,0.664,33,8,132,12,2020,sacks
40,Tyler,Townley,Tyler Townley,/tx/caddo-mills/caddo-mills-foxes/athletes/tyler-townley/football/stats/?careerid=il55s1k1j8maa,il55s1k1j8maa,"QB, FS",Caddo Mills,TX,3201,3201,246.2,184,289,0.637,39,10,126,13,2020,sacks
41,Randy,Levak,Randy Levak,/oh/macedonia/nordonia-knights/athletes/randy-levak/football/stats/?careerid=evntabk36kf00,evntabk36kf00,"QB, P",Nordonia,OH,3186,3186,289.6,200,362,0.552,30,7,104,11,2020,sacks
42,Connor,Beavon,Connor Beavon,/tn/franklin/franklin-admirals/athletes/connor-beavon/football/stats/?careerid=eq29dcuiu7lqa,eq29dcuiu7lqa,QB,Franklin,TN,3178,3178,244.5,211,340,0.621,25,10,105,13,2020,sacks
43,Blake,White,Blake White,/in/indianapolis/indianapolis-lutheran-saints/athletes/blake-white/football/stats/?careerid=1qsmd03loadh1,1qsmd03loadh1,QB,Indianapolis Lutheran,IN,3136,3136,285.1,208,298,0.698,46,11,128,11,2020,sacks
44,Maddox,Kopp,Maddox Kopp,/tx/houston/st-thomas-catholic-eagles/athletes/maddox-kopp/football/stats/?careerid=e7jnrkf5p1466,e7jnrkf5p1466,QB,St. Thomas Catholic,TX,3134,3134,348.2,196,328,0.598,30,4,117,9,2020,sacks
45,Gunner,Stockton,Gunner Stockton,/ga/tiger/rabun-county-wildcats/athletes/gunner-stockton/football/stats/?careerid=9qdnf6faeebg0,9qdnf6faeebg0,QB,Rabun County,GA,3128,3128,223.4,213,317,0.672,45,4,134,14,2020,sacks
46,Nathan,Mccahill,Nathan Mccahill,/in/indianapolis/cathedral-fighting-irish/athletes/nathan-mccahill/football/stats/?careerid=gsui0dklkf322,gsui0dklkf322,"QB, WR",Cathedral,IN,3125,3125,223.2,227,333,0.682,41,5,131,14,2020,sacks
47,Cooper,Riggs,Cooper Riggs,/tn/knoxville/grace-christian-academy-rams/athletes/cooper-riggs/football/stats/?careerid=h9lmhtoois8cc,h9lmhtoois8cc,QB,Grace Christian Academy,TN,3124,3124,284.0,248,423,0.586,34,14,95,11,2020,sacks
48,Jarrett,Wilson,Jarrett Wilson,/mt/polson/polson-pirates/athletes/jarrett-wilson/football/stats/?careerid=gpe5rojl36bsc,gpe5rojl36bsc,QB,Polson,MT,3115,3115,346.1,256,429,0.597,32,12,95,9,2020,sacks
49,Caden,Sipe,Caden Sipe,/ar/searcy/harding-academy-wildcats/athletes/caden-sipe/football/stats/?careerid=7i1vu1pfvbs22,7i1vu1pfvbs22,QB,Harding Academy,AR,3109,3109,259.1,222,292,0.76,32,5,139,12,2020,sacks
50,Bennett,Meredith,Bennett Meredith,/al/hoover/hoover-buccaneers/athletes/bennett-meredith/football/stats/?careerid=5e334bpdf7ll5,5e334bpdf7ll5,QB,Spain Park,AL,3106,3106,310.6,243,371,0.655,24,6,106,10,2020,sacks
51,Dylan,Hair,Dylan Hair,/mo/jefferson-city/blair-oaks-falcons/athletes/dylan-hair/football/stats/?careerid=e7lsc4cj75fi2,e7lsc4cj75fi2,QB,Blair Oaks,MO,3103,3103,221.6,171,270,0.633,43,8,130,14,2020,sacks
52,Mason,Shorb,Mason Shorb,/tx/leander/rouse-raiders/athletes/mason-shorb/football/stats/?careerid=5ndhrqidp20g0,5ndhrqidp20g0,QB,Rouse,TX,3100,3100,258.3,177,273,0.648,39,8,131,12,2020,sacks
53,Owen,Treece,Owen Treece,/oh/van-wert/van-wert-cougars/athletes/owen-treece/football/stats/?careerid=ngd8sudu73abb,ngd8sudu73abb,QB,Van Wert,OH,3099,3099,258.2,235,347,0.677,37,11,118,12,2020,sacks
54,David,Wright,David Wright,/fl/tampa/tampa-bay-tech-titans/athletes/david-wright/football/stats/?careerid=j7f30qe5cban7,j7f30qe5cban7,QB,Tampa Bay Tech,FL,3078,3078,256.5,161,257,0.626,34,7,132,12,2020,sacks
55,Mccae,Hillstead,Mccae Hillstead,/ut/lehi/skyridge-falcons/athletes/mccae-hillstead/football/stats/?careerid=uqap01gpk84cc,uqap01gpk84cc,QB,Skyridge,UT,3077,3077,236.7,194,304,0.638,35,10,122,13,2020,sacks
56,Caleb,Mccreary,Caleb Mccreary,/al/montgomery/montgomery-catholic-knights/athletes/caleb-mccreary/football/stats/?careerid=e5e6t78qqfk00,e5e6t78qqfk00,QB,Montgomery Catholic,AL,3050,3050,203.3,146,264,0.553,36,13,115,15,2020,sacks
57,Walker,Howard,Walker Howard,/la/lafayette/st-thomas-more-cougars/athletes/walker-howard/football/stats/?careerid=6em20ius8up99,6em20ius8up99,QB,St. Thomas More,LA,3049,3049,338.8,190,288,0.66,35,4,135,9,2020,sacks
58,Hess,Horne,Hess Horne,/al/eufaula/eufaula-tigers/athletes/hess-horne/football/stats/?careerid=c1tvv7qq947bb,c1tvv7qq947bb,QB,Eufaula,AL,3040,3040,253.3,219,348,0.629,35,6,117,12,2020,sacks
59,Kam,Turner,Kam Turner,/ar/osceola/osceola-seminoles/athletes/kam-turner/football/stats/?careerid=ot0npps9hlso8,ot0npps9hlso8,"QB, FS",Rivercrest,AR,3039,3039,217.1,154,243,0.634,38,5,138,14,2020,sacks
60,Kale,Jensen,Kale Jensen,/ne/central-city/central-city-bison/athletes/kale-jensen/football/stats/?careerid=1381ks7nuih77,1381ks7nuih77,"QB, ILB",Central City,NE,3033,3033,337.0,271,397,0.683,37,9,112,9,2020,sacks
61,Duce,Taylor,Duce Taylor,/in/fort-wayne/fort-wayne-north-side-legends/athletes/duce-taylor/football/stats/?careerid=ob7tlelqacuvf,ob7tlelqacuvf,QB,Fort Wayne North Side,IN,3033,3033,275.7,196,304,0.645,33,6,125,11,2020,sacks
62,Jarret,Elmer,Jarret Elmer,/ut/salem/salem-hills-skyhawks/athletes/jarret-elmer/football/stats/?careerid=2v6sd9utih644,2v6sd9utih644,"QB, CB",Salem Hills,UT,3024,3024,252.0,199,357,0.557,32,12,100,12,2020,sacks
63,Coleman,Smith,Coleman Smith,/ga/johns-creek/mount-pisgah-christian-patriots/athletes/coleman-smith/football/stats/?careerid=nomf1s7qhr300,nomf1s7qhr300,"QB, SS",Mount Pisgah Christian,GA,3020,3020,274.5,243,394,0.617,22,10,93,11,2020,sacks
64,Carson,May,Carson May,/ok/jones/jones-longhorns/athletes/carson-may/football/stats/?careerid=ngjm10bqhu9ee,ngjm10bqhu9ee,QB,Jones,OK,3020,3020,251.7,220,366,0.601,26,5,105,12,2020,sacks
65,Kai,Horton,Kai Horton,/tx/carthage/carthage-bulldogs/athletes/kai-horton/football/stats/?careerid=skqnr67h1pubb,skqnr67h1pubb,QB,Carthage,TX,3012,3012,215.1,169,253,0.668,34,2,144,14,2020,sacks
66,Jake,Roberson,Jake Roberson,/tx/boerne/geneva-eagles/athletes/jake-roberson/football/stats/?careerid=0l7um9ih7d355,0l7um9ih7d355,"QB, MLB",Geneva,TX,3002,3002,300.2,204,359,0.568,31,15,96,10,2020,sacks
67,Nash,Villegas,Nash Villegas,/tx/corpus-christi/flour-bluff-hornets/athletes/nash-villegas/football/stats/?careerid=1tjivgkvqim99,1tjivgkvqim99,,Flour Bluff,TX,2991,2991,230.1,192,312,0.615,30,6,117,13,2020,sacks
68,Ethan,Jackson,Ethan Jackson,/ut/sandy/alta-hawks/athletes/ethan-jackson/football/stats/?careerid=j32doc0pfjb55,j32doc0pfjb55,QB,Alta,UT,2989,2989,271.7,181,314,0.576,28,10,106,11,2020,sacks
69,Doug,Rakes,Doug Rakes,/oh/sherwood/fairview-apaches/athletes/doug-rakes/football/stats/?careerid=14sbaefiv27qa,14sbaefiv27qa,"WR, CB",Fairview,OH,2987,2987,298.7,202,294,0.687,42,6,133,10,2020,sacks
70,Zy,Mcdonald - qb/ath,Zy Mcdonald - qb/ath,/ms/ridgeland/ridgeland-titans/athletes/zy-mcdonald--qb-ath/football/stats/?careerid=joi68nfgqm766,joi68nfgqm766,"QB, CB",Ridgeland,MS,2984,2984,298.4,202,317,0.637,35,6,123,10,2020,sacks
71,Payton,Allen,Payton Allen,/al/lafayette/chambers-academy-rebels/athletes/payton-allen/football/stats/?careerid=ujd1s15tpns00,ujd1s15tpns00,"QB, SS",Chambers Academy,AL,2958,2958,227.5,143,209,0.684,18,6,128,13,2020,sacks
72,Camden,Chesney,Camden Chesney,/tx/springtown/springtown-porcupines/athletes/camden-chesney/football/stats/?careerid=m0ttprg0di9m6,m0ttprg0di9m6,QB,Springtown,TX,2951,2951,227.0,211,352,0.599,35,7,112,13,2020,sacks
73,Carter,Senterfitt,Carter Senterfitt,/tx/corpus-christi/corpus-christi-veterans-memorial-eagles/athletes/carter-senterfitt/football/stats/?careerid=7bnj3c0rre566,7bnj3c0rre566,QB,Corpus Christi Veterans Memorial,TX,2941,2941,210.1,186,295,0.631,27,6,118,14,2020,sacks
74,Joseph,Pesansky,Joseph Pesansky,/fl/tampa/jesuit-tigers/athletes/joseph-pesansky/football/stats/?careerid=u3aaqeln427g0,u3aaqeln427g0,QB,Jesuit,FL,2930,2930,209.3,164,259,0.633,35,5,134,14,2020,sacks
75,Gavynn,Parker,Gavynn Parker,/ok/hooker/hooker-bulldogs/athletes/gavynn-parker/football/stats/?careerid=89ambvrrvgbdd,89ambvrrvgbdd,QB,Hooker,OK,2929,2929,266.3,178,299,0.595,35,14,112,11,2020,sacks
76,Austin,Ledbetter,Austin Ledbetter,/ar/bryant/bryant-hornets/athletes/austin-ledbetter/football/stats/?careerid=17v72d95kor77,17v72d95kor77,QB,Bryant,AR,2926,2926,243.8,161,252,0.639,42,5,135,12,2020,sacks
77,Dayton,Wolfe,Dayton Wolfe,/ok/oklahoma-city/westmoore-jaguars/athletes/dayton-wolfe/football/stats/?careerid=5i93n2ho1v299,5i93n2ho1v299,QB,Westmoore,OK,2922,2922,265.6,227,372,0.61,30,11,100,11,2020,sacks
78,Chris,Ruhnke,Chris Ruhnke,/mo/platte-city/platte-county-pirates/athletes/chris-ruhnke/football/stats/?careerid=cdhvanhverr33,cdhvanhverr33,QB,Platte County,MO,2922,2922,224.8,198,379,0.522,28,16,85,13,2020,sacks
79,Braxton,Darren bolingbroke,Braxton Darren bolingbroke,/ut/salt-lake-city/skyline-eagles/athletes/braxton-darren-bolingbroke/football/stats/?careerid=s2f3brdmvfaaa,s2f3brdmvfaaa,QB,Skyline,UT,2911,2911,291.1,194,281,0.69,42,6,133,10,2020,sacks
80,Tyler,Buescher,Tyler Buescher,/oh/west-jefferson/west-jefferson-roughriders/athletes/tyler-buescher/football/stats/?careerid=dqklcd72krbcc,dqklcd72krbcc,"QB, CB",West Jefferson,OH,2911,2911,323.4,186,263,0.707,28,7,132,9,2020,sacks
81,Kyle,Moseley,Kyle Moseley,/ga/sugar-hill/georgia-force-christian-blue-knights/athletes/kyle-moseley/football/stats/?careerid=lchjfn96rdsvf,lchjfn96rdsvf,"QB, CB",Georgia Force Christian,GA,2911,2911,264.6,165,309,0.534,40,12,109,11,2020,sacks
82,Dashun,Lofton,Dashun Lofton,/ms/forest/forest-bearcats/athletes/dashun-lofton/football/stats/?careerid=tt5hedo9t6a22,tt5hedo9t6a22,"QB, CB",Forest,MS,2905,2905,290.5,169,274,0.617,32,9,123,10,2020,sacks
83,Noble,Johnson,Noble Johnson,/in/rockville/parke-heritage-wolves/athletes/noble-johnson/football/stats/?careerid=m6u03g304j855,m6u03g304j855,"WR, SS",Parke Heritage,IN,2905,2905,363.1,152,217,0.7,38,3,146,8,2020,sacks
84,Jarrett,Synek,Jarrett Synek,/ne/hastings/hastings-tigers/athletes/jarrett-synek/football/stats/?careerid=utfho0c0ngubb,utfho0c0ngubb,QB,Hastings,NE,2903,2903,263.9,159,267,0.596,33,9,123,11,2020,sacks
85,Alex,Baker,Alex Baker,/mo/carl-junction/carl-junction-bulldogs/athletes/alex-baker/football/stats/?careerid=b9i5g05bklr66,b9i5g05bklr66,"QB, WR",Carl Junction,MO,2900,2900,241.7,209,365,0.573,28,16,90,12,2020,sacks
86,Thomas,Castellanos,Thomas Castellanos,/ga/waycross/ware-county-gators/athletes/thomas-castellanos/football/stats/?careerid=8dl6asfeousg0,8dl6asfeousg0,QB,Ware County,GA,2881,2881,240.1,181,305,0.593,23,6,108,12,2020,sacks
87,Kemper,Hodges,Kemper Hodges,/ga/marietta/pope-greyhounds/athletes/kemper-hodges/football/stats/?careerid=kvbmr1vq91an7,kvbmr1vq91an7,QB,South Walton,FL,2875,2875,287.5,210,356,0.59,26,12,95,10,2020,sacks
88,Gavin,Rountree,Gavin Rountree,/tx/stephenville/stephenville-yellow-jackets-honeybees/athletes/gavin-rountree/football/stats/?careerid=vu9hmuq2nfu88,vu9hmuq2nfu88,"WR, CB",Stephenville,TX,2867,2867,238.9,184,291,0.632,24,9,110,12,2020,sacks
89,Jace,Palmer,Jace Palmer,/ut/blanding/san-juan-broncos/athletes/jace-palmer/football/stats/?careerid=7mie2mnetchff,7mie2mnetchff,"QB, OLB",San Juan,UT,2859,2859,238.2,218,364,0.599,31,13,98,12,2020,sacks
90,Layth,Holiday,Layth Holiday,/ms/belden/tupelo-christian-prep-eagles/athletes/layth-holiday/football/stats/?careerid=tnusjhcnvrmn7,tnusjhcnvrmn7,"QB, DB",Tupelo Christian Prep,MS,2859,2859,259.9,162,270,0.6,41,12,117,11,2020,sacks
91,Brooks,Pangle,Brooks Pangle,/ga/evans/greenbrier-wolfpack/athletes/brooks-pangle/football/stats/?careerid=1vrb0ves038rb,1vrb0ves038rb,QB,Greenbrier,GA,2858,2858,259.8,212,356,0.596,31,10,102,11,2020,sacks
92,Zach,Holtzclaw,Zach Holtzclaw,/ga/dawsonville/dawson-county-tigers/athletes/zach-holtzclaw/football/stats/?careerid=6pii639a35bm6,6pii639a35bm6,QB,Dawson County,GA,2834,2834,236.2,176,297,0.593,28,9,110,12,2020,sacks
93,Davin,Wydner,Davin Wydner,/fl/melbourne/holy-trinity-episcopal-academy-tigers/athletes/davin-wydner/football/stats/?careerid=leaj2ce5jnn99,leaj2ce5jnn99,QB,Holy Trinity Episcopal Academy,FL,2809,2809,312.1,177,274,0.646,24,8,116,9,2020,sacks
94,Joe,Garlick,Joe Garlick,/ut/bluffdale/summit-academy-bears/athletes/joe-garlick/football/stats/?careerid=nhr5nuq3eagp9,nhr5nuq3eagp9,QB,Summit Academy,UT,2806,2806,233.8,199,325,0.612,26,9,104,12,2020,sacks
95,Brutus,Ogilvie,Brutus Ogilvie,/oh/hanoverton/united-golden-eagles/athletes/brutus-ogilvie/football/stats/?careerid=5a2kckkducbm6,5a2kckkducbm6,"QB, SS",United,OH,2793,2793,279.3,209,308,0.679,26,6,116,10,2020,sacks
96,Blake,Buzzell,Blake Buzzell,/tx/victoria/victoria-west-warriors/athletes/blake-buzzell/football/stats/?careerid=dv3mf0jcgg0p9,dv3mf0jcgg0p9,"QB, FS",Victoria West,TX,2789,2789,232.4,187,289,0.647,38,12,118,12,2020,sacks
97,Trent,Pearman,Trent Pearman,/sc/central/daniel-lions/athletes/trent-pearman/football/stats/?careerid=ai7htvls2ibl5,ai7htvls2ibl5,QB,Daniel,SC,2786,2786,278.6,164,210,0.781,35,2,155,10,2020,sacks
98,Dakota,Burritt,Dakota Burritt,/ks/lenexa/st-james-academy-thunder/athletes/dakota-burritt/football/stats/?careerid=6hgrjor69go11,6hgrjor69go11,"QB, K",St. James Academy,KS,2783,2783,231.9,184,310,0.594,28,7,110,12,2020,sacks
99,Holden,Geriner,Holden Geriner,/ga/savannah/benedictine-cadets/athletes/holden-geriner/football/stats/?careerid=i2pnke81l1ln7,i2pnke81l1ln7,"QB, FS",Benedictine,GA,2770,2770,230.8,179,264,0.678,25,3,129,12,2020,sacks
100,Charlie,Fiser,Charlie Fiser,/ar/little-rock/pulaski-academy-bruins/athletes/charlie-fiser/football/stats/?careerid=kpvho88lsjorb,kpvho88lsjorb,QB,Pulaski Academy,AR,2761,2761,212.4,214,320,0.669,38,12,118,13,2020,sacks
101,Charles,Wright,Charles Wright,/tx/austin/austin-maroons/athletes/charles-wright/football/stats/?careerid=eclac1ofvhmj3,eclac1ofvhmj3,QB,Austin,TX,2759,2759,306.6,222,345,0.643,31,9,108,9,2020,sacks
102,Will,Loy,Will Loy,/ms/wesson/wesson-cobras/athletes/will-loy/football/stats/?careerid=mabgfdtc9tbg0,mabgfdtc9tbg0,QB,Wesson,MS,2759,2759,250.8,168,262,0.641,39,3,134,11,2020,sacks
103,Caleb,Welch,Caleb Welch,/tx/lake-worth/lake-worth-bullfrogs/athletes/caleb-welch/football/stats/?careerid=dag92ecbfmqp9,dag92ecbfmqp9,QB,Lake Worth,TX,2758,2758,250.7,207,350,0.591,27,8,100,11,2020,sacks
104,Javan,Noyes,Javan Noyes,/mo/faucett/mid-buchanan-dragons/athletes/javan-noyes/football/stats/?careerid=djc3k133rg7qa,djc3k133rg7qa,QB,Mid-Buchanan,MO,2758,2758,197.0,162,223,0.726,36,2,150,14,2020,sacks
105,Kaden,Cox,Kaden Cox,/ut/millville/ridgeline-riverhawks/athletes/kaden-cox/football/stats/?careerid=pffp6kaadumi2,pffp6kaadumi2,QB,Ridgeline,UT,2756,2756,250.5,197,281,0.701,30,6,128,11,2020,sacks
106,Noah,Walters,Noah Walters,/ne/lincoln/lincoln-east-spartans/athletes/noah-walters/football/stats/?careerid=6708mcogpd322,6708mcogpd322,"QB, FS",Lincoln East,NE,2753,2753,275.3,167,290,0.576,28,9,109,10,2020,sacks
