sacks_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,yds,yds_g,comp,att,pct,td,int,rate,games_played,year,category
266,Blake,Charlton,Blake Charlton,/mo/st-louis/christian-brothers-cadets/athletes/blake-charlton/football/stats/?careerid=o0qkm9fsv9vvf,o0qkm9fsv9vvf,QB,Christian Brothers,MO,2787,2787,214.4,154,210,0.733,31,6,143,13,2015,sacks
267,Trevor,Hafner,Trevor Hafner,/oh/perrysburg/perrysburg-yellow-jackets/athletes/trevor-hafner/football/stats/?careerid=memd5l52273bb,memd5l52273bb,"QB, DB",Perrysburg,OH,2781,2781,213.9,158,266,0.594,33,7,124,13,2015,sacks
268,Quinn,Commans,Quinn Commans,/ca/la-habra/whittier-christian-heralds/athletes/quinn-commans/football/stats/?careerid=t4q8gcr1jd699,t4q8gcr1jd699,"QB, FS",Whittier Christian,CA,2779,2779,277.9,220,345,0.638,17,7,97,10,2015,sacks
269,Jake,Northern,Jake Northern,/ok/coweta/coweta-tigers/athletes/jake-northern/football/stats/?careerid=g58quapt4slh1,g58quapt4slh1,"QB, OLB",Coweta,OK,2778,2778,252.5,185,297,0.623,34,6,123,11,2015,sacks
270,Bailey,Arvizo,Bailey Arvizo,/az/yuma/cibola-raiders/athletes/bailey-arvizo/football/stats/?careerid=rcn3pau8eed00,rcn3pau8eed00,QB,Cibola,AZ,2777,2777,252.5,207,320,0.647,20,8,103,11,2015,sacks
271,Montario,Montgomery,Montario Montgomery,/ms/starkville/starkville-yellowjackets/athletes/montario-montgomery/football/stats/?careerid=5i5o5mat35hdd,5i5o5mat35hdd,QB,Starkville,MS,2777,2777,185.1,188,331,0.568,28,14,95,15,2015,sacks
272,Austin,Sessums,Austin Sessums,/fl/tampa/tampa-catholic-crusaders/athletes/austin-sessums/football/stats/?careerid=5kvev02nn8q00,5kvev02nn8q00,QB,Tampa Catholic,FL,2777,2777,213.6,168,249,0.675,32,8,131,13,2015,sacks
273,William,Floyd,William Floyd,/ca/rocklin/rocklin-thunder/athletes/william-floyd/football/stats/?careerid=vjtqh7u5e1rrb,vjtqh7u5e1rrb,QB,Rocklin,CA,2775,2775,213.5,206,360,0.572,28,14,92,13,2015,sacks
274,Zak,Harrah,Zak Harrah,/ut/st-george/dixie-flyers/athletes/zak-harrah/football/stats/?careerid=cvip2aje9ek66,cvip2aje9ek66,QB,Dixie,UT,2775,2775,231.2,159,271,0.587,27,12,108,12,2015,sacks
275,Zach,Zubia,Zach Zubia,/tx/houston/strake-jesuit-fighting-crusaders/athletes/zach-zubia/football/stats/?careerid=3jhlm1klumnrb,3jhlm1klumnrb,"QB, TE",Strake Jesuit,TX,2774,2774,213.4,184,329,0.559,31,10,103,13,2015,sacks
276,Clayton,Coulter,Clayton Coulter,/sc/simpsonville/southside-christian-sabres/athletes/clayton-coulter/football/stats/?careerid=tfu4vrecqa700,tfu4vrecqa700,QB,Southside Christian,SC,2774,2774,198.1,159,254,0.626,32,5,131,14,2015,sacks
277,Brock,Burleigh,Brock Burleigh,/pa/mansfield/north-penn-mansfield-tigers/athletes/brock-burleigh/football/stats/?careerid=f86chseetimbb,f86chseetimbb,"QB, FS",North Penn-Mansfield,PA,2773,2773,231.1,202,322,0.627,35,16,106,12,2015,sacks
278,John,Lamot,John Lamot,/nc/mebane/eastern-alamance-eagles/athletes/john-lamot/football/stats/?careerid=s3elp54hmc9ee,s3elp54hmc9ee,QB,Eastern Alamance,NC,2772,2772,184.8,206,317,0.65,21,15,95,15,2015,sacks
279,Braxton,Burmeister,Braxton Burmeister,/ca/la-jolla/la-jolla-country-day-torreys/athletes/braxton-burmeister/football/stats/?careerid=faecm7bmle3k4,faecm7bmle3k4,QB,La Jolla Country Day,CA,2771,2771,230.9,197,340,0.579,31,7,106,12,2015,sacks
280,Joe,Brannan,Joe Brannan,/il/jacksonville/jacksonville-crimsons/athletes/joe-brannan/football/stats/?careerid=6gipm5ibin0vf,6gipm5ibin0vf,"QB, DB",Jacksonville,IL,2769,2769,276.9,189,286,0.661,27,14,109,10,2015,sacks
281,Willie,Jones iii,Willie Jones iii,/tx/beaumont/legacy-christian-academy-warriors/athletes/willie-jones-iii/football/stats/?careerid=9kho1s288fio8,9kho1s288fio8,"QB, FS",Legacy Christian Academy,TX,2767,2767,230.6,143,227,0.63,33,10,127,12,2015,sacks
282,Feleipe,Franks,Feleipe Franks,/fl/crawfordville/wakulla-war-eagles/athletes/feleipe-franks/football/stats/?careerid=cujr200n6ac55,cujr200n6ac55,"QB, FS",Wakulla,FL,2766,2766,184.4,136,231,0.589,35,2,137,15,2015,sacks
283,Matt,Sciumbato,Matt Sciumbato,/ca/simi-valley/royal-highlanders/athletes/matt-sciumbato/football/stats/?careerid=6vlv8lia2c1j3,6vlv8lia2c1j3,"QB, P",Royal,CA,2762,2762,251.1,198,359,0.552,28,10,94,11,2015,sacks
284,Robert,Lohman,Robert Lohman,/or/scappoose/scappoose-indians/athletes/robert-lohman/football/stats/?careerid=lr8imm34k97n7,lr8imm34k97n7,QB,Scappoose,OR,2759,2759,229.9,166,259,0.641,34,5,131,12,2015,sacks
285,Jay,Urich,Jay Urich,/sc/piedmont/wren-hurricanes/athletes/jay-urich/football/stats/?careerid=h8lh9sff8jabb,h8lh9sff8jabb,QB,Wren,SC,2758,2758,229.8,219,389,0.563,21,9,87,12,2015,sacks
286,Jeremy,Updyke,Jeremy Updyke,/pa/johnstown/greater-johnstown-trojans/athletes/jeremy-updyke/football/stats/?careerid=vp8id25opv9ue,vp8id25opv9ue,QB,Greater Johnstown,PA,2756,2756,212.0,141,251,0.562,24,7,115,13,2015,sacks
287,Evan,Johnson,Evan Johnson,/mo/st-louis/westminster-christian-wildcats/athletes/evan-johnson/football/stats/?careerid=tg3kjf486bm44,tg3kjf486bm44,QB,Westminster Christian,MO,2754,2754,196.7,156,235,0.664,34,5,137,14,2015,sacks
288,Kyle,Niemiec,Kyle Niemiec,/il/batavia/batavia-bulldogs/athletes/kyle-niemiec/football/stats/?careerid=hge8om2s77jff,hge8om2s77jff,QB,Batavia,IL,2753,2753,229.4,204,312,0.654,24,4,114,12,2015,sacks
289,Logan,Burnett,Logan Burnett,/al/bessemer/bessemer-academy-rebels/athletes/logan-burnett/football/stats/?careerid=sl0jtammc4ctd,sl0jtammc4ctd,QB,Bessemer Academy,AL,2752,2752,211.7,144,192,0.75,25,4,148,13,2015,sacks
290,Cameron,Stanley,Cameron Stanley,/nc/newton/newton-conover-red-devils/athletes/cameron-stanley/football/stats/?careerid=70lf5om9uv322,70lf5om9uv322,"QB, WR",Newton-Conover,NC,2750,2750,229.2,186,303,0.614,25,6,110,12,2015,sacks
291,Drew,Keszei,Drew Keszei,/in/fort-wayne/homestead-spartans/athletes/drew-keszei/football/stats/?careerid=1hrdj7sbp39g0,1hrdj7sbp39g0,"QB, P",Homestead,IN,2750,2750,229.2,178,296,0.601,30,9,112,12,2015,sacks
292,David,Jeremiah,David Jeremiah,/ca/el-cajon/christian-patriots/athletes/david-jeremiah/football/stats/?careerid=vtda9d5vk0m11,vtda9d5vk0m11,QB,Christian,CA,2750,2750,229.2,170,288,0.59,26,11,105,12,2015,sacks
293,Kamden,Brown,Kamden Brown,/ca/covina/charter-oak-chargers/athletes/kamden-brown/football/stats/?careerid=puu7q9r2kjsee,puu7q9r2kjsee,QB,Charter Oak,CA,2749,2749,196.4,192,278,0.691,31,8,126,14,2015,sacks
294,Baylee,Adams,Baylee Adams,/in/crawfordsville/north-montgomery-chargin-chargers/athletes/baylee-adams/football/stats/?careerid=vg5jomf784722,vg5jomf784722,"QB, OLB",North Montgomery,IN,2749,2749,229.1,157,266,0.59,36,9,120,12,2015,sacks
295,Drew,Ritzler,Drew Ritzler,/oh/tiffin/calvert-senecas/athletes/drew-ritzler/football/stats/?careerid=dfu2ktl7473p9,dfu2ktl7473p9,"QB, WR",Calvert,OH,2749,2749,249.9,155,298,0.52,29,14,97,11,2015,sacks
296,Will,Reed,Will Reed,/tx/rockwall/rockwall-yellowjackets/athletes/will-reed/football/stats/?careerid=so22cei1knvl5,so22cei1knvl5,QB,Rockwall,TX,2745,2745,211.2,163,262,0.622,30,8,123,13,2015,sacks
297,Ryan,Glover,Ryan Glover,/ga/college-park/woodward-academy-war-eagles/athletes/ryan-glover/football/stats/?careerid=su0lpkg59je00,su0lpkg59je00,QB,Woodward Academy,GA,2740,2740,195.7,158,256,0.617,26,5,124,14,2015,sacks
298,Jake,Hill,Jake Hill,/in/lizton/tri-west-hendricks-bruins/athletes/jake-hill/football/stats/?careerid=27t3f4b51o2o8,27t3f4b51o2o8,QB,Tri-West Hendricks,IN,2739,2739,228.2,182,306,0.595,30,8,111,12,2015,sacks
299,Mitch,Davidson,Mitch Davidson,/oh/columbiana/columbiana-clippers/athletes/mitch-davidson/football/stats/?careerid=206f83f5q05h1,206f83f5q05h1,"QB, FS",Columbiana,OH,2735,2735,248.6,173,253,0.684,30,1,142,11,2015,sacks
300,Timmy,Ware,Timmy Ware,/tx/new-caney/new-caney-eagles/athletes/timmy-ware/football/stats/?careerid=dmd9ngj1gr2h1,dmd9ngj1gr2h1,QB,New Caney,TX,2735,2735,248.6,165,258,0.64,31,4,133,11,2015,sacks
301,Ryan,Pepiot,Ryan Pepiot,/in/westfield/westfield-shamrocks/athletes/ryan-pepiot/football/stats/?careerid=hepsv9ktbafh1,hepsv9ktbafh1,QB,Westfield,IN,2734,2734,227.8,217,381,0.57,19,14,81,12,2015,sacks
302,Isaac,Hamilton,Isaac Hamilton,/ut/pleasant-grove/pleasant-grove-vikings/athletes/isaac-hamilton/football/stats/?careerid=rkdd4g2rd68qa,rkdd4g2rd68qa,QB,Pleasant Grove,UT,2733,2733,227.8,217,398,0.545,24,24,71,12,2015,sacks
303,Eric,Clark Jr.,Eric Clark Jr.,/ms/dekalb/kemper-county-wildcats/athletes/eric-clark-jr/football/stats/?careerid=urbmhh26p3c88,urbmhh26p3c88,QB,Kemper County,MS,2733,2733,210.2,163,239,0.682,30,10,129,13,2015,sacks
304,Jackson,White,Jackson White,/fl/gainesville/buchholz-bobcats/athletes/jackson-white/football/stats/?careerid=oldick559muvf,oldick559muvf,QB,Buchholz,FL,2732,2732,227.7,196,321,0.611,26,10,102,12,2015,sacks
305,Brandon,Porter,Brandon Porter,/ca/hesperia/oak-hills-bulldogs/athletes/brandon-porter/football/stats/?careerid=nq4njosubnio8,nq4njosubnio8,QB,Oak Hills,CA,2732,2732,195.1,185,321,0.576,28,7,106,14,2015,sacks
306,Jett,Duffey,Jett Duffey,/tx/mansfield/lake-ridge-eagles/athletes/jett-duffey/football/stats/?careerid=7umbijg3rj222,7umbijg3rj222,QB,Lake Ridge,TX,2732,2732,182.1,166,263,0.631,29,5,127,15,2015,sacks
307,Chandler,"Herman, qb 2017","Chandler Herman, qb 2017",/tx/georgetown/georgetown-eagles/athletes/chandler-herman-qb-2017/football/stats/?careerid=eo1cisthq67h1,eo1cisthq67h1,QB,Georgetown,TX,2731,2731,227.6,222,333,0.667,24,4,111,12,2015,sacks
308,Tyger,Goslin,Tyger Goslin,/ca/chatsworth/chatsworth-charter-chancellors/athletes/tyger-goslin/football/stats/?careerid=qs597eh3tg211,qs597eh3tg211,"QB, FS",Chatsworth,CA,2730,2730,227.5,133,231,0.576,29,8,124,12,2015,sacks
309,Cale,Powers,Cale Powers,/co/us-air-force-academy/air-academy-kadets/athletes/cale-powers/football/stats/?careerid=1mhre2kr6orqa,1mhre2kr6orqa,,Air Academy,CO,2728,2728,272.8,203,368,0.552,21,17,79,10,2015,sacks
310,Will,Jones,Will Jones,/nc/greensboro/page-pirates/athletes/will-jones/football/stats/?careerid=aa0dofoatpfm6,aa0dofoatpfm6,QB,Page,NC,2727,2727,194.8,178,304,0.586,28,9,107,14,2015,sacks
