Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,rush_att,rush_yds,rush_yds_per_att,rush_td,rush_yds_per_g,rec,rec_yds,rec_yds_per_rec,rec_td,rec_yds_per_g,scrim_att,yds_from_scrimmage,scrim_yds_per_att,scrim_td,awards,Year
Mike Weber,mike-weber-1,/cfb/players/mike-weber-1.html,Ohio State,Big Ten,13,172,954,5.5,5,73.4,21,112,5.3,1,8.6,193,1066,5.5,6,,2018
Trey Sermon,trey-sermon-1,/cfb/players/trey-sermon-1.html,Oklahoma,Big 12,14,164,947,5.8,13,67.6,12,181,15.1,0,12.9,176,1128,6.4,13,,2018
Justice Hill,justice-hill-1,/cfb/players/justice-hill-1.html,Oklahoma State,Big 12,10,158,930,5.9,9,93.0,13,68,5.2,0,6.8,171,998,5.8,9,,2018
Scottie Phillips,scottie-phillips-1,/cfb/players/scottie-phillips-1.html,Ole Miss,SEC,11,153,928,6.1,12,84.4,10,105,10.5,2,9.5,163,1033,6.3,14,,2018
Bryce Perkins,bryce-perkins-1,/cfb/players/bryce-perkins-1.html,Virginia,ACC,13,212,923,4.4,9,71.0,1,9,9.0,0,0.7,213,932,4.4,9,,2018
Bryant Koback,bryant-koback-1,/cfb/players/bryant-koback-1.html,Toledo,MAC,13,153,917,6.0,14,70.5,4,23,5.8,0,1.8,157,940,6.0,14,,2018
Shai Werts,shai-werts-1,/cfb/players/shai-werts-1.html,Georgia Southern,Sun Belt,13,182,908,5.0,15,69.8,0,0,,0,0.0,182,908,5.0,15,,2018
Gerold Bright,gerold-bright-1,/cfb/players/gerold-bright-1.html,Utah State,MWC,13,141,888,6.3,10,68.3,22,232,10.5,3,17.8,163,1120,6.9,13,,2018
D.J. Knox,dj-knox-1,/cfb/players/dj-knox-1.html,Purdue,Big Ten,13,157,883,5.6,8,67.9,27,180,6.7,1,13.8,184,1063,5.8,9,,2018
Damien Harris,damien-harris-1,/cfb/players/damien-harris-1.html,Alabama,SEC,15,150,876,5.8,9,58.4,22,204,9.3,0,13.6,172,1080,6.3,9,,2018
Tobias Oliver,tobias-oliver-1,/cfb/players/tobias-oliver-1.html,Georgia Tech,ACC,12,152,876,5.8,12,73.0,0,0,,0,0.0,152,876,5.8,12,,2018
Toa Taua,toa-taua-1,/cfb/players/toa-taua-1.html,Nevada,MWC,13,178,872,4.9,6,67.1,22,202,9.2,1,15.5,200,1074,5.4,7,,2018
Moe Neal,moe-neal-1,/cfb/players/moe-neal-1.html,Syracuse,ACC,13,155,869,5.6,5,66.8,13,128,9.8,0,9.8,168,997,5.9,5,,2018
Patrick Carr,patrick-carr-1,/cfb/players/patrick-carr-1.html,Houston,American,13,152,868,5.7,5,66.8,2,0,0.0,0,0.0,154,868,5.6,5,,2018
Isaiah Bowser,isaiah-bowser-1,/cfb/players/isaiah-bowser-1.html,Northwestern,Big Ten,11,197,866,4.4,6,78.7,7,77,11.0,0,7.0,204,943,4.6,6,,2018
Kerrith Whyte,kerrith-whyte-1,/cfb/players/kerrith-whyte-1.html,Florida Atlantic,CUSA,12,134,866,6.5,8,72.2,10,160,16.0,2,13.3,144,1026,7.1,10,,2018
Marcel Murray,marcel-murray-1,/cfb/players/marcel-murray-1.html,Arkansas State,Sun Belt,13,154,860,5.6,8,66.2,16,141,8.8,2,10.8,170,1001,5.9,10,,2018
Nathan Rourke,nathan-rourke-1,/cfb/players/nathan-rourke-1.html,Ohio,MAC,13,134,860,6.4,15,66.2,0,0,,0,0.0,134,860,6.4,15,,2018
Deon Jackson,deon-jackson-1,/cfb/players/deon-jackson-1.html,Duke,ACC,13,161,847,5.3,7,65.2,26,253,9.7,2,19.5,187,1100,5.9,9,,2018
Corey Taylor II,corey-taylor-ii-1,/cfb/players/corey-taylor-ii-1.html,Tulsa,American,11,178,846,4.8,11,76.9,4,45,11.3,0,4.1,182,891,4.9,11,,2018
Kevin Marks,kevin-marks-1,/cfb/players/kevin-marks-1.html,Buffalo,MAC,14,180,845,4.7,13,60.4,13,60,4.6,0,4.3,193,905,4.7,13,,2018
Maleek Irons,maleek-irons-1,/cfb/players/maleek-irons-1.html,Ohio,MAC,11,126,831,6.6,8,75.5,6,41,6.8,1,3.7,132,872,6.6,9,,2018
Lamical Perine,lamical-perine-1,/cfb/players/lamical-perine-1.html,Florida,SEC,13,134,826,6.2,7,63.5,13,170,13.1,1,13.1,147,996,6.8,8,,2018
Aca'Cedric Ware,acacedric-ware-1,/cfb/players/acacedric-ware-1.html,USC,Pac-12,12,125,825,6.6,6,68.8,9,35,3.9,0,2.9,134,860,6.4,6,,2018
Kennedy McKoy,kennedy-mckoy-1,/cfb/players/kennedy-mckoy-1.html,West Virginia,Big 12,12,145,802,5.5,8,66.8,17,224,13.2,1,18.7,162,1026,6.3,9,,2018
Tra Minter,tra-minter-1,/cfb/players/tra-minter-1.html,South Alabama,Sun Belt,12,183,801,4.4,6,66.8,23,201,8.7,0,16.8,206,1002,4.9,6,,2018
Trace McSorley,trace-mcsorley-1,/cfb/players/trace-mcsorley-1.html,Penn State,Big Ten,13,170,798,4.7,12,61.4,0,0,,0,0.0,170,798,4.7,12,,2018
Warren Wand,warren-wand-1,/cfb/players/warren-wand-1.html,Arkansas State,Sun Belt,13,139,792,5.7,4,60.9,26,213,8.2,1,16.4,165,1005,6.1,5,,2018
JaTarvious Whitlow,jatarvious-whitlow-1,/cfb/players/jatarvious-whitlow-1.html,Auburn,SEC,13,150,787,5.2,6,60.5,15,173,11.5,2,13.3,165,960,5.8,8,,2018
Johnny Ford,johnny-ford-1,/cfb/players/johnny-ford-1.html,South Florida,American,11,115,787,6.8,8,71.5,3,78,26.0,1,7.1,118,865,7.3,9,,2018
Steven Peoples,steven-peoples-1,/cfb/players/steven-peoples-1.html,Virginia Tech,ACC,13,158,786,5.0,6,60.5,21,182,8.7,1,14.0,179,968,5.4,7,,2018
Tre Watson,tre-watson-2,/cfb/players/tre-watson-2.html,Texas,Big 12,14,185,786,4.2,3,56.1,22,143,6.5,3,10.2,207,929,4.5,6,,2018
Corey Dauphine,corey-dauphine-1,/cfb/players/corey-dauphine-1.html,Tulane,American,13,124,785,6.3,7,60.4,0,0,,0,0.0,124,785,6.3,7,,2018
Najee Harris,najee-harris-1,/cfb/players/najee-harris-1.html,Alabama,SEC,15,117,783,6.7,4,52.2,4,7,1.8,0,0.5,121,790,6.5,4,,2018
Marquis Young,marquis-young-1,/cfb/players/marquis-young-1.html,Massachusetts,Ind,11,154,778,5.1,9,70.7,22,173,7.9,0,15.7,176,951,5.4,9,,2018
Jordan Scarlett,jordan-scarlett-1,/cfb/players/jordan-scarlett-1.html,Florida,SEC,13,131,776,5.9,5,59.7,10,84,8.4,0,6.5,141,860,6.1,5,,2018
Jamauri Bogan,jamauri-bogan-1,/cfb/players/jamauri-bogan-1.html,Western Michigan,MAC,13,169,764,4.5,16,58.8,3,28,9.3,0,2.2,172,792,4.6,16,,2018
Matt Colburn,matt-colburn-1,/cfb/players/matt-colburn-1.html,Wake Forest,ACC,11,159,759,4.8,5,69.0,10,96,9.6,0,8.7,169,855,5.1,5,,2018
Eric Dungey,eric-dungey-1,/cfb/players/eric-dungey-1.html,Syracuse,ACC,13,184,754,4.1,15,58.0,0,0,,0,0.0,184,754,4.1,15,,2018
Raymond Calais,raymond-calais-1,/cfb/players/raymond-calais-1.html,Louisiana,Sun Belt,14,81,754,9.3,7,53.9,6,69,11.5,0,4.9,87,823,9.5,7,,2018
Alonzo Smith,alonzo-smith-2,/cfb/players/alonzo-smith-2.html,Miami (OH),MAC,11,141,746,5.3,9,67.8,10,69,6.9,0,6.3,151,815,5.4,9,,2018
Mekhi Sargent,mekhi-sargent-1,/cfb/players/mekhi-sargent-1.html,Iowa,Big Ten,13,159,745,4.7,9,57.3,17,156,9.2,1,12.0,176,901,5.1,10,,2018
Ronnie Rivers,ronnie-rivers-1,/cfb/players/ronnie-rivers-1.html,Fresno State,MWC,11,132,743,5.6,10,67.5,26,311,12.0,3,28.3,158,1054,6.7,13,,2018
Chuba Hubbard,chuba-hubbard-1,/cfb/players/chuba-hubbard-1.html,Oklahoma State,Big 12,13,124,740,6.0,7,56.9,22,229,10.4,2,17.6,146,969,6.6,9,,2018
Bryce Love,bryce-love-1,/cfb/players/bryce-love-1.html,Stanford,Pac-12,10,166,739,4.5,6,73.9,20,99,5.0,0,9.9,186,838,4.5,6,,2018
