Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,xpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,awards,Year
Matt Coghlin,matt-coghlin-1,/cfb/players/matt-coghlin-1.html,Michigan State,Big Ten,13,25,25,100.0,18,22,81.8,79,,2018
Luke Logan,luke-logan-1,/cfb/players/luke-logan-1.html,Ole Miss,SEC,12,45,46,97.8,22,27,81.5,111,,2018
Josh Pollack,josh-pollack-1,/cfb/players/josh-pollack-1.html,Arizona,Pac-12,7,17,18,94.4,13,16,81.3,56,,2018
Massimo Biscardi,massimo-biscardi-1,/cfb/players/massimo-biscardi-1.html,Coastal Carolina,Sun Belt,12,33,36,91.7,13,16,81.3,72,,2018
Parker White,parker-white-2,/cfb/players/parker-white-2.html,South Carolina,SEC,13,45,46,97.8,13,16,81.3,84,,2018
Justin Yoon,justin-yoon-1,/cfb/players/justin-yoon-1.html,Notre Dame,Ind,12,41,43,95.3,17,21,81.0,92,,2018
Alex Probert,alex-probert-1,/cfb/players/alex-probert-1.html,Liberty,Ind,5,19,20,95.0,4,5,80.0,31,,2018
Chase McLaughlin,chase-mclaughlin-1,/cfb/players/chase-mclaughlin-1.html,Illinois,Big Ten,12,36,36,100.0,20,25,80.0,96,,2018
Evan Price,evan-price-1,/cfb/players/evan-price-1.html,Colorado,Pac-12,2,5,5,100.0,4,5,80.0,17,,2018
Evan Staley,evan-staley-1,/cfb/players/evan-staley-1.html,West Virginia,Big 12,12,59,60,98.3,16,20,80.0,107,,2018
Evan Staley,evan-staley-2,/cfb/players/evan-staley-2.html,West Virginia,Big 12,12,59,60,98.3,16,20,80.0,107,,2018
Parker Shaunfield,parker-shaunfield-1,/cfb/players/parker-shaunfield-1.html,Southern Mississippi,CUSA,9,24,25,96.0,16,20,80.0,72,,2018
Connor Limpert,connor-limpert-1,/cfb/players/connor-limpert-1.html,Arkansas,SEC,12,29,29,100.0,19,24,79.2,86,,2018
Dominik Eberle,dominik-eberle-1,/cfb/players/dominik-eberle-1.html,Utah State,MWC,13,75,75,100.0,22,28,78.6,141,,2018
Kevin Robledo,kevin-robledo-1,/cfb/players/kevin-robledo-1.html,SMU,American,12,37,38,97.4,11,14,78.6,70,,2018
Spencer Evans,spencer-evans-1,/cfb/players/spencer-evans-1.html,Purdue,Big Ten,13,42,45,93.3,18,23,78.3,96,,2018
Barret Pickering,barret-pickering-1,/cfb/players/barret-pickering-1.html,Nebraska,Big Ten,12,40,41,97.6,14,18,77.8,82,,2018
Dalton Witherspoon,dalton-witherspoon-1,/cfb/players/dalton-witherspoon-1.html,Houston,American,13,72,72,100.0,7,9,77.8,93,,2018
Jose Borregales,jose-borregales-1,/cfb/players/jose-borregales-1.html,Florida International,CUSA,13,54,55,98.2,14,18,77.8,96,,2018
Joseph Bulovas,joseph-bulovas-1,/cfb/players/joseph-bulovas-1.html,Alabama,SEC,15,75,81,92.6,14,18,77.8,117,,2018
Michael Brown,michael-brown-10,/cfb/players/michael-brown-10.html,USC,Pac-12,9,32,32,100.0,7,9,77.8,53,,2018
Nick Rice,nick-rice-1,/cfb/players/nick-rice-1.html,Old Dominion,CUSA,12,40,41,97.6,14,18,77.8,82,,2018
John Baron,john-baron-1,/cfb/players/john-baron-1.html,San Diego State,MWC,13,27,27,100.0,17,22,77.3,78,,2018
Jonathan Cruz,jonathan-cruz-1,/cfb/players/jonathan-cruz-1.html,Charlotte,CUSA,12,27,27,100.0,17,22,77.3,78,,2018
Miguel Recinos,miguel-recinos-1,/cfb/players/miguel-recinos-1.html,Iowa,Big Ten,13,47,47,100.0,17,22,77.3,98,,2018
Blake Haubeil,blake-haubeil-1,/cfb/players/blake-haubeil-1.html,Ohio State,Big Ten,14,37,37,100.0,10,13,76.9,67,,2018
Brent Cimaglia,brent-cimaglia-1,/cfb/players/brent-cimaglia-1.html,Tennessee,SEC,11,31,31,100.0,10,13,76.9,61,,2018
Gavin Peddie,gavin-peddie-1,/cfb/players/gavin-peddie-1.html,Western Michigan,MAC,11,39,42,92.9,10,13,76.9,69,,2018
Merek Glover,merek-glover-1,/cfb/players/merek-glover-1.html,Tulane,American,13,41,43,95.3,10,13,76.9,71,,2018
Samuel Sloman,samuel-sloman-1,/cfb/players/samuel-sloman-1.html,Miami (OH),MAC,12,41,42,97.6,10,13,76.9,71,,2018
Alex Kessman,alex-kessman-1,/cfb/players/alex-kessman-1.html,Pitt,ACC,14,40,42,95.2,13,17,76.5,79,,2018
Louie Zervos,louie-zervos-1,/cfb/players/louie-zervos-1.html,Ohio,MAC,13,68,68,100.0,13,17,76.5,107,,2018
Brian Delaney,brian-delaney-1,/cfb/players/brian-delaney-1.html,Virginia,ACC,13,25,25,100.0,12,16,75.0,61,,2018
Bubba Baxa,bubba-baxa-1,/cfb/players/bubba-baxa-1.html,Miami (FL),ACC,13,45,46,97.8,9,12,75.0,72,,2018
Chandler Staton,chandler-staton-1,/cfb/players/chandler-staton-1.html,Appalachian State,Sun Belt,13,61,61,100.0,12,16,75.0,97,,2018
Chase McGrath,chase-mcgrath-1,/cfb/players/chase-mcgrath-1.html,USC,Pac-12,3,6,6,100.0,6,8,75.0,24,,2018
Crews Holt,crews-holt-1,/cfb/players/crews-holt-1.html,Middle Tennessee State,CUSA,14,40,45,88.9,18,24,75.0,94,,2018
Drew Luckenbaugh,drew-luckenbaugh-1,/cfb/players/drew-luckenbaugh-1.html,Northwestern,Big Ten,8,6,7,85.7,3,4,75.0,15,,2018
Jace Christman,jace-christman-1,/cfb/players/jace-christman-1.html,Mississippi State,SEC,13,41,41,100.0,12,16,75.0,77,,2018
Jake Koehnke,jake-koehnke-1,/cfb/players/jake-koehnke-1.html,Air Force,MWC,11,32,33,97.0,9,12,75.0,59,,2018
Jameson Vest,jameson-vest-1,/cfb/players/jameson-vest-1.html,Toledo,MAC,13,64,66,97.0,15,20,75.0,109,,2018
Jonathan Song,jonathan-song-1,/cfb/players/jonathan-song-1.html,Texas Christian,Big 12,12,25,26,96.2,9,12,75.0,52,,2018
Ramiz Ahmed,ramiz-ahmed-1,/cfb/players/ramiz-ahmed-1.html,Nevada,MWC,13,40,44,90.9,15,20,75.0,85,,2018
Riley Patterson,riley-patterson-1,/cfb/players/riley-patterson-1.html,Memphis,American,14,76,79,96.2,15,20,75.0,121,,2018
Tyler Sumpter,tyler-sumpter-1,/cfb/players/tyler-sumpter-1.html,Troy,Sun Belt,13,45,45,100.0,18,24,75.0,99,,2018
Tyler Sumpter,tyler-sumpter-2,/cfb/players/tyler-sumpter-2.html,Troy,Sun Belt,13,45,45,100.0,18,24,75.0,99,,2018
Emmit Carpenter,emmit-carpenter-1,/cfb/players/emmit-carpenter-1.html,Minnesota,Big Ten,13,43,43,100.0,17,23,73.9,94,,2018
Bryce Crawford,bryce-crawford-1,/cfb/players/bryce-crawford-1.html,San Jose State,MWC,12,25,27,92.6,14,19,73.7,67,,2018
Jared Sackett,jared-sackett-1,/cfb/players/jared-sackett-1.html,UTSA,CUSA,11,18,18,100.0,14,19,73.7,60,,2018
JJ Molson,jj-molson-1,/cfb/players/jj-molson-1.html,UCLA,Pac-12,12,35,35,100.0,14,19,73.7,77,,2018
Will Mobley,will-mobley-1,/cfb/players/will-mobley-1.html,Temple,American,12,54,55,98.2,11,15,73.3,87,,2018
Matt Ammendola,matt-ammendola-1,/cfb/players/matt-ammendola-1.html,Oklahoma State,Big 12,13,61,63,96.8,16,22,72.7,109,,2018
Nick Gasser,nick-gasser-1,/cfb/players/nick-gasser-1.html,Akron,MAC,12,22,23,95.7,16,22,72.7,70,,2018
Peyton Henry,peyton-henry-1,/cfb/players/peyton-henry-1.html,Washington,Pac-12,14,43,44,97.7,16,22,72.7,91,,2018
Tucker McCann,tucker-mccann-1,/cfb/players/tucker-mccann-1.html,Missouri,SEC,13,51,54,94.4,24,33,72.7,123,,2018
Andrew Gantz,andrew-gantz-1,/cfb/players/andrew-gantz-1.html,Northern Illinois,MAC,14,29,29,100.0,13,18,72.2,68,,2018
Cameron Dicker,cameron-dicker-2,/cfb/players/cameron-dicker-2.html,Texas,Big 12,14,51,52,98.1,18,25,72.0,105,,2018
Justin Rohrwasser,justin-rohrwasser-1,/cfb/players/justin-rohrwasser-1.html,Marshall,CUSA,13,44,46,95.7,15,21,71.4,89,,2018
Seth Small,seth-small-1,/cfb/players/seth-small-1.html,Texas A&M,SEC,11,40,40,100.0,20,28,71.4,100,,2018
Gabriel Rui,gabriel-rui-1,/cfb/players/gabriel-rui-1.html,Kansas,Big 12,12,28,28,100.0,12,17,70.6,64,,2018
Greg Thomas,greg-thomas-6,/cfb/players/greg-thomas-6.html,California,Pac-12,13,32,32,100.0,12,17,70.6,68,,2018
Alex Rinella,alex-rinella-1,/cfb/players/alex-rinella-1.html,Western Kentucky,CUSA,12,12,12,100.0,7,10,70.0,33,,2018
Connor Assalley,connor-assalley-1,/cfb/players/connor-assalley-1.html,Iowa State,Big 12,13,36,38,94.7,16,23,69.6,84,,2018
Collin Wareham,collin-wareham-1,/cfb/players/collin-wareham-1.html,Duke,ACC,13,49,51,96.1,9,13,69.2,76,,2018
Gavin Patterson,gavin-patterson-1,/cfb/players/gavin-patterson-1.html,South Alabama,Sun Belt,12,31,35,88.6,9,13,69.2,58,,2018
Greg Huegel,greg-huegel-1,/cfb/players/greg-huegel-1.html,Clemson,ACC,15,76,78,97.4,11,16,68.8,109,,2018
Morgan Hagee,morgan-hagee-1,/cfb/players/morgan-hagee-1.html,Ball State,MAC,12,35,35,100.0,11,16,68.8,68,,2018
Quinn Nordin,quinn-nordin-1,/cfb/players/quinn-nordin-1.html,Michigan,Big Ten,11,45,46,97.8,11,16,68.8,78,,2018
Skyler Southam,skyler-southam-1,/cfb/players/skyler-southam-1.html,BYU,Ind,13,42,44,95.5,11,16,68.8,75,,2018
Bailey Hale,bailey-hale-1,/cfb/players/bailey-hale-1.html,Louisiana Tech,CUSA,13,38,39,97.4,15,22,68.2,83,,2018
Barry Brown,barry-brown-5,/cfb/players/barry-brown-5.html,Georgia State,Sun Belt,5,1,4,25.0,2,3,66.7,7,,2018
Blake Grupe,blake-grupe-1,/cfb/players/blake-grupe-1.html,Arkansas State,Sun Belt,11,35,38,92.1,14,21,66.7,77,,2018
Blake Mazza,blake-mazza-1,/cfb/players/blake-mazza-1.html,Washington State,Pac-12,13,60,62,96.8,10,15,66.7,90,,2018
Brian Johnson,brian-johnson-11,/cfb/players/brian-johnson-11.html,Virginia Tech,ACC,13,44,44,100.0,12,18,66.7,80,,2018
Dylan Brown,dylan-brown-1,/cfb/players/dylan-brown-1.html,New Mexico State,Ind,11,35,35,100.0,10,15,66.7,65,,2018
Jake Collins,jake-collins-3,/cfb/players/jake-collins-3.html,Northwestern,Big Ten,14,5,5,100.0,2,3,66.7,11,,2018
Jake Pinegar,jake-pinegar-1,/cfb/players/jake-pinegar-1.html,Penn State,Big Ten,13,53,55,96.4,16,24,66.7,101,,2018
James Sherman,james-sherman-1,/cfb/players/james-sherman-1.html,Texas State,Sun Belt,11,8,9,88.9,6,9,66.7,26,,2018
Michael Armstrong,michael-armstrong-1,/cfb/players/michael-armstrong-1.html,Central Michigan,MAC,6,4,4,100.0,2,3,66.7,10,,2018
Mike Caggiano,mike-caggiano-1,/cfb/players/mike-caggiano-1.html,Massachusetts,Ind,8,11,12,91.7,2,3,66.7,17,,2018
Parker Davidson,parker-davidson-1,/cfb/players/parker-davidson-1.html,New Mexico State,Ind,3,2,2,100.0,2,3,66.7,8,,2018
Ricky Aguayo,ricky-aguayo-1,/cfb/players/ricky-aguayo-1.html,Florida State,ACC,12,30,31,96.8,11,17,64.7,63,,2018
Adam Mitcheson,adam-mitcheson-1,/cfb/players/adam-mitcheson-1.html,Buffalo,MAC,14,51,58,87.9,9,14,64.3,78,,2018
Craig Ford,craig-ford-1,/cfb/players/craig-ford-1.html,Louisiana-Monroe,Sun Belt,12,38,41,92.7,9,14,64.3,65,,2018
Freeman Jones,freeman-jones-1,/cfb/players/freeman-jones-1.html,North Carolina,ACC,11,31,31,100.0,18,28,64.3,85,,2018
Asa Fuller,asa-fuller-1,/cfb/players/asa-fuller-1.html,Fresno State,MWC,14,57,62,91.9,14,22,63.6,99,,2018
Brandon Wright,brandon-wright-3,/cfb/players/brandon-wright-3.html,Georgia State,Sun Belt,12,27,28,96.4,7,11,63.6,48,,2018
Miles Butler,miles-butler-1,/cfb/players/miles-butler-1.html,Kentucky,SEC,11,40,40,100.0,7,11,63.6,61,,2018
Colton Lichtenberg,colton-lichtenberg-1,/cfb/players/colton-lichtenberg-1.html,Boston College,ACC,9,29,29,100.0,5,8,62.5,44,,2018
Connor Martin,connor-martin-1,/cfb/players/connor-martin-1.html,Baylor,Big 12,13,40,44,90.9,15,24,62.5,85,,2018
James Stefanou,james-stefanou-1,/cfb/players/james-stefanou-1.html,Colorado,Pac-12,8,30,30,100.0,5,8,62.5,45,,2018
Michael Tarbutt,michael-tarbutt-1,/cfb/players/michael-tarbutt-1.html,Connecticut,American,10,27,28,96.4,5,8,62.5,42,,2018
Nathan Walker,nathan-walker-2,/cfb/players/nathan-walker-2.html,Tulsa,American,8,17,17,100.0,10,16,62.5,47,,2018
Nick Vogel,nick-vogel-1,/cfb/players/nick-vogel-1.html,UAB,CUSA,14,51,52,98.1,15,24,62.5,96,,2018
Wyatt Bryan,wyatt-bryan-1,/cfb/players/wyatt-bryan-1.html,Colorado State,MWC,12,29,32,90.6,11,18,61.1,62,,2018
Adam Stack,adam-stack-1,/cfb/players/adam-stack-1.html,Oregon,Pac-12,10,36,36,100.0,6,10,60.0,54,,2018
Anders Carlson,anders-carlson-1,/cfb/players/anders-carlson-1.html,Auburn,SEC,13,44,44,100.0,15,25,60.0,89,,2018
Chad Ryland,chad-ryland-1,/cfb/players/chad-ryland-1.html,Eastern Michigan,MAC,13,41,41,100.0,12,20,60.0,77,,2018
Daniel LaCamera,daniel-lacamera-1,/cfb/players/daniel-lacamera-1.html,Texas A&M,SEC,3,11,11,100.0,3,5,60.0,20,,2018
Evan Pantels,evan-pantels-1,/cfb/players/evan-pantels-1.html,Nevada-Las Vegas,MWC,12,41,42,97.6,6,10,60.0,59,,2018
Haden Hoggarth,haden-hoggarth-1,/cfb/players/haden-hoggarth-1.html,Boise State,MWC,12,57,58,98.3,12,20,60.0,93,,2018
Jordan Choukair,jordan-choukair-1,/cfb/players/jordan-choukair-1.html,Oregon State,Pac-12,12,35,38,92.1,12,20,60.0,71,,2018
Nate Needham,nate-needham-2,/cfb/players/nate-needham-2.html,Bowling Green,MAC,12,34,34,100.0,6,10,60.0,52,,2018
Sean Nuernberger,sean-nuernberger-1,/cfb/players/sean-nuernberger-1.html,Ohio State,Big Ten,6,39,39,100.0,3,5,60.0,48,,2018
Riley Guay,riley-guay-1,/cfb/players/riley-guay-1.html,Vanderbilt,SEC,13,47,47,100.0,13,22,59.1,86,,2018
Rafael Gaglianone,rafael-gaglianone-1,/cfb/players/rafael-gaglianone-1.html,Wisconsin,Big Ten,13,48,48,100.0,10,17,58.8,78,,2018
Vladmir Rivas,vladmir-rivas-1,/cfb/players/vladmir-rivas-1.html,Florida Atlantic,CUSA,12,39,41,95.1,10,17,58.8,69,,2018
Charlie Kuhbander,charlie-kuhbander-1,/cfb/players/charlie-kuhbander-1.html,Northwestern,Big Ten,9,28,28,100.0,5,9,55.6,43,,2018
Lucas Havrisik,lucas-havrisik-1,/cfb/players/lucas-havrisik-1.html,Arizona,Pac-12,12,22,24,91.7,6,11,54.5,40,,2018
Jason Filley,jason-filley-1,/cfb/players/jason-filley-1.html,UTEP,CUSA,11,21,22,95.5,7,13,53.8,42,,2018
Aaron Peart,aaron-peart-1,/cfb/players/aaron-peart-1.html,Liberty,Ind,10,31,32,96.9,3,6,50.0,40,,2018
Austin Jones,austin-jones-5,/cfb/players/austin-jones-5.html,Alabama,SEC,3,8,11,72.7,1,2,50.0,11,,2018
Caden Novikoff,caden-novikoff-1,/cfb/players/caden-novikoff-1.html,Houston,American,13,3,4,75.0,1,2,50.0,6,,2018
Chance Poore,chance-poore-1,/cfb/players/chance-poore-1.html,Kentucky,SEC,3,3,3,100.0,2,4,50.0,9,,2018
J.D. Dillinger,jd-dillinger-1,/cfb/players/jd-dillinger-1.html,Purdue,Big Ten,2,2,2,100.0,1,2,50.0,5,,2018
Matthew Philichi,matthew-philichi-1,/cfb/players/matthew-philichi-1.html,Air Force,MWC,3,9,9,100.0,1,2,50.0,12,,2018
Cole Bunce,cole-bunce-1,/cfb/players/cole-bunce-1.html,Texas Christian,Big 12,13,12,12,100.0,4,9,44.4,24,,2018
Ryan Nuss,ryan-nuss-1,/cfb/players/ryan-nuss-1.html,Western Kentucky,CUSA,10,15,17,88.2,3,7,42.9,24,,2018
Cole Smith,cole-smith-2,/cfb/players/cole-smith-2.html,Cincinnati,American,12,54,56,96.4,5,12,41.7,69,,2018
Jack Fox,jack-fox-1,/cfb/players/jack-fox-1.html,Rice,CUSA,13,23,23,100.0,5,12,41.7,38,,2018
John Parker Romo,john-parker-romo-1,/cfb/players/john-parker-romo-1.html,Tulsa,American,12,17,18,94.4,2,5,40.0,23,,2018
Aaron Boumerhi,aaron-boumerhi-1,/cfb/players/aaron-boumerhi-1.html,Temple,American,2,2,2,100.0,1,3,33.3,5,,2018
Andrew Hicks,andrew-hicks-2,/cfb/players/andrew-hicks-2.html,Kansas State,Big 12,8,6,6,100.0,1,3,33.3,9,,2018
Josh Grant,josh-grant-1,/cfb/players/josh-grant-1.html,Western Michigan,MAC,4,8,8,100.0,1,3,33.3,11,,2018
A.J. Mejia,aj-mejia-1,/cfb/players/aj-mejia-1.html,Virginia,ACC,5,14,14,100.0,1,4,25.0,17,,2018
Brenton King,brenton-king-1,/cfb/players/brenton-king-1.html,Georgia Tech,ACC,4,10,11,90.9,1,4,25.0,13,,2018
Landon Salyers,landon-salyers-1,/cfb/players/landon-salyers-1.html,Army,Ind,13,11,11,100.0,1,4,25.0,14,,2018
Alex Spence,alex-spence-1,/cfb/players/alex-spence-1.html,Clemson,ACC,15,5,5,100.0,0,1,0.0,5,,2018
Chris Kessler,chris-kessler-1,/cfb/players/chris-kessler-1.html,Texas State,Sun Belt,4,4,4,100.0,0,2,0.0,4,,2018
Clayton Stewart,clayton-stewart-1,/cfb/players/clayton-stewart-1.html,Texas State,Sun Belt,12,15,18,83.3,0,3,0.0,15,,2018
Daniel Gutierrez,daniel-gutierrez-1,/cfb/players/daniel-gutierrez-1.html,Nevada-Las Vegas,MWC,1,0,0,,0,1,0.0,0,,2018
Darius Harris,darius-harris-2,/cfb/players/darius-harris-2.html,Middle Tennessee State,CUSA,14,0,0,,0,1,0.0,0,,2018
Davis Price,davis-price-1,/cfb/players/davis-price-1.html,Colorado,Pac-12,12,0,0,,0,1,0.0,0,,2018
Gavin Haggerty,gavin-haggerty-1,/cfb/players/gavin-haggerty-1.html,Rutgers,Big Ten,1,2,2,100.0,0,1,0.0,2,,2018
Ian Shannon,ian-shannon-1,/cfb/players/ian-shannon-1.html,Auburn,SEC,13,5,5,100.0,0,1,0.0,5,,2018
Jordan Stout,jordan-stout-1,/cfb/players/jordan-stout-1.html,Virginia Tech,ACC,3,4,4,100.0,0,1,0.0,4,,2018
Jordan Stout,jordan-stout-2,/cfb/players/jordan-stout-2.html,Virginia Tech,ACC,13,4,4,100.0,0,1,0.0,4,,2018
Nicholas McLellan,nicholas-mclellan-1,/cfb/players/nicholas-mclellan-1.html,Kansas State,Big 12,10,4,5,80.0,0,1,0.0,4,,2018
Sawyer Williams,sawyer-williams-1,/cfb/players/sawyer-williams-1.html,Arkansas State,Sun Belt,8,7,8,87.5,0,2,0.0,7,,2018
Zach Emerson,zach-emerson-1,/cfb/players/zach-emerson-1.html,Oregon,Pac-12,13,21,22,95.5,0,1,0.0,21,,2018
Zach Hintze,zach-hintze-1,/cfb/players/zach-hintze-1.html,Wisconsin,Big Ten,13,0,0,,0,1,0.0,0,,2018
Alejandro Cardenas,alejandro-cardenas-1,/cfb/players/alejandro-cardenas-1.html,Miami (FL),ACC,1,2,2,100.0,0,0,,2,,2018
Alexander Woznick,alexander-woznick-1,/cfb/players/alexander-woznick-1.html,South Carolina,SEC,4,1,1,100.0,0,0,,1,,2018
Andrew Mikkelsen,andrew-mikkelsen-1,/cfb/players/andrew-mikkelsen-1.html,BYU,Ind,13,1,1,100.0,0,0,,1,,2018
Ben Hicks,ben-hicks-1,/cfb/players/ben-hicks-1.html,SMU,American,12,0,1,0.0,0,0,,0,,2018
Caleb Pratt,caleb-pratt-1,/cfb/players/caleb-pratt-1.html,East Carolina,American,12,1,1,100.0,0,0,,1,,2018
Caleb Shudak,caleb-shudak-1,/cfb/players/caleb-shudak-1.html,Iowa,Big Ten,1,1,1,100.0,0,0,,1,,2018
Connor Coles,connor-coles-1,/cfb/players/connor-coles-1.html,Utah State,MWC,1,2,2,100.0,0,0,,2,,2018
Gabe Brkic,gabe-brkic-1,/cfb/players/gabe-brkic-1.html,Oklahoma,Big 12,1,1,1,100.0,0,0,,1,,2018
Isaac Way,isaac-way-1,/cfb/players/isaac-way-1.html,Ole Miss,SEC,1,1,1,100.0,0,0,,1,,2018
