Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,rec,rec_yds,rec_yds_per_rec,rec_td,rec_yds_per_g,rush_att,rush_yds,rush_yds_per_att,rush_td,rush_yds_per_g,scrim_att,yds_from_scrimmage,scrim_yds_per_att,scrim_td,awards,Year
Fred Ross,fred-ross-1,/cfb/players/fred-ross-1.html,Mississippi State,SEC,13,72,917,12.7,12,70.5,2,39,19.5,0,3.0,74,956,12.9,12,,2016
JuJu Smith-Schuster,juju-smith-1,/cfb/players/juju-smith-1.html,USC,Pac-12,13,70,914,13.1,10,70.3,5,27,5.4,0,2.1,75,941,12.5,10,,2016
Sebastian Smith,sebastian-smith-1,/cfb/players/sebastian-smith-1.html,Ohio,MAC,13,55,900,16.4,4,69.2,1,5,5.0,0,0.4,56,905,16.2,4,,2016
Ventell Bryant,ventell-bryant-1,/cfb/players/ventell-bryant-1.html,Temple,American,11,54,895,16.6,4,81.4,0,0,,0,0.0,54,895,16.6,4,,2016
Daikiel Shorts,daikiel-shorts-1,/cfb/players/daikiel-shorts-1.html,West Virginia,Big 12,13,63,894,14.2,5,68.8,0,0,,0,0.0,63,894,14.2,5,,2016
Gabe Marks,gabe-marks-1,/cfb/players/gabe-marks-1.html,Washington State,Pac-12,13,89,894,10.0,13,68.8,2,6,3.0,0,0.5,91,900,9.9,13,,2016
Keke Coutee,keke-coutee-1,/cfb/players/keke-coutee-1.html,Texas Tech,Big 12,12,55,890,16.2,7,74.2,3,2,0.7,1,0.2,58,892,15.4,8,,2016
Shay Fields,shay-fields-1,/cfb/players/shay-fields-1.html,Colorado,Pac-12,14,56,883,15.8,9,63.1,1,12,12.0,0,0.9,57,895,15.7,9,,2016
Jester Weah,jester-weah-1,/cfb/players/jester-weah-1.html,Pitt,ACC,13,36,870,24.2,10,66.9,0,0,,0,0.0,36,870,24.2,10,,2016
Sergio Bailey,sergio-bailey-1,/cfb/players/sergio-bailey-1.html,Eastern Michigan,MAC,13,60,868,14.5,7,66.8,3,22,7.3,0,1.7,63,890,14.1,7,,2016
Curtis Samuel,curtis-samuel-1,/cfb/players/curtis-samuel-1.html,Ohio State,Big Ten,13,74,865,11.7,7,66.5,97,771,7.9,8,59.3,171,1636,9.6,15,,2016
Ardarius Stewart,ardarius-stewart-1,/cfb/players/ardarius-stewart-1.html,Alabama,SEC,12,54,864,16.0,8,72.0,8,68,8.5,0,5.7,62,932,15.0,8,,2016
Amara Darboh,amara-darboh-1,/cfb/players/amara-darboh-1.html,Michigan,Big Ten,13,57,862,15.1,7,66.3,0,0,,0,0.0,57,862,15.1,7,,2016
