Player_ID,Player,pos_norm,latest_school,schools_played,seasons_count,games_total,sos_season_weighted,award_count,awards,heisman_finish,games_rushing,games_receiving,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,yds_from_scrimmage,scrim_td,award_aa,award_john_mackey_award_most_outstanding_tight_end,award_mac_offensive_player_of_the_year,award_vern_smith_leadership_award
francis-sherman-1,Francis Sherman,TE,Cincinnati,Arkansas|Cincinnati|Louisville,6,54.0,2.470185185185185,0.0,,0,0.0,42.0,0.0,0.0,0.0,7.0,62.0,1.0,0.0,0.0,0,0,0,0
jacob-warren-1,Jacob Warren,TE,Tennessee,Tennessee,6,54.0,4.719074074074074,0.0,,0,0.0,54.0,0.0,0.0,0.0,53.0,607.0,8.0,0.0,0.0,0,0,0,0
jake-molinich-1,Jake Molinich,TE,Buffalo,Buffalo,5,54.0,-4.721296296296296,0.0,,0,12.0,19.0,4.0,4.0,2.0,6.0,66.0,1.0,64.0,3.0,0,0,0,0
john-copenhaver-1,John Copenhaver,TE,North Carolina,North Carolina,5,54.0,0.5025925925925926,0.0,,0,13.0,49.0,1.0,6.0,0.0,75.0,924.0,9.0,420.0,4.0,0,0,0,0
mark-redman-1,Mark Redman,TE,Louisville,Louisville|San Diego State|Washington,5,54.0,-1.291851851851852,0.0,,0,0.0,50.0,0.0,0.0,0.0,84.0,902.0,8.0,0.0,0.0,0,0,0,0
markeston-douglas-1,Markeston Douglas,TE,Florida State,Arizona State|Florida State,6,54.0,3.214074074074074,0.0,,0,0.0,52.0,0.0,0.0,0.0,28.0,353.0,4.0,0.0,0.0,0,0,0,0
matt-alaimo-1,Matt Alaimo,TE,Coastal Carolina,Coastal Carolina|Rutgers|UCLA,6,54.0,2.7133333333333334,0.0,,0,0.0,54.0,0.0,0.0,0.0,30.0,201.0,1.0,0.0,0.0,0,0,0,0
matt-bjorson-1,Matt Bjorson,TE,Miami (OH),Indiana|Miami (OH),5,54.0,2.930925925925926,0.0,,0,0.0,54.0,0.0,0.0,0.0,22.0,189.0,1.0,0.0,0.0,0,0,0,0
matt-lauter-1,Matt Lauter,TE,Boise State,Boise State,5,54.0,-2.1794444444444445,0.0,,0,0.0,54.0,0.0,0.0,0.0,97.0,1146.0,12.0,0.0,0.0,0,0,0,0
max-bredeson-1,Max Bredeson,TE,Michigan,Michigan,5,54.0,5.837407407407408,0.0,,0,0.0,53.0,0.0,0.0,0.0,12.0,132.0,0.0,0.0,0.0,0,0,0,0
reagan-roberson-1,Reagan Roberson,TE,Nevada,Nevada,5,54.0,-3.8559259259259258,0.0,,0,0.0,46.0,0.0,0.0,0.0,8.0,62.0,1.0,0.0,0.0,0,0,0,0
brandon-crum-1,Brandon Crum,TE,South Alabama,South Alabama,5,53.0,-3.9958490566037734,0.0,,0,0.0,43.0,0.0,0.0,0.0,26.0,249.0,3.0,0.0,0.0,0,0,0,0
charlie-woerner-1,Charlie Woerner,TE,Georgia,Georgia,4,53.0,5.349622641509433,0.0,,0,0.0,53.0,0.0,0.0,0.0,34.0,376.0,1.0,0.0,0.0,0,0,0,0
drake-dabney-1,Drake Dabney,TE,Texas Christian,Baylor|Texas Christian,5,53.0,3.142075471698113,0.0,,0,0.0,53.0,0.0,0.0,0.0,84.0,1066.0,8.0,0.0,0.0,0,0,0,0
jamal-turner-2,Jamal Turner,TE,Toledo,Toledo,6,53.0,-3.04,0.0,,0,0.0,51.0,0.0,0.0,0.0,46.0,577.0,9.0,0.0,0.0,0,0,0,0
joey-magnifico-1,Joey Magnifico,TE,Memphis,Memphis,5,53.0,-1.2971698113207548,0.0,,0,0.0,53.0,0.0,0.0,0.0,71.0,1063.0,12.0,0.0,0.0,0,0,0,0
josh-harshman-1,Josh Harshman,TE,Wyoming,Wyoming,5,53.0,-3.285849056603774,0.0,,0,0.0,53.0,0.0,0.0,0.0,43.0,510.0,3.0,0.0,0.0,0,0,0,0
ko-kieft-1,Ko Kieft,TE,Minnesota,Minnesota,5,53.0,2.9552830188679247,0.0,,0,4.0,42.0,1.0,-2.0,0.0,12.0,166.0,2.0,27.0,1.0,0,0,0,0
maximilian-mang-1,Maximilian Mang,TE,Syracuse,Syracuse,5,53.0,1.7441509433962263,0.0,,0,0.0,50.0,0.0,0.0,0.0,9.0,60.0,1.0,0.0,0.0,0,0,0,0
miller-gibbs-1,Miller Gibbs,TE,Appalachian State,Appalachian State,6,53.0,-3.7918867924528303,0.0,,0,0.0,43.0,0.0,0.0,0.0,24.0,250.0,6.0,0.0,0.0,0,0,0,0
tanner-arkin-1,Tanner Arkin,TE,Illinois,Colorado State|Illinois,5,53.0,2.2750943396226417,0.0,,0,25.0,53.0,2.0,37.0,0.0,45.0,351.0,6.0,264.0,3.0,0,0,0,0
terrance-ferguson-1,Terrance Ferguson,TE,Oregon,Oregon,4,53.0,3.6016981132075467,0.0,,0,0.0,53.0,0.0,0.0,0.0,134.0,1537.0,16.0,0.0,0.0,0,0,0,0
will-kacmarek-1,Will Kacmarek,TE,Ohio State,Ohio|Ohio State,5,53.0,-0.12641509433962242,0.0,,0,27.0,53.0,2.0,4.0,0.0,65.0,761.0,4.0,511.0,2.0,0,0,0,0
brandon-frazier-2,Brandon Frazier,TE,Auburn,Auburn,6,52.0,5.342884615384615,0.0,,0,0.0,44.0,0.0,0.0,0.0,25.0,218.0,2.0,0.0,0.0,0,0,0,0
bryce-wolma-1,Bryce Wolma,TE,Arizona,Arizona,5,52.0,1.0132692307692308,0.0,,0,0.0,51.0,0.0,0.0,0.0,48.0,418.0,4.0,0.0,0.0,0,0,0,0
caden-prieskorn-1,Caden Prieskorn,TE,Ole Miss,Memphis|Ole Miss,5,52.0,0.07038461538461539,0.0,,0,0.0,52.0,0.0,0.0,0.0,112.0,1531.0,14.0,0.0,0.0,0,0,0,0
cj-dippre-1,CJ Dippre,TE,Alabama,Alabama|Maryland,4,52.0,3.128653846153846,0.0,,0,0.0,52.0,0.0,0.0,0.0,65.0,782.0,3.0,0.0,0.0,0,0,0,0
daniel-parker-1,Daniel Parker,TE,Oklahoma,Missouri|Oklahoma,5,52.0,4.3246153846153845,0.0,,0,0.0,52.0,0.0,0.0,0.0,45.0,365.0,4.0,0.0,0.0,0,0,0,0
drew-rosi-1,Drew Rosi,TE,Toledo,Toledo,5,52.0,-3.376153846153846,0.0,,0,0.0,52.0,0.0,0.0,0.0,49.0,648.0,4.0,0.0,0.0,0,0,0,0
duane-martin-1,Duane Martin,TE,Louisville,Louisville,5,52.0,3.565,0.0,,0,12.0,52.0,3.0,16.0,1.0,8.0,101.0,0.0,33.0,1.0,0,0,0,0
gunnar-helm-1,Gunnar Helm,TE,Texas,Texas,4,52.0,6.928461538461539,0.0,,0,0.0,43.0,0.0,0.0,0.0,79.0,1022.0,9.0,0.0,0.0,0,0,0,0
isaac-rex-1,Isaac Rex,TE,BYU,BYU,5,52.0,-0.07980769230769227,0.0,,0,0.0,52.0,0.0,0.0,0.0,112.0,1385.0,24.0,0.0,0.0,0,0,0,0
jack-bradley-1,Jack Bradley,TE,Rice,Rice,5,52.0,-3.376153846153846,0.0,,0,0.0,52.0,0.0,0.0,0.0,56.0,596.0,5.0,0.0,0.0,0,0,0,0
jack-westover-1,Jack Westover,TE,Washington,Washington,6,52.0,2.514423076923077,0.0,,0,26.0,52.0,7.0,26.0,1.0,87.0,849.0,6.0,524.0,5.0,0,0,0,0
levi-gazarek-1,Levi Gazarek,TE,Bowling Green,Bowling Green,5,52.0,-4.042307692307692,0.0,,0,13.0,51.0,1.0,2.0,0.0,27.0,197.0,2.0,14.0,0.0,0,0,0,0
nate-boerkircher-1,Nate Boerkircher,TE,Texas A&M,Nebraska|Texas A&M,6,52.0,3.8028846153846154,0.0,,0,25.0,52.0,4.0,16.0,1.0,38.0,417.0,4.0,265.0,4.0,0,0,0,0
nick-kallerup-1,Nick Kallerup,TE,Minnesota,Minnesota,6,52.0,2.7100000000000004,0.0,,0,0.0,39.0,0.0,0.0,0.0,14.0,151.0,1.0,0.0,0.0,0,0,0,0
sean-dykes-2,Sean Dykes,TE,Memphis,Memphis,5,52.0,-2.5938461538461537,0.0,,0,12.0,52.0,1.0,7.0,0.0,125.0,1789.0,19.0,353.0,3.0,0,0,0,0
shane-calhoun-1,Shane Calhoun,TE,Texas A&M,East Carolina|Texas A&M,5,52.0,0.42000000000000004,0.0,,0,0.0,52.0,0.0,0.0,0.0,66.0,651.0,6.0,0.0,0.0,0,0,0,0
tyler-petite-1,Tyler Petite,TE,USC,USC,4,52.0,4.396538461538461,0.0,,0,0.0,52.0,0.0,0.0,0.0,53.0,638.0,7.0,0.0,0.0,0,0,0,0
devin-culp-1,Devin Culp,TE,Washington,Washington,6,51.0,2.4962745098039214,0.0,,0,13.0,42.0,1.0,2.0,0.0,66.0,711.0,4.0,268.0,1.0,0,0,0,0
drew-sample-1,Drew Sample,TE,Washington,Washington,4,51.0,3.5123529411764705,0.0,,0,0.0,51.0,0.0,0.0,0.0,46.0,487.0,5.0,0.0,0.0,0,0,0,0
dylan-leonard-1,Dylan Leonard,TE,Georgia Tech,Georgia Tech,5,51.0,2.8341176470588234,0.0,,0,0.0,51.0,0.0,0.0,0.0,41.0,387.0,1.0,0.0,0.0,0,0,0,0
farrod-green-1,Farrod Green,TE,Mississippi State,Mississippi State,5,51.0,4.659019607843137,0.0,,0,0.0,51.0,0.0,0.0,0.0,52.0,633.0,2.0,0.0,0.0,0,0,0,0
gavin-sharp-1,Gavin Sharp,TE,UTSA,UTSA,5,51.0,-3.315098039215686,0.0,,0,0.0,51.0,0.0,0.0,0.0,41.0,370.0,1.0,0.0,0.0,0,0,0,0
holden-staes-1,Holden Staes,TE,Indiana,Indiana|Notre Dame|Tennessee,4,51.0,4.024117647058823,0.0,,0,0.0,51.0,0.0,0.0,0.0,38.0,380.0,7.0,0.0,0.0,0,0,0,0
jordan-dingle-1,Jordan Dingle,TE,South Carolina,Kentucky|South Carolina,5,51.0,4.573529411764706,0.0,,0,0.0,51.0,0.0,0.0,0.0,53.0,751.0,4.0,0.0,0.0,0,0,0,0
josh-whyle-1,Josh Whyle,TE,Cincinnati,Cincinnati,5,51.0,-0.07196078431372552,0.0,,0,0.0,48.0,0.0,0.0,0.0,88.0,1062.0,15.0,0.0,0.0,0,0,0,0
kurt-rafdal-1,Kurt Rafdal,TE,Boise State,Boise State|Nebraska,6,51.0,1.6576470588235293,0.0,,0,0.0,50.0,0.0,0.0,0.0,15.0,174.0,1.0,0.0,0.0,0,0,0,0
lake-mcree-1,Lake McRee,TE,USC,USC,5,51.0,5.343725490196079,0.0,,0,0.0,51.0,0.0,0.0,0.0,97.0,1154.0,7.0,0.0,0.0,0,0,0,0
matthew-hibner-1,Matthew Hibner,TE,SMU,Michigan|SMU,6,51.0,3.1811764705882353,0.0,,0,0.0,40.0,0.0,0.0,0.0,57.0,819.0,8.0,0.0,0.0,0,0,0,0
rivaldo-fairweather-1,Rivaldo Fairweather,TE,Auburn,Auburn|Florida International,5,51.0,-2.1029411764705883,0.0,,0,0.0,51.0,0.0,0.0,0.0,123.0,1604.0,13.0,0.0,0.0,0,0,0,0
robbie-ouzts-1,Robbie Ouzts,TE,Alabama,Alabama,4,51.0,1.3586274509803922,0.0,,0,0.0,51.0,0.0,0.0,0.0,16.0,192.0,3.0,0.0,0.0,0,0,0,0
tyler-fromm-1,Tyler Fromm,TE,Georgia Southern,Auburn|Georgia Southern,6,51.0,3.696666666666667,0.0,,0,0.0,50.0,0.0,0.0,0.0,39.0,414.0,3.0,0.0,0.0,0,0,0,0
tyree-mayfield-1,Tyree Mayfield,TE,Wyoming,Wyoming,4,51.0,-2.7864705882352943,0.0,,0,0.0,51.0,0.0,0.0,0.0,39.0,503.0,3.0,0.0,0.0,0,0,0,0
dan-dishman-1,Dan Dishman,TE,UTSA,UTSA,6,50.0,-2.0334,0.0,,0,0.0,50.0,0.0,0.0,0.0,40.0,475.0,5.0,0.0,0.0,0,0,0,0
eli-wilson-1,Eli Wilson,TE,Appalachian State,Appalachian State,5,50.0,-3.0004000000000004,0.0,,0,0.0,50.0,0.0,0.0,0.0,78.0,775.0,12.0,0.0,0.0,0,0,0,0
