Player_ID,Player,pos_norm,latest_school,schools_played,seasons_count,games_total,sos_season_weighted,award_count,awards,heisman_finish,games_defense,games_pff,tackles_combined,tackles_loss,sacks,def_int,pass_defended,fumbles_forced,award_aa,award_aac_defensive_player_of_the_year,award_acc_defensive_player_of_the_year,award_ap_player_of_the_year_award_most_outstanding_player,award_bednarik,award_big_12_defensive_player_of_the_year,award_big_ten_defensive_player_of_the_year,award_bronko_nagurski_award_most_outstanding_defensive_player,award_cusa_defensive_player_of_the_year,award_camp,award_chuck_bednarik_award_defensive_player_of_the_year,award_fred_biletnikoff_award_outstanding_receiver,award_heisman_memorial_trophy_most_outstanding_player,award_jim_thorpe_award_most_outstanding_defensive_back,award_johnny_the_jet_rodgers_award_most_outstanding_return_specialist,award_mwc_defensive_player_of_the_year,award_nagurski,award_pac_12_defensive_player_of_the_year,award_ronnie_lott_trophy_defensive_impact_player_of_the_year,award_sec_defensive_player_of_the_year,award_sun_belt_defensive_player_of_the_year,award_vince_lombardi_award_lineman_of_the_year,award_walter_camp_player_of_the_year_award_most_outstanding_player
nate-bauer-1,Nate Bauer,DB,Toledo,Toledo,6,60.0,-2.2816666666666663,0.0,,0,60.0,53.0,245.0,16.5,2.5,6.0,10.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rj-mickens-1,R.J. Mickens,DB,Clemson,Clemson,5,60.0,2.864,0.0,,0,60.0,50.0,196.0,13.5,0.0,7.0,12.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
traveon-redd-1,Traveon Redd,DB,Wake Forest,Wake Forest,6,60.0,1.1996666666666667,0.0,,0,59.0,46.0,193.0,13.0,3.0,4.0,4.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trevez-johnson-1,Tre'Vez Johnson,DB,Missouri,Florida|Missouri,5,60.0,5.126500000000001,0.0,,0,60.0,53.0,128.0,9.0,1.0,4.0,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tyler-venables-1,Tyler Venables,DB,Clemson,Clemson,6,60.0,2.507,0.0,,0,60.0,43.0,94.0,4.5,1.0,1.0,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zyon-gilbert-1,Zyon Gilbert,DB,Florida Atlantic,Florida Atlantic,5,60.0,-4.354833333333333,0.0,,0,60.0,56.0,248.0,5.5,1.0,5.0,26.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aj-woods-1,A.J. Woods,DB,Pitt,Pitt,5,59.0,0.6811864406779661,0.0,,0,59.0,43.0,105.0,7.0,2.0,4.0,25.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ameer-speed-1,Ameer Speed,DB,Michigan State,Georgia|Michigan State,6,59.0,6.204745762711864,0.0,,0,59.0,37.0,87.0,1.0,0.0,0.0,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bricen-garner-1,Bricen Garner,DB,Western Michigan,Pitt|Western Michigan,6,59.0,-0.11135593220338984,0.0,,0,59.0,44.0,168.0,6.0,0.5,4.0,10.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bryson-shaw-1,Bryson Shaw,DB,USC,Ohio State|USC,6,59.0,5.86542372881356,0.0,,0,59.0,49.0,190.0,4.0,0.5,2.0,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cameron-johnson-2,Cameron Johnson,DB,UCLA,North Texas|UCLA,5,59.0,-4.545084745762711,0.0,,0,59.0,0.0,177.0,5.0,0.5,2.0,12.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cedric-woods-1,Cedric Woods,DB,Louisiana Tech,Louisiana Tech,6,59.0,-5.570338983050847,0.0,,0,59.0,55.0,149.0,1.0,0.0,4.0,26.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
