Player_ID,Player,School,Year,pos,pos_norm,games_total,award_count,sos,games_passing,games_rushing,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_rating,pass_yds_per_att,rush_att,rush_yds,rush_td,yds_from_scrimmage,scrim_td,awards,heisman_finish,award_aa,award_aac_offensive_player_of_the_year,award_acc_offensive_player_of_the_year,award_acc_player_of_the_year,award_ap_player_of_the_year_award_most_outstanding_player,award_big_12_offensive_player_of_the_year,award_big_ten_offensive_player_of_the_year,award_cusa_most_valuable_player,award_cusa_offensive_player_of_the_year,award_camp,award_davey_o_brien_award_most_outstanding_quarterback,award_heisman_memorial_trophy_most_outstanding_player,award_johnny_unitas_golden_arm_award_most_outstanding_senior_quarterback,award_mac_offensive_player_of_the_year,award_mwc_offensive_player_of_the_year,award_manning_award_most_outstanding_quarterback,award_maxwell,award_maxwell_award_player_of_the_year,award_pac_12_offensive_player_of_the_year,award_sec_offensive_player_of_the_year,award_sammy_baugh_trophy_most_outstanding_passer,award_sun_belt_offensive_player_of_the_year,award_sun_belt_player_of_the_year,award_vern_smith_leadership_award,award_vince_lombardi_award_lineman_of_the_year,award_walter_camp_player_of_the_year_award_most_outstanding_player
jeremy-johnson-5,Jeremy Johnson,Auburn,2015,QB,QB,12.0,0.0,5.39,12.0,12.0,95.0,157.0,1054.0,10.0,7.0,129.0,6.7,47.0,137.0,6.0,137.0,6.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sean-white-3,Sean White,Auburn,2015,QB,QB,7.0,0.0,5.39,7.0,7.0,83.0,143.0,1166.0,1.0,4.0,123.2,8.2,30.0,35.0,0.0,35.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tucker-tuberville-1,Tucker Tuberville,Auburn,2015,QB,QB,1.0,0.0,5.39,,1.0,,,,,,,,2.0,14.0,0.0,14.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tyler-queen-1,Tyler Queen,Auburn,2015,QB,QB,0.0,0.0,5.39,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beau-hoge-1,Beau Hoge,BYU,2015,QB,QB,3.0,0.0,0.66,3.0,3.0,10.0,17.0,137.0,1.0,1.0,134.2,8.1,16.0,49.0,2.0,49.0,2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hunter-moore-1,Hunter Moore,BYU,2015,QB,QB,0.0,0.0,0.66,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
koy-detmer-jr-1,Koy Detmer Jr.,BYU,2015,QB,QB,1.0,0.0,0.66,1.0,1.0,3.0,3.0,57.0,0.0,0.0,259.6,19.0,1.0,-9.0,0.0,-9.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mccoy-hill-1,McCoy Hill,BYU,2015,QB,QB,0.0,0.0,0.66,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tanner-mangum-1,Tanner Mangum,BYU,2015,QB,QB,13.0,0.0,0.66,13.0,13.0,267.0,446.0,3377.0,23.0,10.0,136.0,7.6,63.0,-96.0,2.0,-92.0,2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taysom-hill-1,Taysom Hill,BYU,2015,QB,QB,1.0,0.0,0.66,1.0,1.0,21.0,34.0,268.0,1.0,1.0,131.8,7.9,9.0,72.0,2.0,72.0,2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
david-morrison-1,David Morrison,Ball State,2015,QB,QB,0.0,0.0,-1.16,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jack-milas-1,Jack Milas,Ball State,2015,QB,QB,12.0,0.0,-1.16,12.0,12.0,35.0,67.0,343.0,1.0,3.0,91.2,5.1,6.0,12.0,0.0,12.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jesse-best-1,Jesse Best,Ball State,2015,QB,QB,0.0,0.0,-1.16,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
riley-neal-1,Riley Neal,Ball State,2015,QB,QB,11.0,0.0,-1.16,11.0,11.0,228.0,391.0,2276.0,16.0,6.0,117.6,5.8,88.0,399.0,2.0,399.0,2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zack-blair-1,Zack Blair,Ball State,2015,QB,QB,0.0,0.0,-1.16,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chris-johnson-13,Chris Johnson,Baylor,2015,QB,QB,9.0,0.0,0.31,9.0,9.0,22.0,50.0,302.0,3.0,3.0,102.5,6.0,34.0,116.0,1.0,153.0,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jarrett-stidham-1,Jarrett Stidham,Baylor,2015,QB,QB,10.0,0.0,0.31,10.0,10.0,75.0,109.0,1265.0,12.0,2.0,199.0,11.6,36.0,70.0,2.0,70.0,2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seth-russell-1,Seth Russell,Baylor,2015,QB,QB,7.0,0.0,0.31,7.0,7.0,119.0,200.0,2104.0,29.0,6.0,189.7,10.5,49.0,402.0,6.0,402.0,6.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zack-bennema-1,Zack Bennema,Baylor,2015,QB,QB,0.0,0.0,0.31,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alex-ogle-1,Alex Ogle,Boise State,2015,QB,QB,3.0,0.0,-4.66,,3.0,,,,,,,,2.0,5.0,0.0,5.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anthony-upshaw-1,Anthony Upshaw,Boise State,2015,QB,QB,0.0,0.0,-4.66,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brett-rypien-1,Brett Rypien,Boise State,2015,QB,QB,11.0,0.0,-4.66,11.0,11.0,273.0,430.0,3353.0,20.0,8.0,140.6,7.8,40.0,-72.0,1.0,-82.0,2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
garrett-collingham-1,Garrett Collingham,Boise State,2015,QB,QB,0.0,0.0,-4.66,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ryan-finley-1,Ryan Finley,Boise State,2015,QB,QB,3.0,0.0,-4.66,3.0,3.0,46.0,70.0,485.0,1.0,4.0,117.2,6.9,22.0,42.0,0.0,42.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thomas-stuart-1,Thomas Stuart,Boise State,2015,QB,QB,9.0,0.0,-4.66,9.0,9.0,12.0,18.0,114.0,1.0,0.0,138.2,6.3,29.0,59.0,3.0,59.0,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
darius-wade-1,Darius Wade,Boston College,2015,QB,QB,3.0,0.0,2.11,3.0,3.0,21.0,42.0,232.0,2.0,1.0,107.4,5.5,22.0,73.0,0.0,73.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elijah-robinson-1,Elijah Robinson,Boston College,2015,QB,QB,12.0,0.0,2.11,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jeff-smith-10,Jeff Smith,Boston College,2015,QB,QB,9.0,0.0,2.11,9.0,9.0,27.0,82.0,253.0,2.0,3.0,59.6,3.1,71.0,450.0,6.0,450.0,6.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
john-fadule-1,John Fadule,Boston College,2015,QB,QB,3.0,0.0,2.11,3.0,3.0,38.0,73.0,464.0,1.0,4.0,99.0,6.4,39.0,98.0,0.0,98.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
troy-flutie-1,Troy Flutie,Boston College,2015,QB,QB,8.0,0.0,2.11,8.0,8.0,24.0,49.0,382.0,3.0,1.0,130.6,7.8,23.0,33.0,0.0,33.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
james-knapke-1,James Knapke,Bowling Green,2015,QB,QB,13.0,0.0,-0.34,13.0,13.0,14.0,20.0,173.0,1.0,0.0,159.2,8.7,2.0,4.0,0.0,4.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
james-morgan-1,James Morgan,Bowling Green,2015,QB,QB,0.0,0.0,-0.34,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
