Player_ID,Player,pos_norm,latest_school,schools_played,seasons_count,games_total,sos_season_weighted,award_count,awards,heisman_finish,games_defense,games_pff,tackles_combined,tackles_loss,sacks,def_int,pass_defended,fumbles_forced,award_aa,award_aac_defensive_player_of_the_year,award_acc_defensive_player_of_the_year,award_bednarik,award_big_12_defensive_player_of_the_year,award_big_ten_defensive_player_of_the_year,award_bronko_nagurski_award_most_outstanding_defensive_player,award_cusa_defensive_player_of_the_year,award_chuck_bednarik_award_defensive_player_of_the_year,award_john_outland_trophy_most_outstanding_interior_lineman,award_mac_defensive_player_of_the_year,award_mwc_defensive_player_of_the_year,award_nagurski,award_pac_12_defensive_player_of_the_year,award_ronnie_lott_trophy_defensive_impact_player_of_the_year,award_sec_defensive_player_of_the_year,award_sun_belt_defensive_player_of_the_year,award_sun_belt_player_of_the_year,award_ted_hendricks_award_defensive_end_of_the_year_award,award_vern_smith_leadership_award,award_vince_lombardi_award_lineman_of_the_year
tim-smith-8,Tim Smith,IDL,Alabama,Alabama,5,63.0,1.0998412698412698,0.0,,0,63.0,55.0,124.0,14.0,6.5,0.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tvondre-sweat-1,T'vondre Sweat,IDL,Texas,Texas,5,62.0,5.965161290322581,3.0,AA|Big 12 Defensive Player of the Year|John Outland Trophy [Most Outstanding Interior Lineman],0,62.0,57.0,128.0,17.5,5.0,0.0,14.0,1.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
devin-danielson-1,Devin Danielson,IDL,Pitt,Pitt,6,62.0,0.49564516129032266,0.0,,0,62.0,56.0,95.0,10.5,5.5,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dion-bergan-1,Dion Bergan,IDL,Wake Forest,Wake Forest,5,62.0,1.4193548387096775,0.0,,0,62.0,56.0,79.0,15.0,4.0,0.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eric-gregory-1,Eric Gregory,IDL,Arkansas,Arkansas,6,62.0,4.837258064516129,0.0,,0,61.0,60.0,135.0,18.5,9.5,1.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
isaiah-nichols-1,Isaiah Nichols,IDL,Purdue,Arkansas|Purdue,6,62.0,5.856935483870967,0.0,,0,61.0,61.0,100.0,9.0,3.5,0.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jaylon-hutchings-1,Jaylon Hutchings,IDL,Texas Tech,Texas Tech,6,62.0,3.556935483870968,0.0,,0,61.0,60.0,193.0,26.0,11.0,0.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jeffery-johnson-2,Jeffery Johnson,IDL,Oklahoma,Oklahoma|Tulane,5,62.0,0.841935483870968,0.0,,0,62.0,58.0,159.0,19.0,9.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jordan-botelho-1,Jordan Botelho,IDL,Notre Dame,Notre Dame,6,62.0,3.5035483870967736,0.0,,0,62.0,44.0,97.0,16.5,12.5,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jordan-miller-4,Jordan Miller,IDL,SMU,Miami (FL)|SMU,6,62.0,-0.006129032258064672,0.0,,0,61.0,58.0,86.0,15.0,3.5,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
