Player_ID,Player,pos_norm,latest_school,schools_played,seasons_count,games_total,sos_season_weighted,award_count,awards,heisman_finish,games_defense,games_pff,tackles_combined,tackles_loss,sacks,def_int,pass_defended,fumbles_forced,award_aa,award_aac_defensive_player_of_the_year,award_acc_defensive_player_of_the_year,award_bednarik,award_big_12_defensive_player_of_the_year,award_big_ten_defensive_player_of_the_year,award_bronko_nagurski_award_most_outstanding_defensive_player,award_cusa_defensive_player_of_the_year,award_chuck_bednarik_award_defensive_player_of_the_year,award_mac_defensive_player_of_the_year,award_nagurski,award_ronnie_lott_trophy_defensive_impact_player_of_the_year,award_sec_defensive_player_of_the_year,award_sun_belt_defensive_player_of_the_year,award_sun_belt_player_of_the_year,award_ted_hendricks_award_defensive_end_of_the_year_award,award_vern_smith_leadership_award,award_vince_lombardi_award_lineman_of_the_year
nick-heninger-1,Nick Heninger,EDGE,Utah State,Utah|Utah State,4,51.0,-0.6025490196078432,0.0,,0,51.0,42.0,120.0,32.5,15.0,0.0,9.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
austin-bryant-1,Austin Bryant,EDGE,Clemson,Clemson,4,50.0,5.901599999999999,0.0,,0,50.0,40.0,129.0,36.0,20.0,1.0,3.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
derrick-mclendon-1,Derrick McLendon II,EDGE,Colorado,Colorado|Florida State,5,50.0,2.5751999999999997,0.0,,0,50.0,49.0,75.0,14.0,8.5,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
devonne-harris-1,Devonne Harris,EDGE,Wyoming,Wyoming,6,50.0,-3.9152,0.0,,0,50.0,48.0,125.0,22.5,14.0,0.0,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kirk-livingstone-1,Kirk Livingstone,EDGE,South Florida,South Florida,5,50.0,-2.4903999999999997,0.0,,0,50.0,47.0,140.0,31.0,11.0,0.0,3.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kris-trinidad-1,Kris Trinidad,EDGE,Old Dominion,Old Dominion,5,50.0,-1.5468000000000002,0.0,,0,50.0,48.0,136.0,24.5,15.0,0.0,6.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ochaun-mathis-1,Ochaun Mathis,EDGE,Nebraska,Nebraska|Texas Christian,5,50.0,3.3308000000000004,0.0,,0,50.0,50.0,183.0,35.5,19.0,0.0,6.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
raymond-johnson-iii-1,Raymond Johnson III,EDGE,Georgia Southern,Georgia Southern,4,50.0,-4.6454,0.0,,0,50.0,47.0,150.0,36.0,16.5,0.0,5.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reggie-walker-2,Reggie Walker,EDGE,Kansas State,Kansas State,5,50.0,2.1218,0.0,,0,50.0,47.0,140.0,35.0,18.0,0.0,5.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tj-carter-1,T.J. Carter,EDGE,Kentucky,Kentucky,4,50.0,2.5416,0.0,,0,50.0,46.0,71.0,12.0,6.0,0.0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wyatt-ray-1,Wyatt Ray,EDGE,Boston College,Boston College,4,50.0,2.9044,0.0,,0,49.0,48.0,114.0,24.0,16.5,1.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zach-allen-5,Zach Allen,EDGE,Boston College,Boston College,4,50.0,2.9044,0.0,,0,50.0,41.0,199.0,40.5,18.5,2.0,14.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brady-wright-1,Brady Wright,EDGE,Rice,Rice,4,49.0,-5.174489795918368,0.0,,0,48.0,36.0,34.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
joe-evans-2,Joe Evans,EDGE,Iowa,Iowa,4,49.0,0.8965306122448979,0.0,,0,48.0,44.0,128.0,31.0,24.0,0.0,6.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
joey-petersen-1,Joey Petersen,EDGE,Iowa State,Iowa State,4,49.0,4.179183673469388,0.0,,0,49.0,32.0,103.0,14.5,5.5,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jordan-lawson-1,Jordan Lawson,EDGE,Louisiana,Louisiana,4,49.0,-3.310612244897959,0.0,,0,49.0,0.0,161.0,35.0,18.0,1.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
justin-reed-3,Justin Reed,EDGE,Navy,Navy,4,49.0,-0.2297959183673471,0.0,,0,49.0,42.0,117.0,20.5,11.5,0.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marcus-haynes-1,Marcus Haynes,EDGE,Old Dominion,Old Dominion,6,49.0,-4.309183673469388,0.0,,0,49.0,45.0,102.0,22.0,15.0,0.0,5.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
myles-mouton-1,Myles Mouton,EDGE,Tulsa,Tulsa,4,49.0,-2.3585714285714285,0.0,,0,49.0,47.0,53.0,9.5,1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oshane-ximines-1,Oshane Ximines,EDGE,Old Dominion,Old Dominion,4,49.0,-6.678979591836734,0.0,,0,49.0,48.0,176.0,51.5,33.0,1.0,12.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
patrick-johnson-4,Patrick Johnson,EDGE,Tulane,Tulane,4,49.0,-1.359591836734694,0.0,,0,49.0,47.0,135.0,40.0,24.5,0.0,11.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
raishein-thomas-1,Raishein Thomas,EDGE,Northern Illinois,Northern Illinois,5,49.0,-2.8173469387755103,0.0,,0,49.0,0.0,198.0,22.0,6.0,0.0,9.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sean-grayer-1,Sean Grayer,EDGE,South Alabama,South Alabama,4,49.0,-4.473877551020408,0.0,,0,49.0,43.0,71.0,9.0,3.5,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trevis-gipson-1,Trevis Gipson,EDGE,Tulsa,Tulsa,5,49.0,-0.6634693877551021,0.0,,0,49.0,38.0,114.0,25.5,13.0,0.0,2.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trey-schuman-1,Trey Schuman,EDGE,Rice,Rice,6,49.0,-4.033469387755102,0.0,,0,48.0,48.0,123.0,18.5,9.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tyshun-render-1,Tyshun Render,EDGE,Middle Tennessee State,Middle Tennessee State,5,49.0,-4.541428571428572,0.0,,0,49.0,45.0,119.0,19.5,6.5,1.0,7.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
victor-dimukeje-1,Victor Dimukeje,EDGE,Duke,Duke,4,49.0,1.9500000000000002,0.0,,0,49.0,47.0,167.0,37.0,21.5,1.0,3.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vincent-anthony-jr-1,Vincent Anthony Jr.,EDGE,Duke,Duke,4,49.0,1.210408163265306,0.0,,0,49.0,45.0,103.0,29.0,15.0,0.0,8.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
donovan-ezeiruaku-1,Donovan Ezeiruaku,EDGE,Boston College,Boston College,4,48.0,1.2866666666666668,3.0,AA|ACC Defensive Player of the Year|Ted Hendricks Award [Defensive End of the Year Award],0,47.0,47.0,215.0,45.5,30.0,0.0,4.0,8.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
deeve-harris-1,Deeve Harris,EDGE,Marshall,Colorado|Marshall|Old Dominion,4,48.0,-0.9304166666666664,0.0,,0,48.0,45.0,125.0,18.0,9.5,2.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eric-banks-1,Eric Banks,EDGE,UTSA,UTSA,4,48.0,-6.110416666666667,0.0,,0,48.0,46.0,81.0,19.5,7.5,0.0,3.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kimoni-fitz-1,Kimoni Fitz,EDGE,Cincinnati,Cincinnati,4,48.0,-1.7983333333333336,0.0,,0,47.0,47.0,128.0,17.0,6.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
logan-hunt-1,Logan Hunt,EDGE,Georgia Southern,Georgia Southern,4,48.0,-4.6125,0.0,,0,48.0,47.0,127.0,20.5,10.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maurice-westmoreland-1,Maurice Westmoreland,EDGE,Tulane,Tulane|UTEP,4,48.0,-4.0425,0.0,,0,48.0,47.0,110.0,24.5,18.5,1.0,5.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neto-okpala-1,Neto Okpala,EDGE,Boston College,Boston College,4,48.0,1.3760416666666668,0.0,,0,48.0,43.0,95.0,16.0,5.0,0.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tj-guy-1,TJ Guy,EDGE,Michigan,Michigan,5,48.0,6.124375000000001,0.0,,0,48.0,37.0,66.0,12.5,10.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
van-fillinger-1,Van Fillinger,EDGE,Utah,Utah,5,48.0,1.5645833333333332,0.0,,0,48.0,45.0,138.0,28.5,19.5,0.0,5.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bradlee-anae-1,Bradlee Anae,EDGE,Utah,Utah,4,47.0,0.6170212765957447,1.0,AA,0,47.0,42.0,135.0,41.5,30.0,0.0,4.0,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cade-denhoff-1,Cade Denhoff,EDGE,Clemson,Clemson,5,47.0,2.953829787234042,0.0,,0,46.0,42.0,51.0,5.0,2.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
charles-harris-7,Charles Harris,EDGE,Buffalo,Buffalo,4,47.0,-5.203404255319149,0.0,,0,47.0,0.0,149.0,22.5,12.0,0.0,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ibrahim-kante-1,Ibrahim Kante,EDGE,North Carolina State,North Carolina State,5,47.0,-0.37297872340425536,0.0,,0,46.0,46.0,51.0,13.0,4.5,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jacoby-wildman-1,Jacoby Wildman,EDGE,Utah State,Utah State,4,47.0,-2.4695744680851064,0.0,,0,47.0,35.0,106.0,9.5,5.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kenard-snyder-1,Kenard Snyder,EDGE,Texas State,Iowa State|Louisiana-Monroe|Texas State,4,47.0,-1.1174468085106384,0.0,,0,47.0,45.0,164.0,35.5,11.5,0.0,2.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keyron-crawford-1,Keyron Crawford,EDGE,Auburn,Arkansas State|Auburn,4,47.0,0.44382978723404237,0.0,,0,47.0,46.0,116.0,24.0,11.5,1.0,2.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kwami-jones-1,Kwami Jones,EDGE,Fresno State,Fresno State,5,47.0,-2.5076595744680854,0.0,,0,46.0,44.0,76.0,12.5,9.5,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malik-vann-1,Malik Vann,EDGE,Cincinnati,Cincinnati,4,47.0,-0.10000000000000006,0.0,,0,47.0,44.0,66.0,14.0,7.0,0.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marterious-allen-1,Marterious Allen,EDGE,Georgia State,Georgia State,4,47.0,-5.467446808510639,0.0,,0,47.0,42.0,96.0,14.5,8.5,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shaka-toney-1,Shaka Toney,EDGE,Penn State,Penn State,4,47.0,5.069148936170213,0.0,,0,47.0,45.0,116.0,30.5,21.5,0.0,4.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
