Player_ID,Player,School,Year,pos,pos_norm,games_total,award_count,sos,games_rushing,games_receiving,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,yds_from_scrimmage,scrim_td,awards,heisman_finish,award_aa,award_john_mackey_award_most_outstanding_tight_end,award_mac_offensive_player_of_the_year,award_vern_smith_leadership_award
remington-peck-1,Remington Peck,BYU,2015,TE,TE,13.0,0.0,0.66,,13.0,,,,7.0,75.0,1.0,,,,0,0,0,0,0
steven-richards-1,Steven Richards,BYU,2015,TE,TE,0.0,0.0,0.66,,,,,,,,,,,,0,0,0,0,0
tanner-balderree-1,Tanner Balderree,BYU,2015,TE,TE,0.0,0.0,0.66,,,,,,,,,,,,0,0,0,0,0
theodore-king-1,Theodore King,BYU,2015,TE,TE,0.0,0.0,0.66,,,,,,,,,,,,0,0,0,0,0
danny-pinter-1,Danny Pinter,Ball State,2015,TE,TE,0.0,0.0,-1.16,,,,,,,,,,,,0,0,0,0,0
darren-bost-1,Darren Bost,Ball State,2015,TE,TE,0.0,0.0,-1.16,,,,,,,,,,,,0,0,0,0,0
dylan-curry-1,Dylan Curry,Ball State,2015,TE,TE,12.0,0.0,-1.16,,12.0,,,,9.0,51.0,1.0,,,,0,0,0,0,0
john-godfrey-1,John Godfrey,Ball State,2015,TE,TE,0.0,0.0,-1.16,,,,,,,,,,,,0,0,0,0,0
kyle-schrank-1,Kyle Schrank,Ball State,2015,TE,TE,0.0,0.0,-1.16,,,,,,,,,,,,0,0,0,0,0
logan-curry-1,Logan Curry,Ball State,2015,TE,TE,1.0,0.0,-1.16,,,,,,,,,,,,0,0,0,0,0
michael-raby-1,Michael Raby,Ball State,2015,TE,TE,0.0,0.0,-1.16,,,,,,,,,,,,0,0,0,0,0
sam-brunner-1,Sam Brunner,Ball State,2015,TE,TE,12.0,0.0,-1.16,,12.0,,,,7.0,73.0,0.0,,,,0,0,0,0,0
gus-penning-1,Gus Penning,Baylor,2015,TE,TE,12.0,0.0,0.31,,12.0,,,,6.0,109.0,0.0,,,,0,0,0,0,0
jordan-feurbacher-1,Jordan Feuerbacher,Baylor,2015,TE,TE,3.0,0.0,0.31,,,,,,,,,,,,0,0,0,0,0
