Player_ID,Player,pos_norm,latest_school,schools_played,seasons_count,games_total,sos_season_weighted,award_count,awards,heisman_finish,games_rushing,games_receiving,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,yds_from_scrimmage,scrim_td,award_aa,award_aac_offensive_player_of_the_year,award_acc_offensive_player_of_the_year,award_acc_player_of_the_year,award_ap_player_of_the_year_award_most_outstanding_player,award_big_12_offensive_player_of_the_year,award_big_ten_offensive_player_of_the_year,award_cusa_most_valuable_player,award_cusa_offensive_player_of_the_year,award_camp,award_doak_walker_award_most_outstanding_running_back,award_heisman_memorial_trophy_most_outstanding_player,award_johnny_the_jet_rodgers_award_most_outstanding_return_specialist,award_mac_offensive_player_of_the_year,award_mwc_offensive_player_of_the_year,award_maxwell,award_maxwell_award_player_of_the_year,award_pac_12_offensive_player_of_the_year,award_sec_offensive_player_of_the_year,award_sun_belt_offensive_player_of_the_year,award_vern_smith_leadership_award,award_vince_lombardi_award_lineman_of_the_year,award_walter_camp_player_of_the_year_award_most_outstanding_player
keyon-mozee-1,Keyon Mozee,RB,Miami (OH),Kansas State|Miami (OH),5,59.0,-3.4837288135593223,0.0,,0,59.0,47.0,454.0,2315.0,12.0,7.0,111.0,0.0,2426.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lincoln-pare-1,Lincoln Pare,RB,Texas State,Arkansas State|Texas State,6,59.0,-4.556949152542373,0.0,,0,59.0,59.0,656.0,3359.0,27.0,117.0,1043.0,7.0,4402.0,34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nayquan-wright-1,Nay'quan Wright,RB,South Florida,Florida|South Florida,6,59.0,1.0581355932203391,0.0,,0,59.0,59.0,478.0,2060.0,21.0,67.0,589.0,1.0,2649.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
toa-taua-1,Toa Taua,RB,Nevada,Nevada,5,59.0,-4.316779661016949,0.0,,0,59.0,59.0,855.0,3995.0,33.0,163.0,1192.0,4.0,5187.0,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ty-chandler-1,Ty Chandler,RB,North Carolina,North Carolina|Tennessee,5,59.0,4.405762711864407,0.0,,0,59.0,59.0,603.0,3138.0,26.0,73.0,681.0,4.0,3819.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aaron-young-5,Aaron Young,RB,Old Dominion,Old Dominion|Rutgers,6,58.0,3.5487931034482756,0.0,,0,58.0,58.0,333.0,1476.0,15.0,63.0,411.0,4.0,1887.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frank-peasant-1,Frank Peasant,RB,Memphis,Memphis|Middle Tennessee State,6,58.0,-4.9222413793103446,0.0,,0,58.0,58.0,433.0,1790.0,26.0,64.0,454.0,2.0,2244.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
isaiah-woullard-1,Isaiah Woullard,RB,Louisiana-Monroe,Louisiana-Monroe|Ole Miss,7,58.0,3.5644827586206893,0.0,,0,47.0,24.0,201.0,919.0,5.0,18.0,78.0,1.0,997.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jordan-byrd-1,Jordan Byrd,RB,San Diego State,San Diego State,5,58.0,-2.0100000000000002,0.0,,0,58.0,58.0,275.0,1353.0,12.0,47.0,219.0,1.0,1572.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
roman-hemby-1,Roman Hemby,RB,Indiana,Indiana|Maryland,5,58.0,4.873103448275862,0.0,,0,58.0,58.0,711.0,3467.0,29.0,129.0,1086.0,5.0,4553.0,34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
