Player_ID,Player,School,Year,pos,pos_norm,games_total,award_count,sos,games_kicking,games_punting,xpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,punt,punt_yds,punt_yds_per_punt,awards,heisman_finish,award_aa,award_lou_groza_award_most_outstanding_place_kicker,award_ray_guy_award_most_outstanding_punter
josh-pollack-1,Josh Pollack,Arizona,2015,K,SPEC,3.0,0.0,1.12,3.0,,1.0,1.0,100.0,0.0,0.0,,1.0,,,,,0,0,0,0
matt-aragon-1,Matt Aragon,Arizona,2015,P,SPEC,0.0,0.0,1.12,,,,,,,,,,,,,,0,0,0,0
nick-reinhardt-1,Nick Reinhardt,Arizona,2015,LS,SPEC,0.0,0.0,1.12,,,,,,,,,,,,,,0,0,0,0
ollie-graybar-1,Ollie Graybar,Arizona,2015,K,SPEC,0.0,0.0,1.12,,,,,,,,,,,,,,0,0,0,0
donnie-shields-1,Donnie Shields,Arizona State,2015,LS,SPEC,0.0,0.0,4.45,,,,,,,,,,,,,,0,0,0,0
gilbert-trent-1,Gilbert Trent,Arizona State,2015,K,SPEC,0.0,0.0,4.45,,,,,,,,,,,,,,0,0,0,0
greg-thomas-6,Greg Thomas,Arizona State,2015,P,SPEC,0.0,0.0,4.45,,,,,,,,,,,,,,0,0,0,0
john-obrien-2,John O'Brien,Arizona State,2015,K,SPEC,0.0,0.0,4.45,,,,,,,,,,,,,,0,0,0,0
matt-haack-1,Matt Haack,Arizona State,2015,P,SPEC,13.0,0.0,4.45,,13.0,,,,,,,,74.0,3186.0,43.1,,0,0,0,0
mitchell-fraboni-1,Mitchell Fraboni,Arizona State,2015,LS,SPEC,13.0,0.0,4.45,,,,,,,,,,,,,,0,0,0,0
zane-gonzalez-1,Zane Gonzalez,Arizona State,2015,K,SPEC,13.0,0.0,4.45,13.0,,52.0,52.0,100.0,26.0,34.0,76.5,130.0,,,,,0,0,0,0
adam-mcfain-1,Adam McFain,Arkansas,2015,K,SPEC,3.0,0.0,6.02,,,,,,,,,,,,,,0,0,0,0
blake-johnson-1,Blake Johnson,Arkansas,2015,P,SPEC,0.0,0.0,6.02,,,,,,,,,,,,,,0,0,0,0
cole-hedlund-1,Cole Hedlund,Arkansas,2015,K,SPEC,13.0,0.0,6.02,13.0,,58.0,58.0,100.0,9.0,15.0,60.0,85.0,,,,,0,0,0,0
drew-gorton-1,Drew Gorton,Arkansas,2015,LS,SPEC,13.0,0.0,6.02,,,,,,,,,,,,,,0,0,0,0
george-madden-1,George Madden,Arkansas,2015,LS,SPEC,0.0,0.0,6.02,,,,,,,,,,,,,,0,0,0,0
lane-saling-1,Lane Saling,Arkansas,2015,K,SPEC,13.0,0.0,6.02,,,,,,,,,,,,,,0,0,0,0
matt-emrich-1,Matt Emrich,Arkansas,2015,LS,SPEC,0.0,0.0,6.02,,,,,,,,,,,,,,0,0,0,0
mitch-carter-1,Mitch Carter,Arkansas,2015,K,SPEC,0.0,0.0,6.02,,,,,,,,,,,,,,0,0,0,0
toby-baker-1,Toby Baker,Arkansas,2015,P,SPEC,13.0,0.0,6.02,,13.0,,,,,,,,43.0,1772.0,41.2,,0,0,0,0
andrew-hugen-1,Andrew Hugen,Arkansas State,2015,K,SPEC,0.0,0.0,-6.26,,,,,,,,,,,,,,0,0,0,0
damon-foncham-1,Damon Foncham,Arkansas State,2015,P,SPEC,0.0,0.0,-6.26,,,,,,,,,,,,,,0,0,0,0
drew-white-2,Drew White,Arkansas State,2015,K,SPEC,7.0,0.0,-6.26,7.0,,19.0,20.0,95.0,1.0,3.0,33.3,22.0,,,,,0,0,0,0
hunter-holmes-1,Hunter Holmes,Arkansas State,2015,P,SPEC,0.0,0.0,-6.26,,,,,,,,,,,,,,0,0,0,0
jd-houston-1,JD Houston,Arkansas State,2015,K,SPEC,12.0,0.0,-6.26,12.0,,43.0,45.0,95.6,12.0,14.0,85.7,79.0,,,,,0,0,0,0
luke-ferguson-1,Luke Ferguson,Arkansas State,2015,K,SPEC,13.0,0.0,-6.26,13.0,13.0,1.0,1.0,100.0,0.0,0.0,,1.0,72.0,3075.0,42.7,,0,0,0,0
mitch-hardy-1,Mitch Hardy,Arkansas State,2015,LS,SPEC,0.0,0.0,-6.26,,,,,,,,,,,,,,0,0,0,0
ryan-eustace-1,Ryan Eustace,Arkansas State,2015,LS,SPEC,13.0,0.0,-6.26,,,,,,,,,,,,,,0,0,0,0
sawyer-williams-1,Sawyer Williams,Arkansas State,2015,K,SPEC,0.0,0.0,-6.26,,,,,,,,,,,,,,0,0,0,0
stephen-shirley-1,Stephen Shirley,Arkansas State,2015,K,SPEC,0.0,0.0,-6.26,,,,,,,,,,,,,,0,0,0,0
alex-tardieu-1,Alex Tardieu,Army,2015,P,SPEC,12.0,0.0,-5.9,,12.0,,,,,,,,50.0,2012.0,40.2,,0,0,0,0
cale-brewer-1,Cale Brewer,Army,2015,K,SPEC,0.0,0.0,-5.9,,,,,,,,,,,,,,0,0,0,0
christopher-dyer-1,Christopher Dyer,Army,2015,LS,SPEC,0.0,0.0,-5.9,,,,,,,,,,,,,,0,0,0,0
clay-barton-1,Clay Barton,Army,2015,LS,SPEC,0.0,0.0,-5.9,,,,,,,,,,,,,,0,0,0,0
connor-farley-1,Connor Farley,Army,2015,LS,SPEC,0.0,0.0,-5.9,,,,,,,,,,,,,,0,0,0,0
daniel-grochowski-1,Daniel Grochowski,Army,2015,K,SPEC,12.0,0.0,-5.9,12.0,,31.0,31.0,100.0,6.0,9.0,66.7,49.0,,,,,0,0,0,0
jd-mote-1,J.D. Mote,Army,2015,P,SPEC,0.0,0.0,-5.9,,,,,,,,,,,,,,0,0,0,0
mitchell-howard-1,Mitchell Howard,Army,2015,K,SPEC,0.0,0.0,-5.9,,,,,,,,,,,,,,0,0,0,0
nick-schrage-1,Nick Schrage,Army,2015,K,SPEC,0.0,0.0,-5.9,,,,,,,,,,,,,,0,0,0,0
winston-smith-t-1,Winston Smith T,Army,2015,P,SPEC,0.0,0.0,-5.9,,,,,,,,,,,,,,0,0,0,0
daniel-carlson-1,Daniel Carlson,Auburn,2015,K,SPEC,13.0,0.0,5.39,13.0,,40.0,40.0,100.0,23.0,27.0,85.2,109.0,,,,,0,0,0,0
duncan-mckinney-1,Duncan McKinney,Auburn,2015,K,SPEC,0.0,0.0,5.39,,,,,,,,,,,,,,0,0,0,0
ian-shannon-1,Ian Shannon,Auburn,2015,K,SPEC,0.0,0.0,5.39,,,,,,,,,,,,,,0,0,0,0
ike-powell-1,Ike Powell,Auburn,2015,LS,SPEC,0.0,0.0,5.39,,,,,,,,,,,,,,0,0,0,0
jack-bjork-1,Jack Bjork,Auburn,2015,P,SPEC,0.0,0.0,5.39,,,,,,,,,,,,,,0,0,0,0
jonathan-parslow-1,Jonathan Parslow,Auburn,2015,LS,SPEC,0.0,0.0,5.39,,,,,,,,,,,,,,0,0,0,0
kevin-phillips-1,Kevin Phillips,Auburn,2015,P,SPEC,13.0,0.0,5.39,,13.0,,,,,,,,55.0,2254.0,41.0,,0,0,0,0
will-hastings-1,Will Hastings,Auburn,2015,K,SPEC,0.0,0.0,5.39,,,,,,,,,,,,,,0,0,0,0
zach-wade-1,Zach Wade,Auburn,2015,LS,SPEC,0.0,0.0,5.39,,,,,,,,,,,,,,0,0,0,0
austin-brasher-1,Austin Brasher,BYU,2015,K,SPEC,12.0,0.0,0.66,,,,,,,,,,,,,,0,0,0,0
corey-edwards-1,Corey Edwards,BYU,2015,K,SPEC,0.0,0.0,0.66,,,,,,,,,,,,,,0,0,0,0
jonny-linehan-1,Jonny Linehan,BYU,2015,P,SPEC,12.0,0.0,0.66,,12.0,,,,,,,,62.0,2649.0,42.7,,0,0,0,0
matt-foley-1,Matt Foley,BYU,2015,LS,SPEC,13.0,0.0,0.66,,,,,,,,,,,,,,0,0,0,0
rhett-almond-1,Rhett Almond,BYU,2015,P,SPEC,9.0,0.0,0.66,,9.0,,,,,,,,1.0,48.0,48.0,,0,0,0,0
taylor-parker-1,Taylor Parker,BYU,2015,P,SPEC,0.0,0.0,0.66,,,,,,,,,,,,,,0,0,0,0
trevor-samson-1,Trevor Samson,BYU,2015,K,SPEC,12.0,0.0,0.66,12.0,,52.0,55.0,94.5,14.0,17.0,82.4,94.0,,,,,0,0,0,0
vance-bingham-1,Vance Bingham,BYU,2015,K,SPEC,0.0,0.0,0.66,,,,,,,,,,,,,,0,0,0,0
alex-egan-1,Alex Egan,Ball State,2015,K,SPEC,4.0,0.0,-1.16,,4.0,,,,,,,,8.0,312.0,39.0,,0,0,0,0
brendon-towle-1,Brendon Towle,Ball State,2015,LS,SPEC,0.0,0.0,-1.16,,,,,,,,,,,,,,0,0,0,0
kyle-schmidt-1,Kyle Schmidt,Ball State,2015,P,SPEC,12.0,0.0,-1.16,,12.0,,,,,,,,58.0,2304.0,39.7,,0,0,0,0
morgan-hagee-1,Morgan Hagee,Ball State,2015,K,SPEC,12.0,0.0,-1.16,12.0,,31.0,32.0,96.9,16.0,21.0,76.2,79.0,,,,,0,0,0,0
nick-traub-1,Nick Traub,Ball State,2015,LS,SPEC,12.0,0.0,-1.16,,,,,,,,,,,,,,0,0,0,0
steve-drida-1,Steve Drida,Ball State,2015,K,SPEC,0.0,0.0,-1.16,,,,,,,,,,,,,,0,0,0,0
chris-callahan-3,Chris Callahan,Baylor,2015,K,SPEC,13.0,0.0,0.31,13.0,,83.0,83.0,100.0,8.0,13.0,61.5,107.0,,,,,0,0,0,0
drew-galitz-1,Drew Galitz,Baylor,2015,K,SPEC,13.0,0.0,0.31,,13.0,,,,,,,,40.0,1627.0,40.7,,0,0,0,0
spencer-evans-1,Spencer Evans,Baylor,2015,K,SPEC,13.0,0.0,0.31,13.0,,0.0,0.0,,0.0,1.0,0.0,0.0,,,,,0,0,0,0
tom-bennett-1,Tom Bennett,Baylor,2015,K,SPEC,0.0,0.0,0.31,,,,,,,,,,,,,,0,0,0,0
blake-gonzalez-1,Blake Gonzalez,Boise State,2015,K,SPEC,0.0,0.0,-4.66,,,,,,,,,,,,,,0,0,0,0
kevin-keane-1,Kevin Keane,Boise State,2015,LS,SPEC,11.0,0.0,-4.66,,,,,,,,,,,,,,0,0,0,0
matt-cota-2,Matt Cota,Boise State,2015,LS,SPEC,0.0,0.0,-4.66,,,,,,,,,,,,,,0,0,0,0
sean-wale-1,Sean Wale,Boise State,2015,P,SPEC,13.0,0.0,-4.66,,13.0,,,,,,,,52.0,2183.0,42.0,,0,0,0,0
tyler-rausa-1,Ty Rausa,Boise State,2015,K,SPEC,13.0,0.0,-4.66,13.0,,59.0,61.0,96.7,25.0,30.0,83.3,134.0,,,,,0,0,0,0
alex-howell-1,Alex Howell,Boston College,2015,P,SPEC,12.0,0.0,2.11,12.0,12.0,8.0,8.0,100.0,1.0,2.0,50.0,11.0,92.0,3838.0,41.7,,0,0,0,0
colton-lichtenberg-1,Colton Lichtenberg,Boston College,2015,K,SPEC,9.0,0.0,2.11,9.0,,6.0,6.0,100.0,3.0,6.0,50.0,15.0,,,,,0,0,0,0
jake-wilhelm-1,Jake Wilhelm,Boston College,2015,K,SPEC,1.0,0.0,2.11,1.0,,1.0,1.0,100.0,0.0,0.0,,1.0,,,,,0,0,0,0
leonard-skubal-1,Leonard Skubal,Boston College,2015,LS,SPEC,11.0,0.0,2.11,,,,,,,,,,,,,,0,0,0,0
michael-fischer-2,Michael Fischer,Boston College,2015,LS,SPEC,0.0,0.0,2.11,,,,,,,,,,,,,,0,0,0,0
mike-knoll-2,Mike Knoll,Boston College,2015,K,SPEC,4.0,0.0,2.11,4.0,,9.0,9.0,100.0,2.0,3.0,66.7,15.0,,,,,0,0,0,0
anthony-farinella-1,Anthony Farinella,Bowling Green,2015,K,SPEC,0.0,0.0,-0.34,,,,,,,,,,,,,,0,0,0,0
greg-hohenstein-1,Greg Hohenstein,Bowling Green,2015,LS,SPEC,0.0,0.0,-0.34,,,,,,,,,,,,,,0,0,0,0
jake-suder-1,Jake Suder,Bowling Green,2015,K,SPEC,0.0,0.0,-0.34,,,,,,,,,,,,,,0,0,0,0
