Player_ID,Player,pos_norm,latest_school,schools_played,seasons_count,games_total,sos_season_weighted,award_count,awards,heisman_finish,games_pff,award_aa,award_dave_rimington_trophy_most_outstanding_center,award_john_outland_trophy_most_outstanding_interior_lineman,award_vince_lombardi_award_lineman_of_the_year
terrell-haynes-1,Terrell Haynes,OL,UTSA,UTSA,6,56.0,-3.019821428571429,0.0,,0,48.0,0,0,0,0
travis-glover-1,Travis Glover,OL,Georgia State,Georgia State,6,56.0,-2.9310714285714283,0.0,,0,56.0,0,0,0,0
tyler-witt-1,Tyler Witt,OL,Purdue,Purdue|Western Kentucky,5,56.0,-3.952321428571429,0.0,,0,55.0,0,0,0,0
walker-parks-1,Walker Parks,OL,Clemson,Clemson,6,56.0,2.6350000000000002,0.0,,0,56.0,0,0,0,0
xavier-truss-1,Xavier Truss,OL,Georgia,Georgia,6,56.0,5.76,0.0,,0,54.0,0,0,0,0
andrew-vorhees-1,Andrew Vorhees,OL,USC,USC,6,55.0,2.0354545454545456,0.0,,0,52.0,0,0,0,0
conner-olson-1,Conner Olson,OL,Minnesota,Minnesota,5,55.0,2.835272727272727,0.0,,0,55.0,0,0,0,0
joshua-gray-1,Joshua Gray,OL,Oregon State,Oregon State,6,55.0,0.5887272727272727,0.0,,0,55.0,0,0,0,0
michael-maietti-1,Michael Maietti,OL,Missouri,Missouri|Rutgers,5,55.0,5.01,0.0,,0,55.0,0,0,0,0
mike-caliendo-1,Mike Caliendo,OL,Western Michigan,Western Michigan,5,55.0,-2.9472727272727273,0.0,,0,54.0,0,0,0,0
ryan-johnson-5,Ryan Johnson,OL,Georgia Tech,Georgia Tech|Tennessee,5,55.0,3.3243636363636364,0.0,,0,50.0,0,0,0,0
spencer-holstege-1,Spencer Holstege,OL,UCLA,Purdue|UCLA,6,55.0,3.93909090909091,0.0,,0,54.0,0,0,0,0
will-putnam-2,Will Putnam,OL,Clemson,Clemson,5,55.0,2.5952727272727274,0.0,,0,53.0,0,0,0,0
mitch-hyatt-1,Mitch Hyatt,OL,Clemson,Clemson,4,54.0,5.944259259259259,1.0,AA,0,47.0,1,0,0,0
alan-ali-1,Alan Ali,OL,Texas Christian,SMU|Texas Christian,6,54.0,0.17555555555555563,0.0,,0,54.0,0,0,0,0
armaj-adams-reed-1,Armaj Adams-Reed,OL,Texas A&M,Kansas|Texas A&M,6,54.0,5.183888888888888,0.0,,0,54.0,0,0,0,0
clay-servin-1,Clay Servin,OL,Rice,Rice,6,54.0,-3.4948148148148146,0.0,,0,54.0,0,0,0,0
cole-garcia-1,Cole Garcia,OL,Massachusetts,Massachusetts|Rice,6,54.0,-3.659074074074074,0.0,,0,53.0,0,0,0,0
darius-washington-1,Darius Washington,OL,Florida State,Florida State,6,54.0,2.8385185185185184,0.0,,0,54.0,0,0,0,0
demytrick-aliifua-1,Demytrick Ali'ifua,OL,Utah State,Utah State,6,54.0,-3.05037037037037,0.0,,0,53.0,0,0,0,0
earl-bostick-jr-1,Earl Bostick Jr.,OL,Kansas,Kansas,6,54.0,4.85962962962963,0.0,,0,51.0,0,0,0,0
gunner-britton-1,Gunner Britton,OL,Auburn,Auburn|Western Kentucky,5,54.0,-2.920185185185185,0.0,,0,53.0,0,0,0,0
jack-snyder-1,Jack Snyder,OL,San Jose State,San Jose State,5,54.0,-2.140740740740741,0.0,,0,52.0,0,0,0,0
jeremiah-byers-1,Jeremiah Byers,OL,Florida State,Florida State|UTEP,6,54.0,-2.7946296296296302,0.0,,0,54.0,0,0,0,0
john-champe-1,John Champe,OL,Northern Illinois,Northern Illinois,5,54.0,-2.964259259259259,0.0,,0,53.0,0,0,0,0
jordan-williams-13,Jordan Williams,OL,Georgia Tech,Georgia Tech,5,54.0,3.1944444444444446,0.0,,0,54.0,0,0,0,0
josh-braun-1,Josh Braun,OL,Kentucky,Arkansas|Florida|Kentucky,6,54.0,3.592222222222222,0.0,,0,54.0,0,0,0,0
malik-sumter-1,Malik Sumter,OL,Georgia State,Georgia State,6,54.0,-3.004814814814815,0.0,,0,53.0,0,0,0,0
mckade-mettauer-1,McKade Mettauer,OL,Oklahoma,California|Oklahoma,5,54.0,2.579074074074074,0.0,,0,51.0,0,0,0,0
miles-frazier-1,Miles Frazier,OL,LSU,Florida International|LSU,5,54.0,2.262407407407407,0.0,,0,52.0,0,0,0,0
reid-holskey-1,Reid Holskey,OL,Miami (OH),Miami (OH),5,54.0,-4.22,0.0,,0,51.0,0,0,0,0
samuel-jackson-1,Samuel Jackson,OL,UCF,UCF,6,54.0,-1.1985185185185185,0.0,,0,54.0,0,0,0,0
shea-baker-1,Shea Baker,OL,Rice,Rice,6,54.0,-3.8333333333333335,0.0,,0,54.0,0,0,0,0
sidy-sow-1,Sidy Sow,OL,Eastern Michigan,Eastern Michigan,6,54.0,-4.372222222222222,0.0,,0,53.0,0,0,0,0
alex-wollschlaeger-1,Alex Wollschlaeger,OL,Kentucky,Bowling Green|Kentucky,6,53.0,-1.5769811320754719,0.0,,0,53.0,0,0,0,0
andrew-meyer-2,Andrew Meyer,OL,UTEP,UTEP,6,53.0,-6.606603773584905,0.0,,0,44.0,0,0,0,0
bryson-speas-1,Bryson Speas,OL,North Carolina State,North Carolina State,6,53.0,0.42679245283018863,0.0,,0,52.0,0,0,0,0
caleb-kelly-2,Caleb Kelly,OL,Georgia Southern,Georgia Southern,6,53.0,-3.7456603773584902,0.0,,0,53.0,0,0,0,0
connor-galvin-1,Connor Galvin,OL,Baylor,Baylor,5,53.0,3.915471698113208,0.0,,0,52.0,0,0,0,0
dillon-wade-1,Dillon Wade,OL,Auburn,Auburn|Tulsa,6,53.0,1.971132075471698,0.0,,0,52.0,0,0,0,0
gavin-gerhardt-1,Gavin Gerhardt,OL,Cincinnati,Cincinnati,6,53.0,1.4384905660377358,0.0,,0,53.0,0,0,0,0
jacob-gall-1,Jacob Gall,OL,Baylor,Baylor|Buffalo,6,53.0,-0.246981132075472,0.0,,0,47.0,0,0,0,0
jakai-moore-1,Jakai Moore,OL,North Carolina,North Carolina|South Carolina,7,53.0,3.7992452830188674,0.0,,0,53.0,0,0,0,0
jaylon-thomas-1,Jaylon Thomas,OL,SMU,SMU,5,53.0,-1.088679245283019,0.0,,0,52.0,0,0,0,0
john-campbell-jr-1,John Campbell Jr.,OL,Tennessee,Miami (FL)|Tennessee,7,53.0,1.4352830188679244,0.0,,0,53.0,0,0,0,0
justin-osborne-1,Justin Osborne,OL,SMU,Auburn|SMU,6,53.0,-1.239245283018868,0.0,,0,53.0,0,0,0,0
