Player_ID,Player,pos_norm,latest_school,schools_played,seasons_count,games_total,sos_season_weighted,award_count,awards,heisman_finish,games_rushing,games_receiving,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,yds_from_scrimmage,scrim_td,award_aa,award_ap_player_of_the_year_award_most_outstanding_player,award_big_12_offensive_player_of_the_year,award_big_ten_offensive_player_of_the_year,award_cusa_most_valuable_player,award_cusa_offensive_player_of_the_year,award_camp,award_fred_biletnikoff_award_outstanding_receiver,award_heisman_memorial_trophy_most_outstanding_player,award_johnny_the_jet_rodgers_award_most_outstanding_return_specialist,award_mac_offensive_player_of_the_year,award_maxwell,award_maxwell_award_player_of_the_year,award_pac_12_offensive_player_of_the_year,award_sec_offensive_player_of_the_year,award_sun_belt_offensive_player_of_the_year,award_sun_belt_player_of_the_year,award_walter_camp_player_of_the_year_award_most_outstanding_player
nykeim-johnson-1,Nykeim Johnson,WR,Kent State,Kent State|Syracuse,5,60.0,0.6748333333333333,0.0,,0,60.0,60.0,25.0,188.0,2.0,142.0,1675.0,11.0,1863.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tay-martin-1,Tay Martin,WR,Oklahoma State,Oklahoma State|Washington State,5,60.0,2.558333333333333,0.0,,0,13.0,60.0,2.0,13.0,1.0,238.0,2810.0,28.0,1059.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tayvion-robinson-1,Tayvion Robinson,WR,Kentucky,Kentucky|Virginia Tech,5,60.0,1.5178333333333334,0.0,,0,60.0,60.0,39.0,277.0,0.0,194.0,2604.0,16.0,2881.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anthony-smith-14,Anthony Smith,WR,East Carolina,East Carolina|North Carolina State,6,59.0,-0.9277966101694917,0.0,,0,13.0,59.0,1.0,45.0,1.0,118.0,2095.0,16.0,1098.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ashtyn-hawkins-1,Ashtyn Hawkins,WR,Baylor,Baylor|Texas State,5,59.0,-1.5411864406779663,0.0,,0,46.0,58.0,7.0,12.0,0.0,239.0,2933.0,16.0,2324.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brandon-johnson-11,Brandon Johnson,WR,UCF,Tennessee|UCF,6,59.0,3.6849152542372883,0.0,,0,0.0,59.0,0.0,0.0,0.0,117.0,1534.0,12.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
danzel-mckinley-lewis-1,Danzel Mckinley-Lewis,WR,Toledo,Toledo,7,59.0,-3.019491525423729,0.0,,0,14.0,58.0,1.0,11.0,0.0,103.0,1527.0,8.0,330.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dontae-fleming-1,Dontae Fleming,WR,Tulane,Louisiana|Tulane,5,59.0,-1.4440677966101696,0.0,,0,23.0,59.0,4.0,16.0,0.0,95.0,1372.0,7.0,804.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keshawn-williams-2,Ke'Shawn Williams,WR,Indiana,Indiana|Wake Forest,5,59.0,1.856101694915254,0.0,,0,24.0,59.0,5.0,56.0,1.0,146.0,1833.0,10.0,888.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mac-dalena-1,Mac Dalena,WR,Fresno State,Fresno State,5,59.0,-4.430677966101694,0.0,,0,40.0,46.0,7.0,73.0,0.0,126.0,1761.0,13.0,1746.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
melquan-stovall-1,Melquan Stovall,WR,Arizona State,Arizona State|Colorado State|Nevada,6,59.0,-0.5284745762711863,0.0,,0,47.0,59.0,9.0,33.0,1.0,163.0,1664.0,1.0,1420.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
