feature,importance,position
cat__state_PA,0.018388037,SPEC
cat__state_IN,0.01116107,SPEC
cat__state_HI,0.0,SPEC
cat__state_CO,0.0,SPEC
cat__state_CT,0.0,SPEC
cat__state_KS,0.0,SPEC
cat__state_DC,0.0,SPEC
cat__state_AR,0.0,SPEC
num__rating,0.048247233,TE
cat__state_AL,0.043794855,TE
cat__state_PA,0.043409403,TE
cat__state_OH,0.043284316,TE
cat__state_MN,0.042266153,TE
cat__state_GA,0.03878671,TE
cat__state_FL,0.038580243,TE
num__weight_lbs,0.038111158,TE
cat__state_MI,0.037830755,TE
cat__state_IA,0.03639311,TE
cat__state_LA,0.03629145,TE
num__height_inches,0.03552387,TE
cat__state_TX,0.034042154,TE
cat__state_NE,0.03392138,TE
cat__state_IL,0.03289747,TE
cat__state_AZ,0.03279366,TE
cat__state_IN,0.030770324,TE
cat__state_MA,0.029748728,TE
cat__state_MS,0.02970123,TE
cat__state_SC,0.029517867,TE
cat__state_TN,0.026792306,TE
cat__state_NY,0.026533434,TE
cat__state_WI,0.026107766,TE
cat__state_CA,0.025729598,TE
cat__state_OK,0.025211884,TE
cat__state_CO,0.024885802,TE
cat__state_MO,0.023700554,TE
cat__state_NJ,0.02114291,TE
cat__state_NC,0.01981924,TE
cat__state_VA,0.017924547,TE
num__rating,0.047246344,WR
cat__state_IN,0.042679172,WR
cat__state_GA,0.03650404,WR
cat__state_CA,0.03567476,WR
cat__state_MI,0.03514438,WR
cat__state_TX,0.034635503,WR
cat__state_OH,0.034475554,WR
cat__state_NJ,0.031675108,WR
cat__state_NC,0.030927008,WR
cat__state_TN,0.030856663,WR
cat__state_PA,0.03023005,WR
cat__state_IL,0.029962664,WR
cat__state_MO,0.02987687,WR
num__weight_lbs,0.029649371,WR
cat__state_FL,0.02953241,WR
num__height_inches,0.02915685,WR
cat__state_AL,0.02893741,WR
cat__state_MS,0.027637048,WR
cat__state_LA,0.027191289,WR
cat__flag_all_american_bowl_0.0,0.02526203,WR
cat__state_OK,0.025074014,WR
cat__state_SC,0.024416586,WR
cat__state_KY,0.024036616,WR
cat__state_CT,0.022518342,WR
cat__state_VA,0.022266805,WR
cat__state_HI,0.022061873,WR
cat__state_WA,0.021913003,WR
cat__state_MD,0.02172916,WR
cat__state_NY,0.02126878,WR
cat__state_UT,0.019020261,WR
