Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,punt,punt_yds,punt_yds_per_punt,awards,Year
Davan Dyer,davan-dyer-1,/cfb/players/davan-dyer-1.html,Louisiana Tech,CUSA,13,61,2509,41.1,,2018
Joe Doyle,joe-doyle-1,/cfb/players/joe-doyle-1.html,Tennessee,SEC,12,65,2673,41.1,,2018
Billy Kinney,billy-kinney-1,/cfb/players/billy-kinney-1.html,West Virginia,Big 12,12,41,1680,41.0,,2018
Kyle Corbett,kyle-corbett-1,/cfb/players/kyle-corbett-1.html,Charlotte,CUSA,12,55,2253,41.0,,2018
Robert LeFevre,robert-lefevre-1,/cfb/players/robert-lefevre-1.html,Marshall,CUSA,13,62,2544,41.0,,2018
Austin Seibert,austin-seibert-1,/cfb/players/austin-seibert-1.html,Oklahoma,Big 12,14,31,1267,40.9,,2018
Bailey Flint,bailey-flint-1,/cfb/players/bailey-flint-1.html,Toledo,MAC,13,61,2497,40.9,,2018
Wade Lees,wade-lees-1,/cfb/players/wade-lees-1.html,Maryland,Big Ten,12,67,2742,40.9,,2018
Stan Gaudion,stan-gaudion-1,/cfb/players/stan-gaudion-1.html,Hawaii,MWC,14,49,1998,40.8,,2018
Peyton Theisler,peyton-theisler-1,/cfb/players/peyton-theisler-1.html,New Mexico State,Ind,12,74,3014,40.7,,2018
Cody Grace,cody-grace-1,/cfb/players/cody-grace-1.html,Arkansas State,Sun Belt,13,64,2599,40.6,,2018
Mason King,mason-king-1,/cfb/players/mason-king-1.html,Louisville,ACC,12,69,2798,40.6,,2018
William Przystup,william-przystup-1,/cfb/players/william-przystup-1.html,Michigan State,Big Ten,4,27,1096,40.6,,2018
Jake Collins,jake-collins-3,/cfb/players/jake-collins-3.html,Northwestern,Big Ten,14,79,3199,40.5,,2018
Jonn Young,jonn-young-1,/cfb/players/jonn-young-1.html,East Carolina,American,12,71,2875,40.5,,2018
Jack Sheldon,jack-sheldon-1,/cfb/players/jack-sheldon-1.html,Central Michigan,MAC,12,89,3598,40.4,,2018
Matt Ference,matt-ference-1,/cfb/players/matt-ference-1.html,Northern Illinois,MAC,14,86,3473,40.4,,2018
Rhett Almond,rhett-almond-1,/cfb/players/rhett-almond-1.html,BYU,Ind,13,55,2217,40.3,,2018
Riley Neal,riley-neal-1,/cfb/players/riley-neal-1.html,Ball State,MAC,9,3,121,40.3,,2018
Ryan Bujcevski,ryan-bujcevski-1,/cfb/players/ryan-bujcevski-1.html,Texas,Big 12,14,63,2537,40.3,,2018
Corey Dunn,corey-dunn-1,/cfb/players/corey-dunn-1.html,Iowa State,Big 12,12,53,2129,40.2,,2018
Derek Adams,derek-adams-1,/cfb/players/derek-adams-1.html,Kent State,MAC,4,31,1245,40.2,,2018
Grant Carlson,grant-carlson-1,/cfb/players/grant-carlson-1.html,Boston College,ACC,12,69,2774,40.2,,2018
Taylor Hintze,taylor-hintze-1,/cfb/players/taylor-hintze-1.html,Utah State,MWC,13,46,1851,40.2,,2018
Kyle Greenwell,kyle-greenwell-1,/cfb/players/kyle-greenwell-1.html,UAB,CUSA,14,58,2323,40.1,,2018
Rhys Byrns,rhys-byrns-1,/cfb/players/rhys-byrns-1.html,Louisiana,Sun Belt,14,53,2124,40.1,,2018
Tyler Hunt,tyler-hunt-6,/cfb/players/tyler-hunt-6.html,Michigan State,Big Ten,5,36,1444,40.1,,2018
Haydon Whitehead,haydon-whitehead-1,/cfb/players/haydon-whitehead-1.html,Indiana,Big Ten,12,51,2040,40.0,,2018
Matthew Stephenson,matthew-stephenson-1,/cfb/players/matthew-stephenson-1.html,Middle Tennessee State,CUSA,13,5,200,40.0,,2018
Shai Werts,shai-werts-1,/cfb/players/shai-werts-1.html,Georgia Southern,Sun Belt,13,1,40,40.0,,2018
Hunter Lent,hunter-lent-1,/cfb/players/hunter-lent-1.html,North Carolina,ACC,11,50,1993,39.9,,2018
Mitchell Crawford,mitchell-crawford-1,/cfb/players/mitchell-crawford-1.html,UTEP,CUSA,12,73,2909,39.8,,2018
Bailey Cate,bailey-cate-1,/cfb/players/bailey-cate-1.html,Old Dominion,CUSA,12,55,2186,39.7,,2018
