recruit_name,recruit_year,committed_to,recruit_id,sports_ref_id,roster_name,roster_school,roster_year,pos,name_score,team_match,year_diff,match_strategy
Jacob Daniel,2015,USC,201500069,jacob-daniel-1,Jacob Daniel,USC,2015,DT,100,1,0,PRIMARY_LAYER
Trent Irwin,2015,Stanford,201500070,trenton-irwin-1,Trenton Irwin,Stanford,2015,WR,91,1,0,PRIMARY_LAYER
Neville Gallimore,2015,Oklahoma,201500071,neville-gallimore-1,Neville Gallimore,Oklahoma,2015,DT,100,1,0,PRIMARY_LAYER
Brian Cole,2015,Michigan,201500072,brian-cole-1,Brian Cole,Michigan,2015,WR,100,1,0,PRIMARY_LAYER
Jake Browning,2015,Washington,201500073,jake-browning-1,Jake Browning,Washington,2015,QB,100,1,0,PRIMARY_LAYER
Ykili Ross,2015,USC,201500074,ykili-ross-1,Ykili Ross,USC,2015,S,100,1,0,PRIMARY_LAYER
Mike Weber,2015,Ohio State,201500075,mike-weber-1,Mike Weber,Ohio State,2015,RB,100,1,0,PRIMARY_LAYER
Holton Hill,2015,Texas,201500076,holton-hill-1,Holton Hill,Texas,2015,DB,100,1,0,PRIMARY_LAYER
Anthony Wheeler,2015,Texas,201500077,anthony-wheeler-1,Anthony Wheeler,Texas,2015,LB,100,1,0,PRIMARY_LAYER
Johnny Frasier,2015,NC State,201500078,johnny-frasier-1,Johnny Frasier,North Carolina State,2015,RB,100,1,0,PRIMARY_LAYER
Chris Warren III,2015,Texas,201500080,chris-warren-iii-1,Chris Warren III,Texas,2015,RB,100,1,0,PRIMARY_LAYER
Ray-Ray McCloud,2015,Clemson,201500081,ray-ray-mccloud-1,Ray-Ray McCloud,Clemson,2015,WR,100,1,0,PRIMARY_LAYER
Torrance Gibson,2015,Ohio State,201500082,torrence-gibson-1,Torrence Gibson,Ohio State,2015,QB,93,1,0,PRIMARY_LAYER
Mark Walton,2015,Miami,201500083,mark-walton-1,Mark Walton,Miami (FL),2015,RB,100,1,0,PRIMARY_LAYER
JoJo Wicker,2015,Arizona State,201500084,jojo-wicker-1,JoJo Wicker,Arizona State,2015,DL,100,1,0,PRIMARY_LAYER
Ricky DeBerry,2015,Oklahoma,201500086,ricky-deberry-1,Ricky DeBerry,Oklahoma,2015,LB,100,1,0,PRIMARY_LAYER
Arden Key,2015,LSU,201500087,arden-key-1,Arden Key,LSU,2015,DE,100,1,0,PRIMARY_LAYER
Natrez Patrick,2015,Georgia,201500088,natrez-patrick-1,Natrez Patrick,Georgia,2015,LB,100,1,0,PRIMARY_LAYER
Tristen Hoge,2015,Notre Dame,201500089,tristen-hoge-1,Tristen Hoge,Notre Dame,2015,OL,100,1,0,PRIMARY_LAYER
Albert Huggins,2015,Clemson,201500090,albert-huggins-1,Albert Huggins,Clemson,2015,DT,100,1,0,PRIMARY_LAYER
Kris Boyd,2015,Texas,201500091,kris-boyd-1,Kris Boyd,Texas,2015,CB,100,1,0,PRIMARY_LAYER
Daylon Charlot,2015,Alabama,201500092,daylon-charlot-1,Daylon Charlot,Alabama,2015,WR,100,1,0,PRIMARY_LAYER
Mark Fields,2015,Clemson,201500093,mark-fields-4,Mark Fields,Clemson,2015,CB,100,1,0,PRIMARY_LAYER
Dexter Williams,2015,Notre Dame,201500094,dexter-williams-1,Dexter Williams,Notre Dame,2015,RB,100,1,0,PRIMARY_LAYER
Jashon Cornell,2015,Ohio State,201500095,jashon-cornell-1,Jashon Cornell,Ohio State,2015,DL,100,1,0,PRIMARY_LAYER
Abdul Bello,2015,Florida State,201500096,abdul-bello-1,Abdul Bello,Florida State,2015,OL,100,1,0,PRIMARY_LAYER
Isaiah Langley,2015,USC,201500097,isaiah-langley-1,Isaiah Langley,USC,2015,CB,100,1,0,PRIMARY_LAYER
Drew Lock,2015,Missouri,201500098,drew-lock-1,Drew Lock,Missouri,2015,QB,100,1,0,PRIMARY_LAYER
Eric Glover-Williams,2015,Ohio State,201500099,eric-glover-williams-1,Eric Glover-Williams,Ohio State,2015,CB,100,1,0,PRIMARY_LAYER
Da'Vante Phillips,2015,Florida State,201500100,davante-phillips-1,Da'Vante Phillips,Florida State,2015,WR,100,1,0,PRIMARY_LAYER
Isaiah Prince,2015,Ohio State,201500101,isiah-prince-1,Isaiah Prince,Ohio State,2015,OL,100,1,0,PRIMARY_LAYER
Travis Jonsen,2015,Oregon,201500102,travis-jonsen-1,Travis Jonsen,Oregon,2015,QB,100,1,0,PRIMARY_LAYER
Toby Weathersby,2015,LSU,201500103,toby-weathersby-1,Toby Weathersby,LSU,2015,T,100,1,0,PRIMARY_LAYER
Chidi Okeke,2015,LSU,201500104,chidi-okeke-1,Chidi Okeke,LSU,2015,OL,100,1,0,PRIMARY_LAYER
Jordan Whitehead,2015,Pittsburgh,201500105,jordan-whitehead-1,Jordan Whitehead,Pitt,2015,DB,100,1,0,PRIMARY_LAYER
Van Jefferson,2015,Ole Miss,201500106,van-jefferson-1,Van Jefferson,Ole Miss,2015,WR,100,1,0,PRIMARY_LAYER
Josh Wariboko-Alali,2015,UCLA,201500107,josh-wariboko-alali-1,Josh Wariboko-Alali,UCLA,2015,OL,100,1,0,PRIMARY_LAYER
Tim Settle,2015,Virginia Tech,201500108,tim-settle-1,Tim Settle,Virginia Tech,2015,DT,100,1,0,PRIMARY_LAYER
Darian Roseboro,2015,NC State,201500109,darian-roseboro-1,Darian Roseboro,North Carolina State,2015,DE,100,1,0,PRIMARY_LAYER
Matthew Burrell,2015,Ohio State,201500110,matthew-burrell-1,Matthew Burrell,Ohio State,2015,OL,100,1,0,PRIMARY_LAYER
Nyheim Hines,2015,NC State,201500111,nyheim-hines-1,Nyheim Hines,North Carolina State,2015,WR,100,1,0,PRIMARY_LAYER
Shaun Crawford,2015,Notre Dame,201500112,shaun-crawford-1,Shaun Crawford,Notre Dame,2015,DB,100,1,0,PRIMARY_LAYER
Prince Tega Wanogho Jr.,2015,Auburn,201500113,prince-tega-wanogho-1,Prince Tega Wanogho,Auburn,2015,DE,94,1,0,PRIMARY_LAYER
D'Andre Walker,2015,Georgia,201500114,dandre-walker-1,D'Andre Walker,Georgia,2015,LB,100,1,0,PRIMARY_LAYER
Clelin Ferrell,2015,Clemson,201500115,clelin-ferrell-1,Clelin Ferrell,Clemson,2015,DE,100,1,0,PRIMARY_LAYER
Mekhi Brown,2015,Alabama,201500116,mekhi-brown-1,Mekhi Brown,Alabama,2015,LB,100,1,0,PRIMARY_LAYER
Jordan Scarlett,2015,Florida,201500117,jordan-scarlett-1,Jordan Scarlett,Florida,2015,RB,100,1,0,PRIMARY_LAYER
Frank Buncom IV,2015,Stanford,201500118,frank-buncom-2,Frank Buncom,Stanford,2015,CB,90,1,0,PRIMARY_LAYER
Saquon Barkley,2015,Penn State,201500119,saquon-barkley-1,Saquon Barkley,Penn State,2015,RB,100,1,0,PRIMARY_LAYER
Alex Ofodile,2015,Oregon,201500120,alex-ofodile-1,Alex Ofodile,Oregon,2015,WR,100,1,0,PRIMARY_LAYER
Eric Swinney,2015,Ole Miss,201500121,eric-swinney-1,Eric Swinney,Ole Miss,2015,RB,100,1,0,PRIMARY_LAYER
Jeff Holland,2015,Auburn,201500122,jeff-holland-1,Jeff Holland,Auburn,2015,LB,100,1,0,PRIMARY_LAYER
Jake Fruhmorgen,2015,Clemson,201500123,jake-fruhmorgen-1,Jake Fruhmorgen,Clemson,2015,T,100,1,0,PRIMARY_LAYER
John Reid,2015,Penn State,201500124,john-reid-1,John Reid,Penn State,2015,CB,100,1,0,PRIMARY_LAYER
Garrett Taylor,2015,Penn State,201500125,garrett-taylor-1,Garrett Taylor,Penn State,2015,CB,100,1,0,PRIMARY_LAYER
Adam McLean,2015,Maryland,201500127,adam-mclean-1,Adam McLean,Maryland,2015,DL,100,1,0,PRIMARY_LAYER
Juwan Johnson,2015,Penn State,201500128,juwan-johnson-1,Juwan Johnson,Penn State,2015,WR,100,1,0,PRIMARY_LAYER
Patrick Vahe,2015,Texas,201500129,patrick-vahe-1,Patrick Vahe,Texas,2015,OL,100,1,0,PRIMARY_LAYER
Justin Dunning,2015,Texas A&M,201500130,justin-dunning-1,Justin Dunning,Texas A&M,2015,DB,100,1,0,PRIMARY_LAYER
Jack Jones,2015,Tennessee,201500131,jack-jones-3,Jack Jones,Tennessee,2015,OL,100,1,0,PRIMARY_LAYER
Malik Lovette,2015,Oregon,201500132,malik-lovette-1,Malik Lovette,Oregon,2015,WR,100,1,0,PRIMARY_LAYER
Josh Barajas,2015,Notre Dame,201500133,josh-barajas-1,Josh Barajas,Notre Dame,2015,LB,100,1,0,PRIMARY_LAYER
Dre'Mont Jones,2015,Ohio State,201500134,dremont-jones-1,Dre'Mont Jones,Ohio State,2015,DL,100,1,0,PRIMARY_LAYER
Rashad Roundtree,2015,Georgia,201500135,rashad-roundtree-1,Rashad Roundtree,Georgia,2015,DB,100,1,0,PRIMARY_LAYER
James Lockhart,2015,Texas A&M,201500136,james-lockhart-1,James Lockhart,Texas A&M,2015,DL,100,1,0,PRIMARY_LAYER
P.J. Mbanasor,2015,Oklahoma,201500137,pj-mbanasor-1,P.J. Mbanasor,Oklahoma,2015,CB,100,1,0,PRIMARY_LAYER
John Burt,2015,Texas,201500138,john-burt-1,John Burt,Texas,2015,WR,100,1,0,PRIMARY_LAYER
Marcus Lewis,2015,Florida State,201500139,marcus-lewis-2,Marcus Lewis,Florida State,2015,DB,100,1,0,PRIMARY_LAYER
Darius Slayton,2015,Auburn,201500140,darius-slayton-1,Darius Slayton,Auburn,2015,WR,100,1,0,PRIMARY_LAYER
Josh Smith,2015,Vanderbilt,201500141,josh-smith-17,Josh Smith,Vanderbilt,2015,LB,100,1,0,PRIMARY_LAYER
Rico McGraw,2015,Georgia,201500143,rico-mcgraw-1,Rico McGraw,Georgia,2015,DB,100,1,0,PRIMARY_LAYER
Hjalte Froholdt,2015,Arkansas,201500144,hjalte-froholdt-1,Hjalte Froholdt,Arkansas,2015,DL,100,1,0,PRIMARY_LAYER
Hale Hentges,2015,Alabama,201500145,hale-hentges-1,Hale Hentges,Alabama,2015,TE,100,1,0,PRIMARY_LAYER
Shameik Blackshear,2015,South Carolina,201500147,shameik-blackshear-1,Shameik Blackshear,South Carolina,2015,DE,100,1,0,PRIMARY_LAYER
Sam Darnold,2015,USC,201500148,sam-darnold-1,Sam Darnold,USC,2015,QB,100,1,0,PRIMARY_LAYER
Jahvoni Simmons,2015,Virginia,201500149,jahvoni-simmons-1,Jahvoni Simmons,Virginia,2015,LB,100,1,0,PRIMARY_LAYER
Chauncey Rivers,2015,Georgia,201500150,chauncey-rivers-1,Chauncey Rivers,Georgia,2015,DE,100,1,0,PRIMARY_LAYER
Rodney Anderson,2015,Oklahoma,201500151,rodney-anderson-1,Rodney Anderson,Oklahoma,2015,RB,100,1,0,PRIMARY_LAYER
K.J. Hill,2015,Ohio State,201500153,kj-hill-1,K.J. Hill,Ohio State,2015,WR,100,1,0,PRIMARY_LAYER
Fred Ulu-Perry,2015,UCLA,201500154,fred-ulu-perry-1,Fred Ulu-Perry,UCLA,2015,OL,100,1,0,PRIMARY_LAYER
Will Sunderland,2015,Oklahoma,201500155,will-sunderland-1,Will Sunderland,Oklahoma,2015,S,100,1,0,PRIMARY_LAYER
Jerry Tillery,2015,Notre Dame,201500156,jerry-tillery-2,Jerry Tillery,Notre Dame,2015,DL,100,1,0,PRIMARY_LAYER
Tyrek Cole,2015,West Virginia,201500157,tyrek-cole-1,Tyrek Cole,West Virginia,2015,CB,100,1,0,PRIMARY_LAYER
Larry Pryor,2015,Texas A&M,201500158,larry-pryor-1,Larry Pryor,Texas A&M,2015,DB,100,1,0,PRIMARY_LAYER
Jovon Durante,2015,West Virginia,201500159,jovon-durante-1,Jovon Durante,West Virginia,2015,WR,100,1,0,PRIMARY_LAYER
Darrin Kirkland Jr.,2015,Tennessee,201500160,darrin-kirkland-jr-1,Darrin Kirkland Jr.,Tennessee,2015,LB,100,1,0,PRIMARY_LAYER
Ryan Bates,2015,Penn State,201500161,ryan-bates-1,Ryan Bates,Penn State,2015,G,100,1,0,PRIMARY_LAYER
Ben Humphreys,2015,Duke,201500162,ben-humphreys-1,Ben Humphreys,Duke,2015,LB,100,1,0,PRIMARY_LAYER
Equanimeous St. Brown,2015,Notre Dame,201500163,equanimeous-st-brown-1,Equanimeous St. Brown,Notre Dame,2015,WR,100,1,0,PRIMARY_LAYER
Carlos Strickland,2015,California,201500164,carlos-strickland-1,Carlos Strickland,California,2015,WR,100,1,0,PRIMARY_LAYER
Jauan Jennings,2015,Tennessee,201500165,jauan-jennings-1,Jauan Jennings,Tennessee,2015,WR,100,1,0,PRIMARY_LAYER
Shawn Burgess-Becker,2015,Alabama,201500166,shawn-burgess-becker-1,Shawn Burgess-Becker,Alabama,2015,DB,100,1,0,PRIMARY_LAYER
Derrick Dillon,2015,LSU,201500167,derrick-dillon-1,Derrick Dillon,LSU,2015,WR,100,1,0,PRIMARY_LAYER
Jordan Colbert,2015,Auburn,201500168,jordan-colbert-1,Jordan Colbert,Auburn,2015,DB,100,1,0,PRIMARY_LAYER
Fletcher Adams,2015,Mississippi State,201500169,fletcher-adams-1,Fletcher Adams,Mississippi State,2015,DL,100,1,0,PRIMARY_LAYER
Anfernee Jennings,2015,Alabama,201500170,anfernee-jennings-1,Anfernee Jennings,Alabama,2015,OL,100,1,0,PRIMARY_LAYER
Kirk Merritt,2015,Oregon,201500171,kirk-merritt-1,Kirk Merritt,Oregon,2015,WR,100,1,0,PRIMARY_LAYER
Bobby Evans,2015,Oklahoma,201500172,bobby-evans-1,Bobby Evans,Oklahoma,2015,OL,100,1,0,PRIMARY_LAYER
Adonis Thomas,2015,Alabama,201500174,adonis-thomas-2,Adonis Thomas,Alabama,2015,LB,100,1,0,PRIMARY_LAYER
Zach Gentry,2015,Michigan,201500176,zach-gentry-2,Zach Gentry,Michigan,2015,QB,100,1,0,PRIMARY_LAYER
Xavier Lewis,2015,LSU,201500177,xavier-lewis-2,Xavier Lewis,LSU,2015,CB,100,1,0,PRIMARY_LAYER
Tommy Hatton,2015,North Carolina,201500178,tommy-hatton-1,Tommy Hatton,North Carolina,2015,OL,100,1,0,PRIMARY_LAYER
Keaton Sutherland,2015,Texas A&M,201500180,keaton-sutherland-1,Keaton Sutherland,Texas A&M,2015,OL,100,1,0,PRIMARY_LAYER
Kyonta Stallworth,2015,Michigan State,201500181,kyonta-stallworth-1,Kyonta Stallworth,Michigan State,2015,T,100,1,0,PRIMARY_LAYER
Asmar Bilal,2015,Notre Dame,201500182,asmar-bilal-1,Asmar Bilal,Notre Dame,2015,LB,100,1,0,PRIMARY_LAYER
Blake Lynch,2015,Baylor,201500183,blake-lynch-1,Blake Lynch,Baylor,2015,WR,100,1,0,PRIMARY_LAYER
Nick Brossette,2015,LSU,201500184,nick-brossette-1,Nick Brossette,LSU,2015,RB,100,1,0,PRIMARY_LAYER
Connor Lanfear,2015,Texas A&M,201500185,connor-lanfear-1,Connor Lanfear,Texas A&M,2015,OL,100,1,0,PRIMARY_LAYER
Jackson Harris,2015,Georgia,201500186,jackson-harris-2,Jackson Harris,Georgia,2015,TE,100,1,0,PRIMARY_LAYER
Jalin Barnett,2015,Nebraska,201500188,jalin-barnett-1,Jalin Barnett,Nebraska,2015,OL,100,1,0,PRIMARY_LAYER
Jason Lewis,2015,Arizona State,201500189,jason-lewis-3,Jason Lewis,Arizona State,2015,RB,100,1,0,PRIMARY_LAYER
Gabe Megginson,2015,Illinois,201500190,gabe-megginson-1,Gabe Megginson,Illinois,2015,OL,100,1,0,PRIMARY_LAYER
DeShon Elliott,2015,Texas,201500191,deshon-elliott-1,DeShon Elliott,Texas,2015,S,100,1,0,PRIMARY_LAYER
Garrett Williams,2015,Clemson,201500192,garrett-williams-1,Garrett Williams,Clemson,2015,TE,100,1,0,PRIMARY_LAYER
Tyree Kinnel,2015,Michigan,201500193,tyree-kinnel-1,Tyree Kinnel,Michigan,2015,DB,100,1,0,PRIMARY_LAYER
Miles Boykin,2015,Notre Dame,201500194,miles-boykin-1,Miles Boykin,Notre Dame,2015,WR,100,1,0,PRIMARY_LAYER
Ronnie Harrison,2015,Alabama,201500195,ronnie-harrison-1,Ronnie Harrison,Alabama,2015,DB,100,1,0,PRIMARY_LAYER
Roney Elam,2015,Texas A&M,201500198,roney-elam-1,Roney Elam,Texas A&M,2015,DB,100,1,0,PRIMARY_LAYER
Marquise Overton,2015,Oklahoma,201500199,marquise-overton-1,Marquise Overton,Oklahoma,2015,DT,100,1,0,PRIMARY_LAYER
Will Gragg,2015,Arkansas,201500200,will-gragg-1,Will Gragg,Arkansas,2015,TE,100,1,0,PRIMARY_LAYER
Darvin Taylor II,2015,Florida State,201500201,darvin-taylor-ii-1,Darvin Taylor II,Florida State,2015,DT,100,1,0,PRIMARY_LAYER
Richard McBryde,2015,Auburn,201500202,richard-mcbryde-1,Richard McBryde,Auburn,2015,LB,100,1,0,PRIMARY_LAYER
Jordan Stevenson,2015,Nebraska,201500203,jordan-stevenson-1,Jordan Stevenson,Nebraska,2015,RB,100,1,0,PRIMARY_LAYER
Austin Bryant,2015,Clemson,201500204,austin-bryant-1,Austin Bryant,Clemson,2015,DE,100,1,0,PRIMARY_LAYER
David Ducre,2015,LSU,201500205,david-ducre-1,David Ducre,LSU,2015,FB,100,1,0,PRIMARY_LAYER
Raequan Williams,2015,Michigan State,201500207,raequan-williams-1,Raequan Williams,Michigan State,2015,DL,100,1,0,PRIMARY_LAYER
Corey Dauphine,2015,Texas Tech,201500208,corey-dauphine-1,Corey Dauphine,Texas Tech,2015,RB,100,1,0,PRIMARY_LAYER
Pat Allen,2015,Georgia,201500209,pat-allen-1,Pat Allen,Georgia,2015,OL,100,1,0,PRIMARY_LAYER
Jaquan Johnson,2015,Miami,201500210,jaquan-johnson-1,Jaquan Johnson,Miami (FL),2015,DB,100,1,0,PRIMARY_LAYER
Sterling Jenkins,2015,Penn State,201500211,sterling-jenkins-1,Sterling Jenkins,Penn State,2015,T,100,1,0,PRIMARY_LAYER
Tyler Petite,2015,USC,201500212,tyler-petite-1,Tyler Petite,USC,2015,TE,100,1,0,PRIMARY_LAYER
Nick Conner,2015,Ohio State,201500213,nick-conner-1,Nick Conner,Ohio State,2015,LB,100,1,0,PRIMARY_LAYER
Bar Milo,2015,Miami,201500214,bar-milo-1,Bar Milo,Miami (FL),2015,OL,100,1,0,PRIMARY_LAYER
Emanuel McGirt,2015,NC State,201500215,emanuel-mcgirt-jr-1,Emanuel McGirt Jr.,North Carolina State,2015,T,90,1,0,PRIMARY_LAYER
