recruit_name,recruit_year,committed_to,recruit_id,sports_ref_id,roster_name,roster_school,roster_year,pos,recruit_pos,name_score,team_match,year_diff,match_strategy
Cam Haller,2017,Uncommitted,201701313,cam-haller-1,Cam Haller,Baylor,2020,RB,rb,100,0,3,Final_StandardName
John Mitchell,2017,Uncommitted,201701329,john-mitchell-3,John Mitchell,Akron,2019,DL,dt,100,0,2,Final_StandardName
Nate Shelton,2017,Uncommitted,201701340,nate-shelton-1,Nate Shelton,Texas Tech,2017,WR,wr,100,0,0,Final_StandardName
De'Shawn Gulledge,2017,Uncommitted,201701426,deshawn-gulledge-1,De'Shawn Gulledge,Arkansas,2017,WR,wr,100,0,0,Final_StandardName
Dhailon Phillips,2017,Uncommitted,201701593,dhailon-phillips-1,Dhailon Phillips,Tulsa,2019,WR,wr,100,0,2,Final_StandardName
Bill Rubright,2017,Uncommitted,201701915,bill-rubright-1,Bill Rubright,Georgia,2017,P,p,100,0,0,Final_StandardName
Caylin Newton,2017,Howard,201701962,caylin-newton-1,Caylin Newton,Auburn,2020,WR,ath,100,0,3,Final_StandardName
Jeremiah West,2017,Uncommitted,201702041,jeremiah-west-1,Jeremiah West,Louisiana,2017,DB,cb,100,0,0,Final_StandardName
Kentrell Barber,2017,Uncommitted,201702115,kentrell-barber-1,Kentrell Barber,Missouri,2017,WR,ath,100,0,0,Final_StandardName
Kaylon Geiger,2017,Uncommitted,201702124,kaylon-geiger-1,Kaylon Geiger,Troy,2019,WR,wr,100,0,2,Final_StandardName
Jordan Crawford,2017,Uncommitted,201702232,jordan-crawford-1,Jordan Crawford,Eastern Michigan,2020,DL,dt,100,0,3,Final_StandardName
Joeseph Sewell,2017,Uncommitted,201702294,joeseph-sewell-1,Joeseph Sewell,Middle Tennessee State,2018,TE,te,100,0,1,Final_StandardName
Dezmon Jackson,2017,Uncommitted,201702378,dezmon-jackson-1,Dezmon Jackson,Oklahoma State,2019,RB,rb,100,0,2,Final_StandardName
Dalton Counts,2017,Uncommitted,201702395,dalton-counts-1,Dalton Counts,North Carolina State,2017,S,s,100,0,0,Final_StandardName
Ton Evans,2017,Uncommitted,201702459,ton-evans-1,Ton Evans,Army,2018,RB,rb,100,0,1,Final_StandardName
Hurshie Williams,2017,Uncommitted,201702474,hurshie-williams-1,Hurshie Williams,North Texas,2017,CB,cb,100,0,0,Final_StandardName
Dontario Drummond,2017,Uncommitted,201702477,dontario-drummond-1,Dontario Drummond,Ole Miss,2019,WR,wr,100,0,2,Final_StandardName
Jonny Neville,2017,Uncommitted,201702482,jonny-neville-1,Jonny Neville,Washington State,2017,WR,wr,100,0,0,Final_StandardName
Kendall Catalon,2017,Southern,201702532,kendall-catalon-1,Kendall Catalon,Arkansas,2019,WR,ath,100,0,2,Final_StandardName
Jordan Roberts,2017,Uncommitted,201702540,jordan-roberts-2,Jordan Roberts,North Texas,2017,DB,cb,100,0,0,Final_StandardName
Andre Landry,2017,Uncommitted,201702690,andre-landry-1,Andre Landry,Louisiana,2017,TE,te,100,0,0,Final_StandardName
Letayveon Beaton,2017,Uncommitted,201702756,letayveon-beaton-1,Letayveon Beaton,New Mexico,2019,S,s,100,0,2,Final_StandardName
