Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,awards,Year
Jacolby Criswell,jacolby-criswell-1,/cfb/players/jacolby-criswell-1.html,North Carolina,ACC,4,13,21,61.9,179,1,4.8,0,0.0,8.5,9.48,13.8,44.8,149.2,,2021
Carson Beck,carson-beck-1,/cfb/players/carson-beck-1.html,Georgia,SEC,4,10,23,43.5,176,2,8.7,2,8.7,7.7,5.48,17.6,44.0,119.1,,2021
Cooper Legas,cooper-legas-1,/cfb/players/cooper-legas-1.html,Utah State,MWC,2,11,20,55.0,171,2,10.0,1,5.0,8.6,8.30,15.5,85.5,149.8,,2021
Justin Ibieta,justin-ibieta-1,/cfb/players/justin-ibieta-1.html,Tulane,American,5,13,22,59.1,166,2,9.1,2,9.1,7.5,5.27,12.8,33.2,134.3,,2021
Jiya Wright,jiya-wright-1,/cfb/players/jiya-wright-1.html,Louisiana-Monroe,Sun Belt,4,10,20,50.0,164,2,10.0,2,10.0,8.2,5.70,16.4,41.0,131.9,,2021
Isaiah Chavez,isaiah-chavez-1,/cfb/players/isaiah-chavez-1.html,New Mexico,MWC,5,17,24,70.8,161,2,8.3,1,4.2,6.7,6.50,9.5,32.2,146.4,,2021
Nick Patti,nick-patti-3,/cfb/players/nick-patti-3.html,Pitt,ACC,9,14,19,73.7,161,0,0.0,0,0.0,8.5,8.47,11.5,17.9,144.9,,2021
Dakereon Joyner,dakereon-joyner-1,/cfb/players/dakereon-joyner-1.html,South Carolina,SEC,13,9,9,100.0,160,1,11.1,0,0.0,17.8,20.00,17.8,12.3,286.0,,2021
Grayson James,grayson-james-1,/cfb/players/grayson-james-1.html,Florida International,CUSA,6,18,27,66.7,155,1,3.7,0,0.0,5.7,6.48,8.6,25.8,127.1,,2021
Jaren Lewis,jaren-lewis-1,/cfb/players/jaren-lewis-1.html,Kansas State,Big 12,4,12,23,52.2,154,1,4.3,2,8.7,6.7,3.65,12.8,38.5,105.4,,2021
Connor Blumrick,connor-blumrick-1,/cfb/players/connor-blumrick-1.html,Virginia Tech,ACC,6,16,31,51.6,152,2,6.5,0,0.0,4.9,6.19,9.5,25.3,114.1,,2021
Knox Kadum,knox-kadum-1,/cfb/players/knox-kadum-1.html,Virginia Tech,ACC,5,12,24,50.0,151,0,0.0,1,4.2,6.3,4.42,12.6,30.2,94.5,,2021
Paul Tyson,paul-tyson-1,/cfb/players/paul-tyson-1.html,Alabama,SEC,12,10,16,62.5,150,0,0.0,0,0.0,9.4,9.38,15.0,12.5,141.3,,2021
Garrett Greene,garrett-greene-1,/cfb/players/garrett-greene-1.html,West Virginia,Big 12,11,16,26,61.5,147,0,0.0,0,0.0,5.7,5.65,9.2,13.4,109.0,,2021
Jake Garcia,jake-garcia-1,/cfb/players/jake-garcia-1.html,Miami (FL),ACC,1,11,14,78.6,147,2,14.3,0,0.0,10.5,13.36,13.4,147.0,213.9,,2021
Evan Simon,evan-simon-1,/cfb/players/evan-simon-1.html,Rutgers,Big Ten,6,16,28,57.1,145,0,0.0,1,3.6,5.2,3.57,9.1,24.2,93.5,,2021
Eddie Lee Marburger,eddie-lee-marburger-1,/cfb/players/eddie-lee-marburger-1.html,UTSA,CUSA,2,4,8,50.0,143,1,12.5,0,0.0,17.9,20.38,35.8,71.5,241.4,,2021
Tyler Macon,tyler-macon-1,/cfb/players/tyler-macon-1.html,Missouri,SEC,3,9,17,52.9,143,1,5.9,0,0.0,8.4,9.59,15.9,47.7,143.0,,2021
Xavier Arline,xavier-arline-1,/cfb/players/xavier-arline-1.html,Navy,American,7,7,18,38.9,142,1,5.6,0,0.0,7.9,9.00,20.3,20.3,123.5,,2021
Jontre Kirklin,jontre-kirklin-1,/cfb/players/jontre-kirklin-1.html,LSU,SEC,9,7,11,63.6,138,3,27.3,2,18.2,12.5,9.82,19.7,15.3,222.7,,2021
Jack West,jack-west-4,/cfb/players/jack-west-4.html,Stanford,Pac-12,4,20,30,66.7,135,0,0.0,3,10.0,4.5,0.00,6.8,33.8,84.5,,2021
