Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,xpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,awards,Year
Evan Staley,evan-staley-2,/cfb/players/evan-staley-2.html,West Virginia,Big 12,9,21,21,100.0,11,17,64.7,54,,2019
Greg Thomas,greg-thomas-6,/cfb/players/greg-thomas-6.html,California,Pac-12,12,33,34,97.1,11,17,64.7,66,,2019
Camden Lewis,camden-lewis-1,/cfb/players/camden-lewis-1.html,Oregon,Pac-12,14,57,59,96.6,9,14,64.3,84,,2019
Clayton Harris,clayton-harris-1,/cfb/players/clayton-harris-1.html,Connecticut,American,12,27,27,100.0,10,16,62.5,57,,2019
Dylan Brown,dylan-brown-1,/cfb/players/dylan-brown-1.html,New Mexico State,Ind,12,32,32,100.0,10,16,62.5,62,,2019
B.T. Potter,bt-potter-1,/cfb/players/bt-potter-1.html,Clemson,ACC,15,79,79,100.0,13,21,61.9,118,,2019
Ryan Tice,ryan-tice-1,/cfb/players/ryan-tice-1.html,Central Michigan,MAC,13,47,47,100.0,13,21,61.9,86,,2019
Evan Davis,evan-davis-2,/cfb/players/evan-davis-2.html,Toledo,MAC,11,34,34,100.0,8,13,61.5,58,,2019
Liam Jones,liam-jones-1,/cfb/players/liam-jones-1.html,Kansas,Big 12,12,26,30,86.7,11,18,61.1,59,,2019
Cory Munson,cory-munson-1,/cfb/players/cory-munson-1.html,Western Kentucky,CUSA,13,39,40,97.5,17,28,60.7,90,,2019
Barret Pickering,barret-pickering-1,/cfb/players/barret-pickering-1.html,Nebraska,Big Ten,4,10,10,100.0,3,5,60.0,19,,2019
Coby Weiss,coby-weiss-1,/cfb/players/coby-weiss-1.html,South Florida,American,8,19,21,90.5,3,5,60.0,28,,2019
Lucas Havrisik,lucas-havrisik-1,/cfb/players/lucas-havrisik-1.html,Arizona,Pac-12,12,37,39,94.9,10,17,58.8,67,,2019
Ryan Meskell,ryan-meskell-1,/cfb/players/ryan-meskell-1.html,Hawaii,MWC,15,64,64,100.0,10,17,58.8,94,,2019
Frankie Onate,frankie-onate-1,/cfb/players/frankie-onate-1.html,South Alabama,Sun Belt,11,17,17,100.0,7,12,58.3,38,,2019
Jared Porter,jared-porter-1,/cfb/players/jared-porter-1.html,Louisiana-Monroe,Sun Belt,12,35,38,92.1,7,12,58.3,56,,2019
Luke Logan,luke-logan-1,/cfb/players/luke-logan-1.html,Ole Miss,SEC,12,35,38,92.1,11,19,57.9,68,,2019
Cesar R. Silva,cesar-r-silva-1,/cfb/players/cesar-r-silva-1.html,Fresno State,MWC,12,44,44,100.0,12,21,57.1,80,,2019
