player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
David Rueth,57731,LB,BALL ST,11,6,0,117,2,1,0,0,26
Jalen Pitre,57737,LB,BAYLOR,11,10,0,118,1,0,1,2,29
Terrel Bernard,57739,LB,BAYLOR,2,0,0,118,0,0,0,0,0
Riley Whimpey,57745,LB,BOISE ST,10,4,0,120,0,0,0,0,9
Benton Wickersham,57748,LB,BOISE ST,12,6,0,120,0,0,0,0,10
Joseph Inda,57749,LB,BOISE ST,1,0,0,120,0,0,0,0,0
Isaiah McDuffie,57754,LB,BOSTON COL,6,2,0,121,0,0,0,0,2
Kholbe Coleman,57757,LB,BOWL GREEN,12,5,0,122,1,0,0,0,17
Alex Funches,57765,ED,CAL,12,6,0,130,4,0,0,3,26
Nate Landman,57788,LB,COLORADO,7,2,1,143,0,0,0,0,10
Jacob Callier,57793,ED,COLORADO,10,2,0,143,5,0,0,1,5
Dante Sparaco,57794,ED,COLORADO,4,0,0,143,0,0,0,1,4
Bruce Bivens,57795,LB,E CAROLINA,5,2,0,156,0,0,0,0,6
Cannon Gibbs,57796,LB,E CAROLINA,12,16,0,156,0,1,1,0,33
Terry Myrick,57801,LB,E MICHIGAN,2,0,0,160,0,0,0,0,0
Hosea Barnwell V,57818,LB,FAU,9,4,0,165,2,0,0,0,25
Akileis Leroy,57821,LB,FAU,4,2,0,165,0,0,0,0,1
Leonard Warner III,57826,LB,FLORIDA ST,3,1,0,167,0,0,0,0,1
Jamario Mathis,57828,LB,FLORIDA ST,1,0,0,167,0,0,0,0,0
Jaden Hunter,57837,LB,GEORGIA,1,0,0,173,0,0,0,0,0
Nate McBride,57838,LB,GEORGIA,2,2,0,173,0,0,0,0,0
Monty Rice,57839,LB,GEORGIA,7,1,0,173,0,0,0,0,18
Walter Grant,57841,ED,GEORGIA,12,2,0,173,2,0,0,1,5
Tomarcio Reese,57844,LB,GA SOUTHRN,12,11,0,174,1,0,1,3,35
Chris Harris Jr.,57847,LB,GA SOUTHRN,7,7,0,174,0,0,0,0,3
David Anenih,57853,LB,HOUSTON,8,1,0,182,1,0,0,2,1
Del'Shawn Phillips,57868,LB,ILLINOIS,11,16,0,187,1,0,0,0,62
Marc Mondesir,57869,LB,ILLINOIS,1,0,0,187,0,0,0,0,1
Jake Hummel,57879,LB,IOWA STATE,1,1,0,193,0,0,0,0,1
Kyron Johnson,57890,ED,KANSAS,8,0,0,198,1,0,0,0,3
Jay Dineen,57893,LB,KANSAS,1,0,0,198,0,0,0,0,0
Ian Rudzik,57898,LB,KANSAS ST,1,0,0,199,0,0,0,0,0
Cepeda Phillips,57900,LB,KENT STATE,4,4,0,201,0,0,0,0,5
Sam Thomas,57901,LB,KENT STATE,7,2,0,201,0,0,0,0,5
Kesean Gamble,57903,HB,KENT STATE,5,1,0,201,0,0,0,0,2
Josh Paschal,57908,DI,KENTUCKY,12,0,0,202,3,0,0,3,9
Julius Perkins,57923,LB,LA LAFAYET,5,1,0,207,0,0,0,0,5
Brayden Bailey,57924,LB,LA LAFAYET,2,2,0,207,0,0,0,0,2
Justin Middleton,57925,LB,LA LAFAYET,10,10,0,207,2,1,0,1,27
Randy Hogan,57929,LB,LA TECH,5,2,0,208,0,0,0,0,3
Rashaad Harding,57932,LB,LA MONROE,9,7,0,209,0,0,1,1,17
Dorian Etheridge,57937,LB,LOUISVILLE,12,17,0,210,1,0,3,0,48
Tabarius Peterson,57939,ED,LOUISVILLE,10,1,0,210,2,0,0,0,8
Patrick Queen,57941,LB,LSU,1,0,0,211,0,0,0,0,1
Jacob Phillips,57942,LB,LSU,5,2,0,211,1,0,0,0,5
Tyler Taylor,57943,LB,LSU,12,6,0,211,0,0,0,2,20
K'Lavon Chaisson,57945,ED,LSU,11,1,0,211,1,0,0,1,16
Artis Johnson,57950,LB,MARSHALL,12,8,0,214,0,1,0,2,27
