player,player_id,position,team_name,player_game_count,franchise_id
K.J. Carta-Samuels,46525,QB,WASHINGTON,8,340
Jordan Wright,45681,HB,LA LAFAYET,9,207
Zack Heeman,31216,T,RUTGERS,5,278
Marquez Trigg,29554,HB,W KENTUCKY,9,346
Dionte Mullins,47871,WR,MIAMI FL,8,220
Johnny Capra,36778,T,UTAH,4,328
Kesean Gamble,57903,HB,KENT STATE,12,201
Mason Petrino,41294,WR,IDAHO,10,185
Bolu Olorunfunmi,45864,HB,UCLA,11,324
Joseph Lewis IV,61773,WR,USC,7,326
Tony Brooks-James,45764,HB,OREGON,11,264
Cameron Scarlett,35806,HB,STANFORD,12,300
Thurman Morbley,47676,WR,TEXAS ST,5,314
Mechane Slade,47552,WR,MEMPHIS,7,218
Johnny Woods,48238,WR,KENT STATE,8,201
Dorian Brown,45944,HB,OHIO,11,259
Kalakaua Timoteo,38608,WR,HAWAII,9,180
Brandon Smith,61327,WR,IOWA,10,192
Trey Klock,46889,TE,NWESTERN,7,256
Michael Raiford,45228,T,NAVY,5,237
Dalton Demos,32283,QB,COAST CAR,7,141
Liam Allen,30623,WR,TOLEDO,7,316
Stanley Clerveaux,27769,WR,USF,7,327
Octavius Evans,61172,WR,BOISE ST,12,120
Tyler Carr,56882,FB,TEXAS TECH,6,315
Tyshawn Brown,43245,WR,MIDDLE TN,10,224
Jared Wyatt,41006,WR,BOWL GREEN,10,122
Jared Scott,61842,WR,WYOMING,8,351
Lance Wright,45066,WR,RICE,8,275
Emmanuel Esukpa,35605,HB,RICE,9,275
Quinn Oseland,36914,G,MINNESOTA,5,225
Corey Reed Jr.,61395,WR,LOUISVILLE,8,210
Jaylon Redd,61586,WR,OREGON,8,264
Caleb Chandler,59814,G,LOUISVILLE,2,210
Reggie Roberson Jr.,61815,WR,W VIRGINIA,10,343
Isaiah Sanders,60319,QB,AIR FORCE,3,101
Zach Green,26954,HB,ARIZONA,11,109
Cody Ippolito,49697,FB,UTAH,9,328
Nick Holley,47688,QB,KENT STATE,3,201
Ty Quick,47373,TE,OLE MISS,7,226
Nick Ralston,36101,HB,ARIZONA ST,11,110
Ty'Son Williams,38287,HB,S CAROLINA,11,289
Zeb Noland,40508,QB,IOWA STATE,4,193
Izzy Matthews,45977,HB,COLO STATE,10,144
Mark Walton,45996,HB,MIAMI FL,4,220
Noah Reneau-Myers,51661,G,WASH STATE,4,341
Tavonn Salter,61451,WR,MIDDLE TN,6,224
Jake Burt,36147,TE,BOSTON COL,8,121
Robert Congel,60119,G,TEXAS A&M,5,312
Coltin Gerhart,26907,QB,NEW MEXICO,4,241
Kelby Bevelle,32450,T,CLEMSON,3,140
Eddie Sinegal,48175,WR,UTEP,8,330
Colton Richardson,60404,QB,IDAHO,2,185
Jack Breshears,38985,T,FAU,2,165
Robert Brown Jr.,57428,HB,TEXAS ST,12,314
Beau Bisharat,25962,HB,COLORADO,11,143
Dieuly Aristilde Jr.,34688,WR,E MICHIGAN,8,160
Ke'Mon Freeman,45849,HB,SMU,12,287
C.J. Carroll,47534,WR,VA TECH,6,337
Zamore Zigler,33012,HB,S JOSE ST,13,285
Corey Lacanaria,47550,WR,BALL ST,4,117
Kobe McCrary,40196,HB,MINNESOTA,10,225
Colin Byrne,45594,G,SYRACUSE,5,304
Romello Ross,34263,HB,C MICHIGAN,9,134
Mitch Heimbuch,40314,TE,W MICHIGAN,4,347
Noah Vedral,55406,QB,UCF,8,323
Sewo Olonilua,45767,HB,TCU,12,305
Aulden Bynum,27636,T,GEORGIA,8,173
Jahmaal Daniel,45988,HB,NAVY,9,237
Chris Barr,47730,WR,USF,8,327
Chandler Reeves,40731,T,CLEMSON,4,140
Josh Anderson,45684,HB,TROY,12,318
Quan Hampton,61343,WR,KANSAS,6,198
Erik Swenson,40250,T,OKLAHOMA,4,261
Ramaud Chiaokhiao-Bowman,41212,WR,NWESTERN,12,256
George Campbell,34785,WR,FLORIDA ST,4,167
Tyrell Alexander,39986,WR,OKLA STATE,5,262
Noah Gray,60878,TE,DUKE,8,154
Jamil Sabbagh,35081,WR,C MICHIGAN,10,134
Steve Pickren,38272,TE,UAB,8,321
Cam Akers,57206,HB,FLORIDA ST,12,167
Morgan Ellison,57243,HB,INDIANA,11,190
Mason Veal,36986,T,N CAROLINA,4,245
Devin Burleson,36951,G,WASHINGTON,5,340
Keyston Fuller,33591,WR,DUKE,12,154
Vic Enwere,45746,HB,CAL,12,130
Henry Bussey III,47576,WR,FAU,7,165
Jerry Howard Jr.,62941,FB,GA TECH,9,176
Tarrick Thomas,46199,G,FAU,6,165
Ty Slanina,47433,WR,TCU,10,305
Kaleb Kim,36766,C,AUBURN,6,115
Nate Wieting,39663,TE,IOWA,6,192
Chason Virgil,39592,QB,FRESNO ST,5,169
Joshua Fedd-Jackson,60812,G,NC STATE,2,248
Peter Pekar,47105,TE,IOWA,10,192
Rico Dowdle,40693,HB,S CAROLINA,7,289
Juval Mollette,35449,WR,N CAROLINA,7,245
Scottie Dill,36231,TE,MEMPHIS,10,218
Andrew Clair,57167,HB,BOWL GREEN,11,122
JaQuay Savage,20843,WR,CINCINNATI,9,138
Richie Petitbon,51663,G,ALABAMA,4,103
Jordan Mims,57209,HB,FRESNO ST,12,169
Monterio Hunt,61410,WR,MARSHALL,9,214
Tyler Carr,37321,T,AUBURN,8,115
Carmoni Green,61316,WR,ILLINOIS,6,187
Shakif Seymour,40052,HB,TOLEDO,11,316
Mike Epstein,57237,HB,ILLINOIS,5,187
Alex Delton,34840,QB,KANSAS ST,6,199
Major Tennison,60837,TE,ALABAMA,5,103
Jamal Jones,33919,HB,ARK STATE,8,113
Anu Solomon,46599,QB,BAYLOR,2,118
D.J. Knox,29903,HB,PURDUE,12,273
Rex Culpepper,40540,QB,SYRACUSE,4,304
Ahkil Crumpton,61269,WR,GEORGIA,10,173
