player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
Amaree Williams,190580,ED,FLORIDA ST,10,4,0,167,1,0,0,2,8
Rae'mon Mosby,190594,CB,LOUISVILLE,5,0,0,210,0,0,0,0,1
Chris Gant Jr.,190610,S,NEW MEXICO,5,0,0,241,0,0,0,0,4
Ashton Gray,190611,HB,N TEXAS,1,0,0,251,0,0,0,0,0
Quinton Hammonds,190613,S,N TEXAS,11,11,1,251,0,2,1,1,45
Zhaiylen Scott,190623,ED,N TEXAS,5,3,0,251,1,0,0,2,7
Gabe Stroud,190626,CB,N TEXAS,5,0,0,251,0,0,0,0,3
Baron Tipton,190627,WR,N TEXAS,2,0,0,251,0,0,0,0,0
Jayden Williams,190629,DI,N TEXAS,10,8,0,251,2,0,0,0,13
Wyatt Young,190632,WR,N TEXAS,1,0,0,251,0,0,0,0,0
Kaleb Blanton,190634,LB,RICE,1,0,0,275,0,0,0,0,0
Ethan Brougham,190635,ED,RICE,3,0,0,275,0,0,0,0,2
Ephraim Dotson,190640,CB,RICE,6,1,0,275,0,0,0,0,7
Bailey Fletcher,190641,S,RICE,3,3,1,275,0,0,0,0,6
LaVonte Johnson,190644,CB,RICE,4,1,0,275,0,0,0,0,5
Trei Kibbles,190645,HB,RICE,1,0,0,275,0,0,0,0,0
Tyree Alualu,190653,LB,TEMPLE,11,8,0,306,0,0,0,0,12
Sultan Badmus,190654,ED,TEMPLE,10,0,0,306,3,0,0,1,5
Wesley Brown,190656,LB,TEMPLE,7,2,0,306,0,0,0,0,4
Denzel Chavis,190657,CB,TEMPLE,12,1,0,306,0,0,1,0,10
Cameron Jones,190663,ED,TEMPLE,9,0,0,306,0,0,0,0,3
Adrian Laing,190664,CB,TEMPLE,9,1,0,306,0,2,0,0,5
Khalil Poteat,190669,ED,TEMPLE,10,6,2,306,0,0,0,1,18
Tyler Stewart,190671,WR,TEMPLE,1,0,0,306,0,0,0,0,0
Russell Sykes IV,190672,ED,TEMPLE,12,4,0,306,1,0,0,1,8
Kam Curry,190683,DI,TROY,12,0,0,318,1,0,0,1,10
Keion Dunlap,190684,LB,TROY,1,0,0,318,0,0,0,0,1
Jamel Fils-Aime,190685,DI,TROY,12,7,1,318,0,0,0,2,13
ShuMond Johnson,190690,ED,TROY,1,0,0,318,0,0,0,0,0
Joe Lott,190691,S,TROY,11,4,0,318,0,2,1,0,12
Marlin Odom,190698,CB,TROY,3,0,0,318,0,0,0,0,1
Jermaine Paramore,190699,ED,TROY,10,3,0,318,1,0,0,0,2
Jabari Strait,190705,CB,TROY,8,0,0,318,0,0,2,0,2
Shemar Welch,190710,CB,TROY,2,0,0,318,0,0,0,0,1
Dax Collins,190717,S,TULSA,7,5,0,320,1,0,1,1,3
Aquavious Dunbar,190721,LB,TULSA,1,0,0,320,0,0,0,0,0
Mason Fleming,190725,DI,TULSA,2,0,0,320,0,0,0,0,0
Buddha Garrett,190727,S,TULSA,7,0,0,320,2,0,0,0,7
Elijah Green,190729,CB,TULSA,12,8,0,320,0,5,8,0,54
Joe Hjelle,190732,DI,TULSA,12,14,0,320,1,0,0,4,23
Dedaunte Scott,190743,S,TULSA,2,1,0,320,0,0,0,0,0
Corey Smith,190745,WR,PURDUE,1,0,0,273,0,0,0,0,0
Will Smith,190747,ED,N TEXAS,3,0,0,251,1,0,0,0,0
Will Upshaw,190750,ED,TULSA,5,2,0,320,0,0,0,0,2
Ashton Williams,190754,S,TULSA,12,11,1,320,0,0,0,0,17
Zach Williams,190755,S,TULSA,12,14,2,320,0,0,7,0,69
Tyderick Brown,190758,CB,FIU,1,0,0,166,0,0,0,0,0
Chris Burge,190760,ED,UAB,12,13,0,321,2,0,0,4,15
Kelvin Hill,190765,CB,GA TECH,12,0,0,176,0,0,2,0,16
Nacari Johnson,190768,CB,KENNESAW,1,0,0,200,0,0,0,0,0
Brayden Johnson,190769,TE,UAB,1,0,0,321,0,0,0,0,0
J'Quan Mason,190773,ED,UAB,9,1,0,321,1,0,0,1,7
Roy Williams,190777,CB,UAB,8,3,0,321,0,0,1,0,12
Gage Goldberg,190784,ED,COLORADO,1,0,0,143,0,0,0,0,0
Kam Mikell,190789,HB,COLORADO,1,0,0,143,0,0,0,0,0
Malakai Murphy,190791,CB,SO MISS,2,0,0,296,0,0,0,0,0
Nathanial Watson,190794,CB,COLORADO,2,0,0,143,0,0,0,0,0
Zavian Tibbs,190820,DI,HOUSTON,8,2,0,182,0,0,0,0,5
Darius Washington,190821,ED,HOUSTON,4,1,0,182,0,0,0,0,3
Manuel Beigel,190825,DI,MICHIGAN,3,0,0,222,0,0,0,0,1
Mason Curtis,190827,S,MICHIGAN,11,14,0,222,0,1,1,0,17
Jo'Ziah Edmond,190828,CB,MICHIGAN,2,1,0,222,0,0,0,0,0
Lugard Edokpayi,190829,ED,MICHIGAN,4,0,0,222,1,0,0,0,0
Ted Hammond,190832,DI,MICHIGAN,1,0,0,222,0,0,0,0,0
Jeremiah Lowe,190835,CB,MICHIGAN,1,0,0,222,0,0,0,0,0
Zach Ludwig,190836,LB,MICHIGAN,1,0,0,222,0,0,0,0,0
Deyvid Palepale,190839,DI,MICHIGAN,1,1,0,222,0,0,0,0,0
Owen Wafle,190843,DI,PENN STATE,8,1,0,266,1,0,0,0,1
Leroy Jackson,190850,DI,N CAROLINA,12,12,0,245,1,0,0,0,25
Crews Law,190851,LB,MEMPHIS,9,3,1,218,2,0,1,1,16
Ronnie Royal III,190870,S,NC STATE,11,13,1,248,0,1,0,0,32
Tate Crane,190881,WR,NWESTERN,1,0,0,256,0,0,0,0,0
Jack Trautmann,190895,ED,NWESTERN,4,0,0,256,0,0,0,0,0
Drew Wagner,190897,WR,NWESTERN,2,0,0,256,0,0,0,0,0
Koy Beasley,190900,S,MIAMI OH,12,5,0,221,0,1,3,0,24
Tarrion Grant,190903,CB,TEXAS TECH,4,0,0,315,0,0,1,0,3
Reese Hill,190907,DI,BALL ST,2,0,0,117,0,0,0,0,0
Hudauri Hines,190908,CB,PURDUE,12,7,0,273,0,1,5,0,25
Caleb Irving,190910,DI,CHARLOTTE,12,6,0,136,0,0,0,0,8
Earl Kulp,190916,CB,TEMPLE,7,1,0,306,0,0,0,0,4
Isaiah Needam,190918,S,PURDUE,1,0,0,273,0,0,0,0,0
Ty Clark III,190943,HB,WAKE,1,0,0,339,0,0,0,0,0
Jacob Cosby-Mosley,190944,S,WAKE,1,0,0,339,0,0,0,0,0
Andrew Hines III,190951,LB,BOWL GREEN,8,6,1,122,2,0,0,1,10
Whittman Whaley,190959,LB,WAKE,2,0,0,339,0,0,0,0,1
Malcom DeWalt IV,190966,CB,AKRON,12,7,1,102,2,2,6,0,42
Dahvon Frazier,190968,ED,AKRON,12,3,0,102,0,0,0,0,4
Jahvon Frazier,190969,ED,AKRON,12,2,0,102,0,0,0,0,4
Jason Hocker,190972,LB,AKRON,5,1,0,102,0,0,0,0,3
Ronald Hull,190973,DI,AKRON,12,7,1,102,3,0,0,2,7
Keyveon Johnson,190974,CB,AKRON,2,0,0,102,0,0,0,0,0
Danny Nittoli,190980,LB,AKRON,2,0,0,102,0,0,0,0,0
Sean Patrick,190981,HB,AKRON,2,0,0,102,0,0,0,0,0
Luke Reed,190982,FB,AKRON,1,0,0,102,0,0,0,0,0
Khalil Witherspoon,190984,WR,AKRON,1,0,0,102,0,0,0,0,0
Cameron Bates,190986,WR,BOISE ST,2,0,0,120,0,0,0,0,0
Josira Andrews,191001,CB,BOWL GREEN,2,0,0,122,0,0,0,0,4
Malik Moses,191011,DI,BOWL GREEN,3,0,0,122,0,0,0,0,0
Quavion Bird,191023,DI,C MICHIGAN,11,5,0,134,0,0,0,0,12
Tysen Campbell,191027,S,C MICHIGAN,1,0,0,134,0,0,0,0,0
Victor Earl,191030,LB,C MICHIGAN,7,2,0,134,0,0,0,1,8
Keyton Jones,191033,CB,C MICHIGAN,3,1,0,134,0,0,0,0,1
Adam Kaminski,191034,DI,C MICHIGAN,2,0,0,134,0,0,0,0,0
Landon Swanson,191047,ED,C MICHIGAN,6,1,0,134,1,0,0,1,4
Chance Harrison,191057,S,COLO STATE,8,1,0,144,0,0,0,0,4
Chris Jackson,191059,CB,COLO STATE,5,1,0,144,0,0,0,0,5
Owen Long,191061,LB,COLO STATE,12,31,1,144,2,0,3,2,93
Jack Moran,191064,DI,COLO STATE,12,15,0,144,0,0,0,1,9
Dagan Myers,191065,S,COLO STATE,6,3,0,144,0,0,0,0,4
AJ Noland,191066,S,COLO STATE,6,3,0,144,0,0,1,0,16
Keegan Shank,191069,DI,COLO STATE,10,2,0,144,0,0,0,1,4
Auckland Asiata,191075,DI,FRESNO ST,3,0,0,169,0,0,0,0,0
Cam Cole,191078,CB,FRESNO ST,2,0,0,169,0,0,0,0,1
Kiontre Harris,191083,CB,FRESNO ST,5,0,0,169,0,0,0,0,0
Tytus Khajavi,191085,LB,FRESNO ST,12,7,0,169,1,1,1,1,24
Loyall Mouzon,191087,CB,FRESNO ST,5,0,0,169,0,0,0,0,2
Jordan Pierro,191090,S,LA TECH,1,0,0,208,0,0,0,0,0
Logan Studt,191092,LB,FRESNO ST,11,2,0,169,0,0,0,0,11
Dillano Glaud,191096,LB,LIBERTY,6,5,0,206,0,0,0,0,7
Jon Monteiro,191099,WR,LIBERTY,1,0,0,206,0,0,0,0,0
Seneca Moore Jr.,191100,ED,LIBERTY,2,0,0,206,0,0,0,0,1
Clayton Shepler,191102,WR,LIBERTY,2,0,0,206,0,0,0,0,0
Weston Woodard,191107,DI,LIBERTY,2,0,0,206,0,0,0,0,0
Kezion Dia-Johnson,191112,WR,UMASS,1,0,0,216,0,0,0,0,0
Erik Hehl,191114,ED,UMASS,10,4,0,216,0,0,0,0,6
Kenyon Massey,191116,WR,UMASS,1,0,0,216,0,0,0,0,1
Michael Pangaro,191118,S,UMASS,5,4,0,216,1,0,0,0,2
Keith Sarkodieh,191120,S,UMASS,9,0,0,216,0,0,0,0,9
Jose Touron,191122,S,UMASS,2,0,0,216,0,0,0,0,0
Noah Carter,191124,ED,ALABAMA,10,4,0,103,0,0,0,1,5
QB Reese,191138,LB,ALABAMA,3,0,1,103,0,0,0,0,4
Justin Greene,191148,ED,GEORGIA,5,3,0,173,1,0,0,0,1
Nasir Johnson,191152,DI,GEORGIA,2,0,0,173,0,0,0,0,1
Austin Alexander,191161,CB,KANSAS,12,6,0,198,0,0,2,0,40
Jon Kamara,191170,LB,KANSAS,12,5,0,198,2,0,0,1,11
JaCorey Stewart,191175,LB,KANSAS,1,0,0,198,0,0,0,0,0
DJ Warner,191178,ED,SMU,12,1,1,287,2,0,0,3,2
Kamron Beavers,191181,DI,OLE MISS,4,0,0,226,0,0,0,0,1
Pat Broomfield,191183,CB,OLE MISS,2,0,0,226,0,0,0,0,0
Will Echoles,191186,DI,OLE MISS,13,15,0,226,1,0,1,5,36
Micah Stallworth,191193,CB,OLE MISS,1,0,0,226,0,0,0,0,0
Fatt Forrest,191196,S,MISS STATE,2,1,0,227,0,0,0,0,0
