season,team,conference,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,sacks,sacksOpponent,tacklesForLoss,tacklesForLossOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent
2015,Cincinnati,American Athletic,370.0,264.0,7.0,11.0,11.0,20.0,11.0,5.0,5.0,11.0,13.0,0.0,4.0,53.0,448.0,22.0,9.0,0.0,2.0,1046.0,1343.0,52.0,51.0,4679.0,2821.0,547.0,410.0,341.0,237.0,9.0,22.0,29.0,24.0,104.0,82.0,948.0,748.0,24084.0,22716.0,0.0,0.0,141.0,111.0,15.0,12.0,512.0,507.0,25.0,21.0,2313.0,2491.0,,,,,100.0,69.0,197.0,187.0,6992.0,5312.0,33.0,14.0
2015,Clemson,ACC,393.0,224.0,8.0,9.0,14.0,21.0,12.0,9.0,9.0,12.0,15.0,2.0,0.0,137.0,103.0,15.0,16.0,0.0,3.0,865.0,1764.0,39.0,72.0,4373.0,2816.0,528.0,437.0,356.0,212.0,16.0,15.0,35.0,19.0,84.0,89.0,694.0,812.0,28733.0,25210.0,0.0,0.0,78.0,97.0,29.0,16.0,679.0,531.0,34.0,18.0,3345.0,1879.0,,,,,109.0,61.0,232.0,220.0,7718.0,4695.0,27.0,25.0
2015,Colorado,Pac-12,268.0,254.0,14.0,9.0,25.0,18.0,9.0,8.0,8.0,9.0,13.0,1.0,1.0,262.0,216.0,12.0,14.0,0.0,0.0,745.0,1050.0,34.0,48.0,3130.0,2837.0,465.0,435.0,286.0,249.0,14.0,12.0,13.0,24.0,75.0,73.0,654.0,642.0,22221.0,20979.0,0.0,0.0,99.0,130.0,16.0,22.0,542.0,513.0,23.0,19.0,2031.0,2583.0,,,,,69.0,80.0,189.0,187.0,5161.0,5420.0,21.0,22.0
2015,Colorado State,Mountain West,301.0,256.0,10.0,14.0,17.0,26.0,12.0,7.0,7.0,12.0,13.0,0.0,2.0,84.0,240.0,15.0,8.0,1.0,1.0,852.0,974.0,35.0,43.0,2965.0,2309.0,392.0,324.0,233.0,175.0,8.0,15.0,24.0,12.0,97.0,83.0,898.0,732.0,23617.0,23183.0,2.0,0.0,314.0,149.0,25.0,18.0,534.0,553.0,20.0,27.0,2571.0,2773.0,,,,,86.0,59.0,187.0,172.0,5536.0,5082.0,27.0,15.0
2015,Duke,ACC,311.0,262.0,11.0,9.0,22.0,22.0,11.0,9.0,9.0,11.0,13.0,0.0,0.0,57.0,83.0,10.0,11.0,4.0,2.0,995.0,942.0,39.0,58.0,3204.0,3132.0,509.0,403.0,294.0,223.0,11.0,10.0,18.0,23.0,71.0,86.0,615.0,695.0,22367.0,24433.0,0.0,0.0,212.0,44.0,34.0,16.0,524.0,553.0,25.0,17.0,2508.0,1999.0,,,,,93.0,77.0,215.0,205.0,5712.0,5131.0,21.0,20.0
2015,East Carolina,American Athletic,260.0,261.0,11.0,12.0,17.0,23.0,7.0,8.0,8.0,7.0,12.0,2.0,1.0,150.0,117.0,12.0,8.0,0.0,0.0,760.0,740.0,39.0,34.0,3375.0,2717.0,473.0,376.0,321.0,204.0,8.0,12.0,21.0,17.0,89.0,85.0,825.0,732.0,20240.0,22960.0,1.0,0.0,225.0,46.0,24.0,15.0,404.0,518.0,19.0,21.0,1600.0,2094.0,,,,,80.0,79.0,187.0,193.0,4975.0,4811.0,19.0,16.0
2015,Eastern Michigan,Mid-American,241.0,316.0,10.0,15.0,17.0,19.0,11.0,8.0,8.0,11.0,12.0,1.0,1.0,63.0,131.0,14.0,4.0,0.0,0.0,1150.0,585.0,59.0,27.0,2666.0,2433.0,409.0,300.0,249.0,184.0,5.0,14.0,18.0,22.0,81.0,72.0,701.0,642.0,19486.0,23714.0,0.0,0.0,78.0,143.0,10.0,21.0,421.0,588.0,20.0,44.0,1894.0,3798.0,,,,,64.0,86.0,168.0,169.0,4560.0,6231.0,25.0,12.0
2015,Florida,SEC,234.0,237.0,14.0,12.0,27.0,20.0,7.0,11.0,11.0,7.0,14.0,2.0,0.0,247.0,3.0,10.0,14.0,0.0,0.0,693.0,534.0,33.0,26.0,2899.0,2550.0,405.0,425.0,229.0,231.0,14.0,10.0,20.0,17.0,91.0,70.0,737.0,506.0,26018.0,24382.0,2.0,0.0,446.0,129.0,34.0,33.0,510.0,508.0,19.0,12.0,1777.0,1793.0,,,,,75.0,70.0,206.0,211.0,4676.0,4343.0,17.0,25.0
2015,Florida Atlantic,Conference USA,249.0,257.0,17.0,10.0,33.0,18.0,13.0,9.0,9.0,13.0,12.0,3.0,2.0,347.0,150.0,12.0,14.0,0.0,0.0,851.0,559.0,40.0,27.0,2557.0,2840.0,392.0,373.0,206.0,217.0,14.0,12.0,12.0,23.0,75.0,70.0,683.0,619.0,20918.0,22282.0,0.0,0.0,135.0,116.0,20.0,16.0,498.0,504.0,15.0,17.0,1961.0,2021.0,,,,,61.0,71.0,185.0,181.0,4518.0,4861.0,25.0,23.0
2015,Florida International,Conference USA,227.0,271.0,9.0,7.0,21.0,16.0,7.0,9.0,9.0,7.0,12.0,2.0,4.0,129.0,306.0,8.0,9.0,0.0,0.0,1003.0,808.0,49.0,42.0,2854.0,2652.0,440.0,372.0,274.0,231.0,9.0,8.0,22.0,17.0,69.0,74.0,594.0,633.0,21444.0,21453.0,1.0,1.0,206.0,155.0,21.0,17.0,385.0,482.0,15.0,25.0,1319.0,2216.0,,,,,76.0,66.0,182.0,160.0,4173.0,4868.0,15.0,18.0
2015,Florida State,ACC,268.0,246.0,4.0,9.0,9.0,19.0,6.0,7.0,7.0,6.0,13.0,0.0,0.0,104.0,28.0,9.0,8.0,0.0,0.0,624.0,557.0,25.0,33.0,3325.0,2491.0,419.0,443.0,264.0,252.0,8.0,9.0,22.0,14.0,89.0,74.0,702.0,624.0,22944.0,23856.0,0.0,1.0,127.0,190.0,36.0,21.0,425.0,493.0,27.0,10.0,2187.0,1889.0,,,,,61.0,82.0,162.0,211.0,5512.0,4380.0,15.0,15.0
2015,Fresno State,Mountain West,207.0,267.0,9.0,14.0,29.0,24.0,7.0,11.0,11.0,7.0,12.0,1.0,4.0,190.0,322.0,16.0,9.0,0.0,2.0,1015.0,632.0,53.0,29.0,2140.0,2538.0,403.0,331.0,202.0,206.0,9.0,16.0,20.0,20.0,59.0,67.0,471.0,626.0,19673.0,23527.0,0.0,3.0,117.0,230.0,11.0,17.0,423.0,563.0,14.0,32.0,1642.0,2816.0,,,,,69.0,84.0,185.0,182.0,3782.0,5354.0,23.0,20.0
2015,Georgia,SEC,241.0,188.0,5.0,13.0,12.0,25.0,10.0,10.0,10.0,10.0,13.0,1.0,1.0,258.0,138.0,8.0,12.0,0.0,0.0,579.0,954.0,32.0,45.0,2406.0,2034.0,327.0,344.0,199.0,178.0,12.0,8.0,14.0,11.0,67.0,63.0,592.0,442.0,22743.0,23463.0,3.0,1.0,394.0,152.0,30.0,19.0,486.0,491.0,22.0,10.0,2498.0,1943.0,,,,,49.0,57.0,158.0,197.0,4904.0,3977.0,18.0,22.0
2015,Georgia Southern,Sun Belt,250.0,221.0,20.0,6.0,31.0,20.0,11.0,10.0,10.0,11.0,13.0,1.0,1.0,239.0,109.0,10.0,17.0,0.0,0.0,1012.0,525.0,41.0,36.0,824.0,2690.0,137.0,365.0,59.0,200.0,18.0,10.0,4.0,22.0,67.0,63.0,629.0,536.0,26506.0,20294.0,1.0,0.0,372.0,66.0,24.0,13.0,728.0,438.0,41.0,13.0,4719.0,1713.0,,,,,75.0,58.0,181.0,164.0,5543.0,4403.0,21.0,27.0
