id,team,name,firstName,lastName,weight,height,jersey,position,hometown,teamColor,teamColorSecondary,season
3917540,Georgia State,Aaron Winchester,Aaron,Winchester,190.0,74.0,11.0,QB,Lawrenceville,#1e539a,#ebebeb,2015
-1044179,Wyoming,Aaron Young,Aaron,Young,198.0,74.0,12.0,QB,Sacramento,#492f24,#ffc425,2015
553074,Old Dominion,Aaron Young,Aaron,Young,200.0,70.0,5.0,RB,Washington,#00507d,#a1d2f1,2015
3914916,Hawai'i,Aaron Zwahlen,Aaron,Zwahlen,,75.0,15.0,QB,Modesto,#003420,#ffffff,2015
-1040372,Utah State,Aarron Franklin,Aarron,Franklin,200.0,71.0,29.0,RB,West Covina,#00263a,#949ca1,2015
4037631,Oklahoma,Abdul Adams,Abdul,Adams,210.0,71.0,27.0,RB,Landover,#a32036,#ffffff,2015
-1028192,Old Dominion,Abdul Bundu-Fitz,Abdul,Bundu-Fitz,183.0,73.0,8.0,DB,Springfield,#00507d,#a1d2f1,2015
-1022849,Navy,Abdul Majeed,Abdul,Majeed,174.0,69.0,21.0,CB,Moorestown,#00225b,#b5a67c,2015
-1027850,Oklahoma State,Abe Ortega,Abe,Ortega,220.0,71.0,36.0,FB,Hennessey,#FF7300,#000000,2015
-1018768,Maryland,Abner Logan,Abner,Logan,242.0,73.0,46.0,LB,Cambridge,#D5002B,#ffcd00,2015
557213,Arizona,Abraham Mendivil,Abraham,Mendivil,,73.0,84.0,WR,Phoenix,#0c234b,#ab0520,2015
4239972,Air Force,Abraham Nuno,Abraham,Nuno,205.0,72.0,26.0,LB,Moreno Valley,#004a7b,#ffffff,2015
559598,LSU,Abraham Wallace,Abraham,Wallace,189.0,72.0,14.0,DB,Baton Rouge,#461d7c,#fdd023,2015
531295,New Mexico State,Abram Holland,Abram,Holland,,74.0,50.0,OL,Rio Rancho,#891216,#000000,2015
559583,South Carolina,Abu Lamin,Abu,Lamin,,76.0,99.0,DL,Fayetteville,#73000a,#ffffff,2015
3912551,USC,Aca'Cedric Ware,Aca'Cedric,Ware,195.0,72.0,28.0,?,DeSoto,#9e2237,#ffcc00,2015
-1021362,Minnesota,Ace Rogers,Ace,Rogers,210.0,73.0,6.0,DB,Iowa City,#5e0a2f,#fab41c,2015
-1021021,Middle Tennessee,Acesa Brewer,Acesa,Brewer,259.0,72.0,41.0,DL,Springfield,#006db6,#ffffff,2015
531302,Louisiana Tech,Adairius Barnes,Adairius,Barnes,,71.0,21.0,CB,Port Gibson,#002d65,#d3313a,2015
4242345,Wisconsin,Adam Bay,Adam,Bay,229.0,72.0,51.0,LS,Mesa,#c4012f,#ffffff,2015
-1029436,Pittsburgh,Adam Bertke,Adam,Bertke,235.0,78.0,7.0,QB,Maria Stein,#003263,#231f20,2015
-1029414,Pittsburgh,Adam Bisnowaty,Adam,Bisnowaty,305.0,78.0,69.0,OL,Pittsburgh,#003263,#231f20,2015
-1014648,Iowa State,Adam Bradley,Adam,Bradley,266.0,76.0,92.0,DL,Dubuque,#822433,#fdca2f,2015
545635,Penn State,Adam Breneman,Adam,Breneman,255.0,77.0,81.0,TE,Mechanicsburg,#041E42,#FFFFFF,2015
531984,Vanderbilt,Adam Butler,Adam,Butler,,77.0,69.0,DL,Duncanville,#866d4b,#000000,2015
