year,school_id,school,conference,rank,overall_w,overall_l,overall_pct,conf_w,conf_l,conf_pct,offense_ppg,defense_ppg,srs,sos,ap_pre,ap_high,ap_post,notes
2018,south-carolina,South Carolina,SEC (East),111,7,6,.538,4,4,.500,30.1,27.2,7.34,5.88,,24,,
2018,vanderbilt,Vanderbilt,SEC (East),112,6,7,.462,3,5,.375,28.5,26.6,6.25,5.09,,,,
2018,tennessee,Tennessee,SEC (East),113,5,7,.417,2,6,.250,22.8,27.9,0.39,6.05,,,,
2018,louisiana-state,LSU,SEC (West),115,10,3,.769,5,3,.625,32.4,21.8,15.20,5.67,25,4,6,
2018,texas-am,Texas A&M,SEC (West),116,9,4,.692,5,3,.625,36.0,25.3,13.61,7.15,,16,16,
2018,mississippi-state,Mississippi State,SEC (West),117,8,5,.615,4,4,.500,28.5,13.2,13.24,5.93,18,14,,
2018,auburn,Auburn,SEC (West),118,8,5,.615,3,5,.375,30.9,19.2,10.76,5.60,9,7,,
2018,mississippi,Ole Miss,SEC (West),119,5,7,.417,1,7,.125,33.9,36.2,2.81,4.39,,,,
2018,arkansas,Arkansas,SEC (West),120,2,10,.167,0,8,.000,21.7,34.8,-4.63,4.96,,,,
2018,appalachian-state,Appalachian State,Sun Belt (East),121,11,2,.846,7,1,.875,37.3,15.5,9.76,-4.78,,25,,
2018,troy,Troy,Sun Belt (East),122,10,3,.769,7,1,.875,30.7,22.0,3.05,-4.64,,,,
2018,georgia-southern,Georgia Southern,Sun Belt (East),123,10,3,.769,6,2,.750,30.5,21.5,3.80,-5.05,,,,
2018,coastal-carolina,Coastal Carolina,Sun Belt (East),124,5,7,.417,2,6,.250,26.7,33.2,-9.17,-3.25,,,,
2018,georgia-state,Georgia State,Sun Belt (East),125,2,10,.167,1,7,.125,23.9,37.4,-14.41,-2.41,,,,
2018,louisiana-lafayette,Louisiana,Sun Belt (West),127,7,7,.500,5,3,.625,31.9,34.2,-2.46,-2.32,,,,
2018,louisiana-monroe,Louisiana-Monroe,Sun Belt (West),128,6,6,.500,4,4,.500,26.6,31.8,-5.50,-4.42,,,,
2018,south-alabama,South Alabama,Sun Belt (West),129,3,9,.250,2,6,.250,24.2,38.8,-13.56,-2.39,,,,
2018,texas-state,Texas State,Sun Belt (West),130,3,9,.250,1,7,.125,19.8,27.7,-14.50,-6.75,,,,
2019,clemson,Clemson,ACC (Atlantic),1,14,1,.933,8,0,1.000,43.9,13.5,21.04,2.70,1,1,2,
2019,louisville,Louisville,ACC (Atlantic),2,8,5,.615,5,3,.625,33.1,33.4,3.09,2.55,,,,
2019,wake-forest,Wake Forest,ACC (Atlantic),3,8,5,.615,4,4,.500,31.8,29.1,3.23,0.00,,19,,
2019,boston-college,Boston College,ACC (Atlantic),4,6,7,.462,4,4,.500,29.0,32.2,-0.37,1.17,,,,
2019,florida-state,Florida State,ACC (Atlantic),5,6,7,.462,4,4,.500,27.9,27.8,1.78,2.32,,,,
2019,syracuse,Syracuse,ACC (Atlantic),6,5,7,.417,2,6,.250,28.3,30.7,-2.79,-0.62,22,21,,
2019,north-carolina-state,North Carolina State,ACC (Atlantic),7,4,8,.333,1,7,.125,22.1,30.1,-7.82,-0.91,,,,
2019,virginia,Virginia,ACC (Coastal),9,9,5,.643,6,2,.750,32.1,27.1,6.29,1.50,,18,,
2019,virginia-tech,Virginia Tech,ACC (Coastal),10,8,5,.615,5,3,.625,30.8,24.7,3.37,-1.63,,23,,
2019,pittsburgh,Pitt,ACC (Coastal),11,8,5,.615,4,4,.500,21.2,22.5,0.60,0.52,,,,
2019,north-carolina,North Carolina,ACC (Coastal),12,7,6,.538,4,4,.500,33.1,23.7,6.38,1.22,,,,
2019,duke,Duke,ACC (Coastal),13,5,7,.417,3,5,.375,25.3,29.2,0.11,2.03,,,,
2019,georgia-tech,Georgia Tech,ACC (Coastal),14,3,9,.250,2,6,.250,16.7,32.4,-8.49,2.42,,,,
2019,cincinnati,Cincinnati,American (East),15,11,3,.786,7,1,.875,29.6,20.6,10.87,2.51,,17,21,
2019,central-florida,UCF,American (East),16,10,3,.769,6,2,.750,43.4,23.0,11.59,-1.87,17,15,24,
2019,temple,Temple,American (East),17,8,5,.615,5,3,.625,26.3,25.9,1.22,-0.09,,,,
2019,south-florida,South Florida,American (East),18,4,8,.333,2,6,.250,20.8,28.9,-3.26,2.16,,,,
2019,east-carolina,East Carolina,American (East),19,4,8,.333,1,7,.125,26.8,33.7,-9.85,-2.85,,,,
2019,connecticut,Connecticut,American (East),20,2,10,.167,0,8,.000,18.9,40.5,-14.83,-1.33,,,,
2019,navy,Navy,American (West),22,11,2,.846,7,1,.875,37.2,22.3,12.60,0.83,,20,20,
2019,southern-methodist,SMU,American (West),23,10,3,.769,6,2,.750,41.8,33.4,9.02,0.64,,15,,
2019,tulane,Tulane,American (West),24,7,6,.538,3,5,.375,33.1,26.3,3.98,1.21,,,,
2019,houston,Houston,American (West),25,4,8,.333,2,6,.250,30.7,34.0,-0.41,3.25,,,,
2019,tulsa,Tulsa,American (West),26,4,8,.333,2,6,.250,26.4,31.3,0.43,5.01,,,,
2019,oklahoma,Oklahoma,Big 12,27,12,2,.857,8,1,.889,42.1,27.3,15.79,4.36,4,4,7,
2019,baylor,Baylor,Big 12,28,11,3,.786,8,1,.889,33.6,19.8,12.12,2.62,,8,13,
2019,kansas-state,Kansas State,Big 12,29,8,5,.615,5,4,.556,29.6,21.4,7.02,2.64,,20,,
2019,oklahoma-state,Oklahoma State,Big 12,30,8,5,.615,5,4,.556,32.5,26.8,7.39,3.46,,21,,
2019,texas,Texas,Big 12,31,8,5,.615,5,4,.556,35.2,27.5,12.18,5.80,10,9,25,
2019,iowa-state,Iowa State,Big 12,32,7,6,.538,5,4,.556,32.2,25.9,7.92,4.53,21,21,,
2019,texas-christian,Texas Christian,Big 12,33,5,7,.417,3,6,.333,30.3,26.4,5.27,3.60,,25,,
2019,west-virginia,West Virginia,Big 12,34,5,7,.417,3,6,.333,20.6,28.8,-2.92,3.16,,,,
2019,texas-tech,Texas Tech,Big 12,35,4,8,.333,2,7,.222,30.5,30.3,-0.65,1.10,,,,
2019,kansas,Kansas,Big 12,36,3,9,.250,1,8,.111,23.5,36.1,-5.73,3.19,,,,
2019,ohio-state,Ohio State,Big Ten (East),37,13,1,.929,9,0,1.000,46.9,13.7,27.39,7.32,5,2,3,
2019,penn-state,Penn State,Big Ten (East),38,11,2,.846,7,2,.778,35.8,16.0,17.34,4.88,15,5,9,
2019,michigan,Michigan,Big Ten (East),39,9,4,.692,6,3,.667,31.7,20.7,15.50,7.88,7,7,18,
2019,indiana,Indiana,Big Ten (East),40,8,5,.615,5,4,.556,31.8,24.4,5.79,1.49,,24,,
2019,michigan-state,Michigan State,Big Ten (East),41,7,6,.538,4,5,.444,22.4,22.5,6.06,5.60,18,18,,
2019,maryland,Maryland,Big Ten (East),42,3,9,.250,1,8,.111,25.3,34.7,-3.18,4.57,,21,,
2019,rutgers,Rutgers,Big Ten (East),43,2,10,.167,0,9,.000,13.3,36.7,-11.16,4.93,,,,
2019,wisconsin,Wisconsin,Big Ten (West),45,10,4,.714,7,2,.778,34.1,16.9,17.73,7.73,19,6,11,
2019,iowa,Iowa,Big Ten (West),46,10,3,.769,6,3,.667,25.8,14.0,14.60,4.44,20,14,15,
2019,illinois,Illinois,Big Ten (West),47,6,7,.462,4,5,.444,26.7,26.2,-0.08,0.61,,,,
2019,nebraska,Nebraska,Big Ten (West),48,5,7,.417,3,6,.333,28.0,27.8,2.67,4.00,24,24,,
2019,purdue,Purdue,Big Ten (West),49,4,8,.333,3,6,.333,25.8,30.6,-0.52,4.15,,,,
2019,northwestern,Northwestern,Big Ten (West),50,3,9,.250,1,8,.111,16.3,23.6,-3.13,3.46,,,,
2019,florida-atlantic,Florida Atlantic,CUSA (East),51,11,3,.786,7,1,.875,36.4,22.7,8.28,-2.43,,,,
2019,western-kentucky,Western Kentucky,CUSA (East),52,9,4,.692,6,2,.750,25.4,20.1,0.31,-5.08,,,,
2019,marshall,Marshall,CUSA (East),53,8,5,.615,6,2,.750,25.8,25.0,-0.54,-2.38,,,,
2019,charlotte,Charlotte,CUSA (East),54,7,6,.538,5,3,.625,29.8,32.4,-6.88,-5.41,,,,
2019,florida-international,Florida International,CUSA (East),55,6,7,.462,3,5,.375,26.5,27.2,-8.19,-6.96,,,,
2019,middle-tennessee-state,Middle Tennessee State,CUSA (East),56,4,8,.333,3,5,.375,26.3,29.9,-6.11,-2.69,,,,
2019,old-dominion,Old Dominion,CUSA (East),57,1,11,.083,0,8,.000,16.3,29.8,-17.12,-4.20,,,,
2019,alabama-birmingham,UAB,CUSA (West),59,9,5,.643,6,2,.750,23.1,21.6,-4.60,-7.88,,,,
2019,southern-mississippi,Southern Mississippi,CUSA (West),60,7,6,.538,5,3,.625,26.6,26.2,-2.90,-3.67,,,,
2019,north-texas,North Texas,CUSA (West),61,4,8,.333,3,5,.375,30.6,32.5,-9.47,-6.30,,,,
2019,texas-san-antonio,UTSA,CUSA (West),62,4,8,.333,3,5,.375,20.3,33.9,-14.08,-5.08,,,,
2019,rice,Rice,CUSA (West),63,3,9,.250,3,5,.375,17.9,25.9,-10.46,-3.21,,,,
2019,texas-el-paso,UTEP,CUSA (West),64,1,11,.083,0,8,.000,19.6,35.9,-23.10,-8.52,,,,
2019,liberty,Liberty,Ind,65,8,5,.615,,,,32.8,28.1,-5.70,-8.54,,,,
2019,new-mexico-state,New Mexico State,Ind,66,2,10,.167,,,,21.7,41.0,-16.86,-3.78,,,,
2019,massachusetts,Massachusetts,Ind,67,1,11,.083,,,,19.8,52.7,-29.95,-8.87,,,,
2019,notre-dame,Notre Dame,Ind,68,11,2,.846,,,,36.8,17.9,17.22,3.30,9,7,12,
2019,brigham-young,BYU,Ind,69,7,6,.538,,,,28.5,25.5,0.85,-1.23,,,,
2019,army,Army,Ind,70,5,8,.385,,,,28.5,23.0,-4.23,-4.70,,,,
2019,miami-oh,Miami (OH),MAC (East),71,8,6,.571,6,2,.750,24.1,28.1,-3.03,-1.67,,,,
2019,buffalo,Buffalo,MAC (East),72,8,5,.615,5,3,.625,31.5,21.3,1.44,-6.49,,,,
2019,kent-state,Kent State,MAC (East),73,7,6,.538,5,3,.625,29.2,31.8,-4.19,-3.73,,,,
2019,ohio,Ohio,MAC (East),74,7,6,.538,5,3,.625,34.3,26.5,-2.70,-6.32,,,,
2019,bowling-green-state,Bowling Green,MAC (East),75,3,9,.250,2,6,.250,16.0,38.6,-16.08,-3.66,,,,
2019,akron,Akron,MAC (East),76,0,12,.000,0,8,.000,10.5,36.3,-26.64,-7.06,,,,
2019,western-michigan,Western Michigan,MAC (West),78,7,6,.538,5,3,.625,33.1,25.9,-1.77,-5.85,,,,
2019,ball-state,Ball State,MAC (West),79,5,7,.417,4,4,.500,34.8,31.4,-3.51,-4.43,,,,
2019,northern-illinois,Northern Illinois,MAC (West),80,5,7,.417,4,4,.500,22.8,28.2,-10.01,-5.68,,,,
2019,toledo,Toledo,MAC (West),81,6,6,.500,3,5,.375,27.3,32.2,-8.76,-5.26,,,,
2019,eastern-michigan,Eastern Michigan,MAC (West),82,6,7,.462,3,5,.375,29.2,30.6,-7.50,-5.81,,,,
2019,boise-state,Boise State,MWC (Mountain),83,12,2,.857,8,0,1.000,34.7,21.9,8.94,-2.28,,14,23,
2019,air-force,Air Force,MWC (Mountain),84,11,2,.846,7,1,.875,34.1,19.8,10.47,-2.22,,22,22,
2019,utah-state,Utah State,MWC (Mountain),85,7,6,.538,6,2,.750,29.2,30.7,-1.93,-0.31,,,,
2019,wyoming,Wyoming,MWC (Mountain),86,8,5,.615,4,4,.500,25.4,17.8,1.33,-4.28,,,,
2019,colorado-state,Colorado State,MWC (Mountain),87,4,8,.333,3,5,.375,28.1,31.2,-6.84,-3.59,,,,
2019,new-mexico,New Mexico,MWC (Mountain),88,2,10,.167,0,8,.000,22.3,37.2,-13.70,-2.20,,,,
2019,hawaii,Hawaii,MWC (West),90,10,5,.667,5,3,.625,33.9,31.9,0.19,-1.75,,,,
2019,nevada,Nevada,MWC (West),91,7,6,.538,4,4,.500,21.3,31.9,-8.64,-4.80,,,,
2019,san-jose-state,San Jose State,MWC (West),92,5,7,.417,2,6,.250,30.1,31.9,-6.08,-3.83,,,,
2019,fresno-state,Fresno State,MWC (West),93,4,8,.333,2,6,.250,30.0,30.1,-4.53,-3.12,,,,
2019,nevada-las-vegas,Nevada-Las Vegas,MWC (West),94,4,8,.333,2,6,.250,24.2,33.0,-11.55,-3.97,,,,
2019,oregon,Oregon,Pac-12 (North),95,12,2,.857,8,1,.889,35.4,16.5,17.02,3.60,11,5,5,
2019,california,California,Pac-12 (North),96,8,5,.615,4,5,.444,21.2,21.9,3.39,2.69,,15,,
2019,washington,Washington,Pac-12 (North),97,8,5,.615,4,5,.444,32.0,19.4,12.38,2.68,13,13,,
2019,oregon-state,Oregon State,Pac-12 (North),98,5,7,.417,4,5,.444,31.2,32.5,2.01,3.18,,,,
2019,washington-state,Washington State,Pac-12 (North),99,6,7,.462,3,6,.333,37.8,31.4,3.86,2.01,23,19,,
2019,stanford,Stanford,Pac-12 (North),100,4,8,.333,3,6,.333,21.7,29.8,-2.38,5.70,25,23,,
2019,southern-california,USC,Pac-12 (South),102,8,5,.615,7,2,.778,32.5,29.4,8.87,5.64,,21,,
2019,arizona-state,Arizona State,Pac-12 (South),103,8,5,.615,4,5,.444,24.8,22.4,4.72,2.34,,17,,
2019,ucla,UCLA,Pac-12 (South),104,4,8,.333,4,5,.444,26.7,34.8,-0.55,4.95,,,,
2019,colorado,Colorado,Pac-12 (South),105,5,7,.417,3,6,.333,23.5,31.8,-0.02,5.07,,,,
2019,arizona,Arizona,Pac-12 (South),106,4,8,.333,2,7,.222,26.9,35.8,-4.25,3.17,,,,
2019,georgia,Georgia,SEC (East),107,12,2,.857,7,1,.875,30.8,12.6,17.64,5.21,3,3,4,
2019,florida,Florida,SEC (East),108,11,2,.846,6,2,.750,33.2,15.5,15.22,2.91,8,6,6,
2019,tennessee,Tennessee,SEC (East),109,8,5,.615,5,3,.625,24.2,21.7,5.13,2.74,,,,record adjusted to 0-5-0 by NCAA
2019,kentucky,Kentucky,SEC (East),110,8,5,.615,3,5,.375,27.2,19.3,5.92,0.15,,,,
2019,missouri,Missouri,SEC (East),111,6,6,.500,3,5,.375,25.3,19.4,2.88,0.46,,22,,
2019,south-carolina,South Carolina,SEC (East),112,4,8,.333,3,5,.375,22.4,26.1,1.34,7.34,,,,
2019,vanderbilt,Vanderbilt,SEC (East),113,3,9,.250,1,7,.125,16.5,31.8,-10.28,2.97,,,,
2019,alabama,Alabama,SEC (West),115,11,2,.846,6,2,.750,47.2,18.6,21.11,2.81,2,1,8,
2019,auburn,Auburn,SEC (West),116,9,4,.692,5,3,.625,33.2,19.5,16.26,7.72,16,7,14,
2019,texas-am,Texas A&M,SEC (West),117,8,5,.615,4,4,.500,29.5,22.5,10.02,5.09,12,12,,
2019,mississippi-state,Mississippi State,SEC (West),118,6,7,.462,3,5,.375,27.6,28.8,4.87,5.95,,,,
2019,mississippi,Ole Miss,SEC (West),119,4,8,.333,2,6,.250,26.6,26.5,2.24,3.82,,,,
2019,arkansas,Arkansas,SEC (West),120,2,10,.167,0,8,.000,21.4,36.8,-6.58,4.84,,,,
2019,appalachian-state,Appalachian State,Sun Belt (East),121,13,1,.929,7,1,.875,38.8,20.0,11.49,-3.80,,19,19,
2019,georgia-southern,Georgia Southern,Sun Belt (East),122,7,6,.538,5,3,.625,28.2,28.2,-0.07,-1.61,,,,
2019,georgia-state,Georgia State,Sun Belt (East),123,7,6,.538,4,4,.500,31.2,36.2,-6.61,-3.84,,,,
2019,troy,Troy,Sun Belt (East),124,5,7,.417,3,5,.375,33.8,34.8,-5.01,-5.42,,,,
2019,coastal-carolina,Coastal Carolina,Sun Belt (East),125,5,7,.417,2,6,.250,30.3,30.5,-7.02,-6.02,,,,
2019,arkansas-state,Arkansas State,Sun Belt (West),127,8,5,.615,5,3,.625,33.7,34.2,-1.78,-3.93,,,,
2019,louisiana-monroe,Louisiana-Monroe,Sun Belt (West),128,5,7,.417,4,4,.500,31.6,38.7,-4.92,-1.26,,,,
2019,texas-state,Texas State,Sun Belt (West),129,3,9,.250,2,6,.250,18.4,32.6,-12.38,-1.29,,,,
2019,south-alabama,South Alabama,Sun Belt (West),130,2,10,.167,1,7,.125,18.4,30.7,-12.28,-1.44,,,,
2020,clemson,Clemson,ACC,1,10,2,.833,8,1,.889,43.5,20.2,16.82,1.07,1,1,3,
2020,notre-dame,Notre Dame,ACC,2,10,2,.833,9,0,1.000,33.4,19.7,11.32,1.23,10,2,5,
2020,miami-fl,Miami (FL),ACC,3,8,3,.727,7,2,.778,34.0,27.0,6.56,1.47,,7,22,
2020,north-carolina,North Carolina,ACC,4,8,4,.667,7,3,.700,41.7,29.4,7.03,-1.55,18,5,18,
2020,north-carolina-state,North Carolina State,ACC,5,8,4,.667,7,3,.700,30.3,29.2,0.35,-1.57,,23,,
2020,boston-college,Boston College,ACC,6,6,5,.545,5,5,.500,27.8,28.4,-0.04,-0.59,,,,
2020,pittsburgh,Pitt,ACC,7,6,5,.545,5,5,.500,29.0,24.5,1.54,-1.19,,21,,
2020,virginia-tech,Virginia Tech,ACC,8,5,6,.455,5,5,.500,31.1,32.1,1.51,1.78,,19,,
2020,virginia,Virginia,ACC,9,5,5,.500,4,5,.444,30.7,29.6,-0.39,-0.09,,,,
2020,wake-forest,Wake Forest,ACC,10,4,5,.444,3,4,.429,36.0,32.8,-0.33,0.12,,,,
2020,georgia-tech,Georgia Tech,ACC,11,3,7,.300,3,6,.333,23.9,36.8,-7.85,0.05,,,,
2020,louisville,Louisville,ACC,12,4,7,.364,3,7,.300,29.5,26.6,-0.78,-1.87,,18,,
2020,florida-state,Florida State,ACC,13,3,6,.333,2,6,.250,25.8,36.0,-8.87,-1.54,,,,
2020,duke,Duke,ACC,14,2,9,.182,1,9,.100,24.8,38.1,-12.88,-1.60,,,,
2020,syracuse,Syracuse,ACC,15,1,10,.091,1,9,.100,17.8,32.7,-12.92,1.53,,,,
2020,cincinnati,Cincinnati,American,16,9,1,.900,6,0,1.000,37.5,16.8,14.92,-1.28,20,6,8,
2020,tulsa,Tulsa,American,17,6,3,.667,6,0,1.000,27.1,21.6,5.20,0.42,,18,,
2020,memphis,Memphis,American,18,8,3,.727,5,3,.625,31.0,27.9,-1.29,-5.56,,16,,
2020,central-florida,UCF,American,19,6,4,.600,5,3,.625,42.2,33.2,5.92,-1.78,21,11,,
2020,southern-methodist,SMU,American,20,7,3,.700,4,3,.571,38.6,30.9,0.06,-6.14,,16,,
2020,houston,Houston,American,21,3,5,.375,3,3,.500,30.0,32.0,-2.84,0.53,,,,
2020,navy,Navy,American,22,3,7,.300,3,4,.429,16.6,30.3,-10.08,-0.88,,,,
2020,tulane,Tulane,American,23,6,6,.500,3,5,.375,34.7,28.1,-0.71,-4.30,,,,
2020,east-carolina,East Carolina,American,24,3,6,.333,3,5,.375,30.2,35.4,-6.43,-1.98,,,,
2020,temple,Temple,American,25,1,6,.143,1,6,.143,19.9,37.1,-19.25,-3.83,,,,
2020,south-florida,South Florida,American,26,1,8,.111,0,7,.000,23.1,39.9,-14.39,-1.28,,,,
2020,oklahoma,Oklahoma,Big 12,27,9,2,.818,6,2,.750,43.0,21.7,17.62,3.71,5,3,6,
2020,iowa-state,Iowa State,Big 12,28,9,3,.750,8,1,.889,32.9,21.4,13.93,5.43,23,8,9,
2020,oklahoma-state,Oklahoma State,Big 12,29,8,3,.727,6,3,.667,30.2,23.5,10.46,4.92,15,6,20,
2020,texas,Texas,Big 12,30,7,3,.700,5,3,.625,42.7,28.5,11.95,3.75,14,8,19,
2020,texas-christian,Texas Christian,Big 12,31,6,4,.600,5,4,.556,30.8,24.2,7.41,3.71,,,,
2020,west-virginia,West Virginia,Big 12,32,6,4,.600,4,4,.500,26.5,20.5,5.97,1.07,,,,
2020,kansas-state,Kansas State,Big 12,33,4,6,.400,4,5,.444,26.6,32.2,-0.01,4.50,,16,,
2020,texas-tech,Texas Tech,Big 12,34,4,6,.400,3,6,.333,29.1,36.7,-1.67,3.53,,,,
2020,baylor,Baylor,Big 12,35,2,7,.222,2,7,.222,23.3,29.2,0.48,5.81,,,,
2020,kansas,Kansas,Big 12,36,0,9,.000,0,8,.000,15.8,46.0,-13.53,7.25,,,,
2020,ohio-state,Ohio State,Big Ten (East),37,7,1,.875,5,0,1.000,41.0,25.8,21.37,8.99,2,2,2,
2020,indiana,Indiana,Big Ten (East),38,6,2,.750,6,1,.857,28.9,20.3,13.71,4.46,,7,12,
2020,penn-state,Penn State,Big Ten (East),39,4,5,.444,4,5,.444,29.8,27.7,4.22,3.99,7,7,,
2020,maryland,Maryland,Big Ten (East),40,2,3,.400,2,3,.400,23.6,32.0,0.49,5.29,,,,
2020,michigan,Michigan,Big Ten (East),41,2,4,.333,2,4,.333,28.3,34.5,-1.25,3.25,16,13,,
2020,rutgers,Rutgers,Big Ten (East),42,3,6,.333,3,6,.333,26.7,32.1,-2.38,3.18,,,,
2020,michigan-state,Michigan State,Big Ten (East),43,2,5,.286,2,5,.286,18.0,35.1,-2.93,8.79,,,,
2020,iowa,Iowa,Big Ten (West),45,6,2,.750,6,2,.750,31.8,16.0,13.77,1.77,24,16,16,
2020,wisconsin,Wisconsin,Big Ten (West),46,4,3,.571,3,3,.500,25.1,17.4,8.62,4.33,12,9,,
2020,minnesota,Minnesota,Big Ten (West),47,3,4,.429,3,4,.429,27.3,30.1,-1.32,2.10,19,19,,
2020,nebraska,Nebraska,Big Ten (West),48,3,5,.375,3,5,.375,23.1,29.4,0.14,5.14,,,,
2020,purdue,Purdue,Big Ten (West),49,2,4,.333,2,4,.333,27.2,29.8,-0.18,2.66,,,,
2020,illinois,Illinois,Big Ten (West),50,2,6,.250,2,6,.250,20.1,34.9,-6.39,4.36,,,,
2020,western-kentucky,Western Kentucky,CUSA (East),51,5,7,.417,4,3,.571,19.0,25.3,-11.15,-6.07,,,,
2020,marshall,Marshall,CUSA (East),52,7,3,.700,4,1,.800,28.5,13.0,3.30,-6.60,,15,,
2020,florida-atlantic,Florida Atlantic,CUSA (East),53,5,4,.556,4,2,.667,18.9,17.4,-7.91,-10.02,,,,
2020,charlotte,Charlotte,CUSA (East),54,2,4,.333,2,2,.500,27.0,32.5,-14.41,-9.41,,,,
2020,middle-tennessee-state,Middle Tennessee State,CUSA (East),55,3,6,.333,2,4,.333,22.9,35.4,-15.36,-6.25,,,,
2020,florida-international,Florida International,CUSA (East),56,0,5,.000,0,3,.000,22.4,32.4,-22.18,-10.38,,,,
2020,old-dominion,Old Dominion,CUSA (East),57,0,0,,,,,,,,,,,,
2020,texas-san-antonio,UTSA,CUSA (West),59,7,5,.583,5,2,.714,28.3,25.7,-3.80,-6.71,,,,
2020,louisiana-tech,Louisiana Tech,CUSA (West),60,5,5,.500,4,2,.667,26.7,34.7,-8.34,-4.24,,,,
2020,north-texas,North Texas,CUSA (West),61,4,6,.400,3,4,.429,34.4,42.8,-14.80,-8.90,,,,
2020,rice,Rice,CUSA (West),62,2,3,.400,2,3,.400,23.4,18.8,-3.97,-7.97,,,,
2020,southern-mississippi,Southern Mississippi,CUSA (West),63,3,7,.300,2,4,.333,25.3,32.3,-14.39,-7.79,,,,
2020,texas-el-paso,UTEP,CUSA (West),64,3,5,.375,0,4,.000,23.0,31.0,-15.29,-11.41,,,,
2020,liberty,Liberty,Ind,65,10,1,.909,,,,38.2,20.5,1.60,-12.22,,17,17,
2020,new-mexico-state,New Mexico State,Ind,66,1,1,.500,,,,26.5,36.0,-27.68,-19.18,,,,
2020,massachusetts,Massachusetts,Ind,67,0,4,.000,,,,3.0,40.3,-24.68,-1.18,,,,
2020,brigham-young,BYU,Ind,68,11,1,.917,,,,43.5,15.3,14.70,-3.89,,8,11,
2020,army,Army,Ind,69,9,3,.750,,,,26.8,14.8,0.67,-7.59,,22,,
2020,buffalo,Buffalo,MAC (East),71,6,1,.857,5,0,1.000,43.4,21.9,17.73,1.73,,23,25,
2020,kent-state,Kent State,MAC (East),72,3,1,.750,3,1,.750,49.8,38.0,7.02,-0.74,,,,
2020,miami-oh,Miami (OH),MAC (East),73,2,1,.667,2,1,.667,28.7,26.7,11.41,9.08,,,,
2020,ohio,Ohio,MAC (East),74,2,1,.667,2,1,.667,34.3,16.7,4.28,-6.06,,,,
2020,akron,Akron,MAC (East),75,1,5,.167,1,5,.167,17.2,41.3,-8.82,5.52,,,,
2020,bowling-green-state,Bowling Green,MAC (East),76,0,5,.000,0,5,.000,11.4,45.0,-17.51,6.49,,,,
2020,toledo,Toledo,MAC (West),78,4,2,.667,4,2,.667,35.0,24.3,12.44,3.94,,,,
2020,western-michigan,Western Michigan,MAC (West),79,4,2,.667,4,2,.667,41.7,34.2,10.39,5.72,,,,
2020,central-michigan,Central Michigan,MAC (West),80,3,3,.500,3,3,.500,31.3,30.2,8.26,8.26,,,,
2020,eastern-michigan,Eastern Michigan,MAC (West),81,2,4,.333,2,4,.333,33.2,36.0,5.80,9.13,,,,
2020,northern-illinois,Northern Illinois,MAC (West),82,0,6,.000,0,6,.000,24.8,38.7,-1.53,12.14,,,,
2020,boise-state,Boise State,MWC (Mountain),83,5,2,.714,5,0,1.000,33.9,27.1,3.41,-3.02,,21,,
2020,air-force,Air Force,MWC (Mountain),84,3,3,.500,2,2,.500,24.3,15.0,0.85,-4.99,,,,
2020,wyoming,Wyoming,MWC (Mountain),85,2,4,.333,2,4,.333,26.5,21.0,-5.27,-7.94,,,,
2020,new-mexico,New Mexico,MWC (Mountain),86,2,5,.286,2,5,.286,23.9,32.6,-11.71,-4.28,,,,
2020,colorado-state,Colorado State,MWC (Mountain),87,1,3,.250,1,3,.250,22.3,35.8,-14.31,-2.56,,,,
2020,utah-state,Utah State,MWC (Mountain),88,1,5,.167,1,5,.167,15.5,35.2,-19.38,-2.55,,,,
2020,nevada,Nevada,MWC (West),90,7,2,.778,6,2,.750,30.8,23.3,0.45,-7.10,,,,
2020,san-diego-state,San Diego State,MWC (West),91,4,4,.500,4,2,.667,24.6,17.8,0.43,-4.82,,,,
2020,hawaii,Hawaii,MWC (West),92,5,4,.556,4,4,.500,26.2,27.6,-4.98,-4.20,,,,
2020,fresno-state,Fresno State,MWC (West),93,3,3,.500,3,3,.500,32.8,30.0,-8.90,-11.74,,,,
2020,nevada-las-vegas,Nevada-Las Vegas,MWC (West),94,0,6,.000,0,6,.000,17.3,38.0,-20.68,-1.84,,,,
2020,oregon,Oregon,Pac-12 (North),95,4,3,.571,3,2,.600,31.3,28.3,0.81,-1.77,9,9,,
2020,washington,Washington,Pac-12 (North),96,3,1,.750,3,1,.750,30.3,25.0,0.11,-5.89,,23,,
2020,stanford,Stanford,Pac-12 (North),97,4,2,.667,4,2,.667,29.3,31.7,-3.00,-3.00,,,,
2020,oregon-state,Oregon State,Pac-12 (North),98,2,5,.286,2,5,.286,28.9,33.3,-7.27,-2.98,,,,
2020,california,California,Pac-12 (North),99,1,3,.250,1,3,.250,20.3,26.5,-10.11,-2.36,,,,
2020,washington-state,Washington State,Pac-12 (North),100,1,3,.250,1,3,.250,27.0,38.5,-11.34,-0.09,,,,
2020,colorado,Colorado,Pac-12 (South),102,4,2,.667,3,1,.750,28.5,31.7,-1.66,-0.66,,21,,
2020,utah,Utah,Pac-12 (South),103,3,2,.600,3,2,.600,30.2,26.0,0.67,-2.93,22,22,,
2020,arizona-state,Arizona State,Pac-12 (South),104,2,2,.500,2,2,.500,40.3,23.3,1.75,-4.00,,,,
2020,ucla,UCLA,Pac-12 (South),105,3,4,.429,3,4,.429,35.4,30.7,-0.11,-2.97,,,,
