year,school_id,school,conference,rank,overall_w,overall_l,overall_pct,conf_w,conf_l,conf_pct,offense_ppg,defense_ppg,srs,sos,ap_pre,ap_high,ap_post,notes
2015,louisiana-state,LSU,SEC (West),113,9,3,.750,5,3,.625,32.8,24.3,15.04,6.79,14,4,16,record adjusted to 0-3-0 by NCAA
2015,arkansas,Arkansas,SEC (West),114,8,5,.615,5,3,.625,35.9,27.4,12.79,6.02,18,18,,
2015,mississippi-state,Mississippi State,SEC (West),115,9,4,.692,4,4,.500,34.4,23.2,13.59,4.74,,20,,
2015,texas-am,Texas A&M,SEC (West),116,8,5,.615,4,4,.500,27.8,22.0,9.40,4.47,,9,,
2015,auburn,Auburn,SEC (West),117,7,6,.538,2,6,.250,27.5,26.0,7.16,5.39,6,6,,
2015,appalachian-state,Appalachian State,Sun Belt,118,11,2,.846,7,1,.875,36.7,19.1,5.05,-7.34,,,,
2015,georgia-southern,Georgia Southern,Sun Belt,119,9,4,.692,6,2,.750,36.5,23.5,5.27,-5.42,,,,
2015,arkansas-state,Arkansas State,Sun Belt,120,9,4,.692,8,0,1.000,40.0,30.2,0.74,-6.26,,,,
2015,georgia-state,Georgia State,Sun Belt,121,6,7,.462,5,3,.625,26.9,28.3,-7.61,-7.15,,,,
2015,south-alabama,South Alabama,Sun Belt,122,5,7,.417,3,5,.375,25.0,37.3,-11.31,-3.72,,,,
2015,idaho,Idaho,Sun Belt,123,4,8,.333,3,5,.375,30.3,42.1,-13.24,-4.57,,,,
2015,louisiana-lafayette,Louisiana,Sun Belt,124,4,8,.333,3,5,.375,26.4,31.8,-12.46,-7.38,,,,
2015,troy,Troy,Sun Belt,125,4,8,.333,3,5,.375,27.9,28.3,-7.26,-4.68,,,,
2015,new-mexico-state,New Mexico State,Sun Belt,126,3,9,.250,3,5,.375,28.6,45.0,-15.79,-5.29,,,,
2015,texas-state,Texas State,Sun Belt,127,3,9,.250,2,6,.250,26.9,39.2,-14.24,-5.16,,,,
2015,louisiana-monroe,Louisiana-Monroe,Sun Belt,128,2,11,.154,1,7,.125,21.0,36.5,-16.72,-4.42,,,,
2016,clemson,Clemson,ACC (Atlantic),1,14,1,.933,7,1,.875,39.2,18.0,20.08,6.55,2,1,1,
2016,louisville,Louisville,ACC (Atlantic),2,9,4,.692,7,1,.875,42.5,23.8,11.87,2.10,19,3,21,
2016,florida-state,Florida State,ACC (Atlantic),3,10,3,.769,5,3,.625,35.1,25.0,15.01,6.16,4,2,8,
2016,north-carolina-state,North Carolina State,ACC (Atlantic),4,7,6,.538,3,5,.375,27.0,22.8,7.49,3.49,,,,
2016,wake-forest,Wake Forest,ACC (Atlantic),5,7,6,.538,3,5,.375,20.4,22.2,0.73,1.80,,,,
2016,boston-college,Boston College,ACC (Atlantic),6,7,6,.538,2,6,.250,20.4,25.0,0.58,0.50,,,,
2016,syracuse,Syracuse,ACC (Atlantic),7,4,8,.333,2,6,.250,25.7,38.6,-4.51,4.57,,,,
2016,miami-fl,Miami (FL),ACC (Coastal),9,9,4,.692,5,3,.625,34.3,18.5,13.36,2.82,,10,20,
